
[00:00:00.000 --> 00:00:10.500]  主持人:弟子姊妹早上好 這一年都希望透過獵王或者透過以色列王來當中分享神教話語
[00:00:10.500 --> 00:00:17.900]  藉著獵王當中來反思我們生命的本性有什麼反省
[00:00:17.900 --> 00:00:25.400]  我們先教一教這個東西吧 免得…
[00:00:25.400 --> 00:00:28.700]  好 我們先一起投稿
[00:00:28.700 --> 00:00:33.000]  天上大多謝你讓我們今天早上有生命的儀式來向你敬拜
[00:00:33.000 --> 00:00:37.000]  求你來到當中與我們同在 承認你幫助孩子
[00:00:37.000 --> 00:00:40.300]  由孩子所講的 弟子姊妹所聽的都是同感一力
[00:00:40.300 --> 00:00:46.800]  由在獵王的故事當中 能夠去反思自己的生命
[00:00:46.800 --> 00:00:50.000]  我們所信的是真還是偽 求主幫助
[00:00:50.000 --> 00:00:52.800]  以上禱告 奉耶穌文見道
[00:00:52.800 --> 00:01:03.200]  通常有時我們回教之後都要問究竟我信的東西是信成什麼呢
[00:01:03.200 --> 00:01:08.700]  是真還是偽呢 有時我們很多人以為是真的時候都是偽
[00:01:08.700 --> 00:01:11.700]  偽的時候會不會真呢 如果是真就很亂
[00:01:11.700 --> 00:01:15.700]  透過獵王記 我今天想講約阿斯
[00:01:15.700 --> 00:01:19.700]  約阿斯其實在我們讀以色列歷史的時候
[00:01:19.700 --> 00:01:23.700]  其實都很少講忍這個皇帝的故事
[00:01:23.700 --> 00:01:26.700]  不過這個故事是值得去看的
[00:01:26.700 --> 00:01:29.700]  看完整個約阿斯的故事
[00:01:29.700 --> 00:01:35.700]  應該由在歷代之下22章的尾段去到23、24章
[00:01:35.700 --> 00:01:37.700]  是一個很精彩的故事
[00:01:37.700 --> 00:01:40.700]  不過今天我剪裁到24章
[00:01:40.700 --> 00:01:44.700]  給大家一些部分去看這個約阿斯的事情
[00:01:44.700 --> 00:01:51.700]  其實不單止在歷代之下講述約阿斯的故事
[00:01:51.700 --> 00:01:56.700]  同樣在獵王記都在講約阿斯的故事當中
[00:01:56.700 --> 00:02:00.700]  當你在獵王記去看見約阿斯的時候
[00:02:00.700 --> 00:02:03.700]  你見到有四個段落 第一件事是他作王
[00:02:03.700 --> 00:02:12.700]  然後當約阿斯成為耶和耶大俠的師父或者是他的mentor
[00:02:12.700 --> 00:02:17.700]  聖經形容他約阿斯行耶和華中漢為政的時候
[00:02:17.700 --> 00:02:19.700]  所以是個好皇帝
[00:02:19.700 --> 00:02:24.700]  到了第四至十六節 更加講到約阿斯重修聖殿
[00:02:24.700 --> 00:02:31.700]  約阿斯除了是個好皇帝之外 究竟做過什麼呢
[00:02:31.700 --> 00:02:37.700]  當聖殿被毀或者有很多偶像毀壞的時候
[00:02:37.700 --> 00:02:41.700]  他能夠向百姓同心重修聖殿
[00:02:41.700 --> 00:02:44.700]  不過到了第十七至八節好景不常
[00:02:44.700 --> 00:02:51.700]  因為阿蘭軍打到來 需要在皇宮或聖殿拿錢出來
[00:02:51.700 --> 00:02:55.700]  令阿蘭軍不要攻打阿蘭軍隊
[00:02:55.700 --> 00:02:57.700]  最終阿蘭軍沒有打上來
[00:02:57.700 --> 00:02:59.700]  不過到了第十九至二十一節
[00:02:59.700 --> 00:03:02.700]  不幸的是他被神僕謀殺了
[00:03:02.700 --> 00:03:07.700]  故事就結束了 在獵王記下當中
[00:03:07.700 --> 00:03:13.700]  不過在歷代誌上去形容約阿斯有另一個演繹
[00:03:13.700 --> 00:03:19.700]  你見到整個二十四章一至二十七節
[00:03:19.700 --> 00:03:23.700]  我分了段落 整個七段那麼多
[00:03:23.700 --> 00:03:28.700]  你見到頭兩段和最後那段是一模一樣的
[00:03:28.700 --> 00:03:33.700]  一模一樣就是一節三節和獵王記一節三節一樣
