
[00:00:00.000 --> 00:00:05.480]  首先請大家不要誤解我今天不是講時裝潮流
[00:00:05.480 --> 00:00:12.420]  也不是講我們去懷舊香港以前的文物古蹟食物
[00:00:12.420 --> 00:00:14.680]  而是講到神伺機的作爲
[00:00:14.680 --> 00:00:19.520]  如何由古遠曾經在地上彰顯將來
[00:00:19.520 --> 00:00:21.680]  他也要這樣
[00:00:21.680 --> 00:00:23.220]  又講回打風扇
[00:00:23.220 --> 00:00:26.180]  上次那個天隔這個風真的很厲害
[00:00:26.180 --> 00:00:31.160]  我們香港尚且首大破壞
[00:00:31.160 --> 00:00:32.440]  很多樹都倒塌了
[00:00:32.440 --> 00:00:36.160]  最慘是停車場都淹沒了
[00:00:36.160 --> 00:00:39.460]  裏面有些很名貴的房車都淹沒了
[00:00:39.460 --> 00:00:42.440]  我都看見幾位車主心痛
[00:00:42.440 --> 00:00:47.720]  但更加我們見到我們附近澳門帶來的破壞
[00:00:47.720 --> 00:00:49.700]  我們更加不能夠想象
[00:00:49.700 --> 00:00:53.160]  其實澳門和香港距離又不太遠
[00:00:53.160 --> 00:00:57.360]  表面的發展好像雖然有些距離但不止這麼厲害
[00:00:57.360 --> 00:01:02.540]  爲什麼會帶來這麼不同的情況呢
[00:01:02.540 --> 00:01:04.040]  我想問大家
[00:01:04.040 --> 00:01:15.960]  澳門因爲天隔帶來的風災影響是天災還是人禍呢
[00:01:15.960 --> 00:01:19.740]  兩樣都有
[00:01:19.740 --> 00:01:23.820]  當然我們澳門和香港都習慣打風
[00:01:23.820 --> 00:01:25.840]  年年都有幾個
[00:01:25.840 --> 00:01:29.600]  香港經常講打風就講六幾年那個溫帶
[00:01:29.600 --> 00:01:33.520]  當然我還沒出世的時候
[00:01:33.520 --> 00:01:34.440]  澳門也有
[00:01:34.440 --> 00:01:38.260]  但爲什麼香港能夠因應我們這些經驗
[00:01:38.260 --> 00:01:41.440]  我們無論是天文臺的預報系統
[00:01:41.440 --> 00:01:43.840]  還是我們香港的基建
[00:01:43.840 --> 00:01:48.440]  我們市民對打風防禦措施的準備
[00:01:48.440 --> 00:01:51.280]  都能夠讓我們避免很多的損失
[00:01:51.280 --> 00:01:55.920]  相反澳門好像沒有從打風的前科去學習
[00:01:55.920 --> 00:01:57.760]  好像停留在一個階段
[00:01:57.760 --> 00:02:03.140]  帶來的破壞是我們想象不到香港會發生的
[00:02:03.140 --> 00:02:05.640]  但正正我今天想講的就是
[00:02:05.640 --> 00:02:07.840]  其實我們人要預測未來
[00:02:07.840 --> 00:02:10.560]  某程度上要看以往發生了什麼事
[00:02:10.560 --> 00:02:12.260]  當我們看到年年都有風
[00:02:12.260 --> 00:02:14.760]  年年都有可能打八號十號風球
[00:02:14.760 --> 00:02:17.680]  我們就預計未來每年都有這樣的情況
[00:02:17.680 --> 00:02:20.400]  我們就要預備讓這些不幸的事
[00:02:20.400 --> 00:02:21.520]  發生在我們身上
[00:02:21.520 --> 00:02:23.480]  我們要預備去防禦
[00:02:23.480 --> 00:02:26.320]  不會讓破壞帶來那麼大的影響
[00:02:26.320 --> 00:02:28.760]  若果我們忽略了過往所發生的事
[00:02:28.760 --> 00:02:30.640]  可以說是歷史的事情的時候
[00:02:30.640 --> 00:02:35.040]  我們就不能夠去未雨綢繆
[00:02:35.040 --> 00:02:39.280]  在先知哈巴谷去和神對話的時候
[00:02:39.280 --> 00:02:40.800]  當他去到第三章
