
[00:00:00.000 --> 00:00:03.160]  今天是耶穌基督復活的主日
[00:00:03.160 --> 00:00:05.320]  當我們說復活節
[00:00:05.320 --> 00:00:07.200]  不知道你有什麼心境
[00:00:07.200 --> 00:00:09.160]  來當中去敬拜神
[00:00:09.160 --> 00:00:11.080]  當然我們喪盡神
[00:00:11.080 --> 00:00:12.120]  耶穌基督
[00:00:12.120 --> 00:00:13.680]  祂當中的動力
[00:00:13.680 --> 00:00:16.480]  給了我們有復活潑的生命力
[00:00:16.480 --> 00:00:17.480]  但我還要問一個問題
[00:00:17.480 --> 00:00:19.840]  就是耶穌基督的復活
[00:00:19.840 --> 00:00:21.800]  真正與我們的生命
[00:00:21.800 --> 00:00:22.800]  我們的使命
[00:00:22.800 --> 00:00:26.200]  甚至我們信仰當中的關係是怎樣的呢?
[00:00:26.200 --> 00:00:29.000]  我們從一個這樣的角度去思想
[00:00:29.000 --> 00:00:31.920]  復活了的耶穌基督
[00:00:31.920 --> 00:00:33.360]  與我們的生命
[00:00:33.360 --> 00:00:34.600]  與我們的侍奉
[00:00:34.600 --> 00:00:40.440]  與我們的信仰有什麼關係?
[00:00:40.440 --> 00:00:42.760]  從牧師在上個禮拜的正道當中時
[00:00:42.760 --> 00:00:45.000]  引用了約翰福音書十二章
[00:00:45.000 --> 00:00:48.080]  他講到是一個榮耀的尊崇
[00:00:48.080 --> 00:00:49.800]  就像在瑪利亞當中
[00:00:49.800 --> 00:00:52.120]  拿著一斤極貴重的
[00:00:52.120 --> 00:00:55.640]  真拿達香膏
[00:00:55.640 --> 00:00:58.080]  去抹耶穌的腳
[00:00:58.080 --> 00:01:01.080]  他的動作是一個極謙卑的動作
[00:01:01.080 --> 00:01:06.120]  因為他用了頭髮去抹耶穌的腳
[00:01:06.120 --> 00:01:07.160]  就是這個緣故
[00:01:07.160 --> 00:01:08.520]  聖經裡面記載
[00:01:08.520 --> 00:01:12.320]  屋裡當時是充滿了高的香氣
[00:01:12.320 --> 00:01:15.120]  這個香氣是從感謝耶穌當中
[00:01:15.120 --> 00:01:17.360]  而帶出來的尊崇
[00:01:17.360 --> 00:01:21.320]  所以我說是一個榮耀的尊崇
[00:01:21.320 --> 00:01:24.760]  有一次我在辦公室六樓走出去之後
[00:01:24.760 --> 00:01:28.240]  我竟然聞到一種很另類的味道
[00:01:28.240 --> 00:01:31.760]  是煮飯的香的味道
[00:01:31.760 --> 00:01:32.880]  你知道教會有地牢
[00:01:32.880 --> 00:01:34.840]  地牢有廚房
[00:01:34.840 --> 00:01:36.920]  有煮菜的香氣
[00:01:36.920 --> 00:01:39.080]  由地牢升到六樓
[00:01:39.080 --> 00:01:41.240]  我就明白這個道理了
[00:01:41.240 --> 00:01:43.320]  原來這個榮耀的尊崇
[00:01:43.320 --> 00:01:46.480]  是可以充滿了一個地方
[00:01:46.480 --> 00:01:48.480]  如果不是一個人煮菜
[00:01:48.480 --> 00:01:50.040]  是多人煮菜
[00:01:50.040 --> 00:01:53.680]  整個教會都充滿神的榮耀的尊榮
[00:01:53.680 --> 00:01:57.200]  這個就是神對我們的盼望
[00:01:57.200 --> 00:01:58.160]  在尊榮當中
[00:01:58.160 --> 00:02:01.920]  引進耶穌基督進入耶路撒冷的時候
[00:02:01.920 --> 00:02:05.920]  尊重祂榮耀的君王
[00:02:05.920 --> 00:02:07.840]  吳牧師在《受苦者》當中的正道
[00:02:07.840 --> 00:02:10.920]  講到羅馬書是重要的經文
[00:02:10.920 --> 00:02:13.640]  主題是講到奇妙的愛怎能如此
[00:02:13.640 --> 00:02:16.840]  是一個很好的提點
[00:02:16.840 --> 00:02:19.680]  藉著耶穌基督十字架極痛苦
[00:02:19.680 --> 00:02:22.200]  極厭惡的死
[00:02:22.200 --> 00:02:25.040]  神的愛就這樣彰顯出來了
[00:02:25.040 --> 00:02:26.720]  怎樣彰顯呢
[00:02:26.720 --> 00:02:28.400]  罪得釋放
[00:02:28.400 --> 00:02:29.880]  我們是罪人
[00:02:29.880 --> 00:02:33.720]  竟然蒙恩典得罪的釋放
[00:02:33.720 --> 00:02:35.800]  得永生
[00:02:35.800 --> 00:02:37.120]  在思想當中
[00:02:37.120 --> 00:02:39.640]  是神兒子基督
[00:02:39.640 --> 00:02:40.800]  祂死在十字架上
[00:02:40.800 --> 00:02:44.120]  親自被釘十字架為我們而死
[00:02:44.120 --> 00:02:46.800]  祂就會成為我們罪的挽回祭
[00:02:46.800 --> 00:02:48.040]  所以所講的
[00:02:48.040 --> 00:02:51.120]  愛當中我們得到的救贖
[00:02:51.120 --> 00:02:54.400]  其實是背後有一個榮耀的苦楚
[00:02:54.400 --> 00:02:57.840]  擺上的就是這個耶穌基督
[00:02:57.840 --> 00:02:59.640]  如果從神的角度講
[00:02:59.640 --> 00:03:02.920]  耶穌基督的死在十字架上是怎樣想的呢
[00:03:02.920 --> 00:03:04.960]  聖經裡面的經文這樣講法
[00:03:04.960 --> 00:03:08.080]  《路加福音書》二十四章二十六節
[00:03:08.080 --> 00:03:11.400]  這是耶穌基督自己講自己的說話
[00:03:11.400 --> 00:03:12.920]  基督這樣受害
[00:03:12.920 --> 00:03:14.360]  又進入他的榮耀
[00:03:14.360 --> 00:03:17.760]  豈不是應當的嗎
[00:03:17.760 --> 00:03:19.120]  耶穌這樣講法
[00:03:19.120 --> 00:03:22.040]  祂說是受害、進入榮耀
[00:03:22.040 --> 00:03:24.360]  是應該的
[00:03:24.360 --> 00:03:25.440]  從人的角度來講
[00:03:25.440 --> 00:03:26.480]  怎能如此
[00:03:26.480 --> 00:03:28.200]  從耶穌的角度來講
[00:03:28.200 --> 00:03:29.680]  是應當的
[00:03:29.680 --> 00:03:30.920]  什麼意思呢
[00:03:30.920 --> 00:03:35.360]  祂死而復活之後又是怎樣的呢
[00:03:35.360 --> 00:03:37.240]  今天是復活的主日
[00:03:37.240 --> 00:03:41.360]  我們講的是榮耀的盼望
[00:03:41.360 --> 00:03:43.440]  是榮耀的使命
[00:03:43.440 --> 00:03:45.880]  言之就是基督的復活
[00:03:45.880 --> 00:03:48.640]  就給了我們有榮耀的盼望
[00:03:48.640 --> 00:03:50.680]  這個榮耀盼望在我們的心裡面
[00:03:50.680 --> 00:03:52.560]  就產生了一個榮耀的使命
[00:03:52.560 --> 00:03:54.080]  要出去實踐
[00:03:54.080 --> 00:03:57.680]  就是這個意思
[00:03:57.680 --> 00:04:02.280]  《哥羅西書》一章二十七節二十八節這樣講法
[00:04:02.280 --> 00:04:04.200]  神願意叫他們知道
[00:04:04.200 --> 00:04:08.440]  這奧秘在外邦人中有何等豐盛的榮耀
[00:04:08.440 --> 00:04:13.320]  就是基督在你們心裡成了有榮耀的盼望
[00:04:13.320 --> 00:04:16.200]  我們要傳讓祂是用諸般的智慧
[00:04:16.200 --> 00:04:18.040]  勸誡各人、教導各人
[00:04:18.040 --> 00:04:20.040]  要把各人在基督裡
[00:04:20.040 --> 00:04:23.920]  完完全全地引到神面前
[00:04:23.920 --> 00:04:26.120]  這裡講二十七節
[00:04:26.120 --> 00:04:32.560]  最後一節講到基督在你們心裡成了榮耀的盼望
[00:04:32.560 --> 00:04:33.400]  基督復活了
[00:04:33.400 --> 00:04:36.960]  榮耀的盼望在我們心裡面已經成就了出來
[00:04:36.960 --> 00:04:40.160]  所以二十八節我們要傳讓
[00:04:40.160 --> 00:04:42.680]  將人帶到神的面前
[00:04:42.680 --> 00:04:47.160]  如願請正的在神的面前
[00:04:47.160 --> 00:04:50.240]  另外在《經文》當中講到
[00:04:50.240 --> 00:04:53.680]  哥倫多前書十五章二十二節
[00:04:53.680 --> 00:04:55.280]  講到復活
[00:04:55.280 --> 00:04:57.400]  在亞當裡眾人都死了
[00:04:57.400 --> 00:05:01.800]  照樣在基督裡眾人也都要復活
[00:05:01.800 --> 00:05:02.640]  沒錯
[00:05:02.640 --> 00:05:04.040]  亞當當中眾人死了
[00:05:04.040 --> 00:05:06.920]  但是在耶穌基督裡面
[00:05:06.920 --> 00:05:08.640]  眾人是會生的
[00:05:08.640 --> 00:05:11.120]  是復活的
[00:05:11.120 --> 00:05:13.760]  所以我們憑著信的迎接
[00:05:13.760 --> 00:05:18.240]  耶穌基督復活的生命
[00:05:18.240 --> 00:05:20.600]  在我們當中得到一個盼望
[00:05:20.600 --> 00:05:22.240]  這個榮耀的盼望
[00:05:22.240 --> 00:05:24.880]  然後造成的工作
[00:05:24.880 --> 00:05:26.640]  所以我可以直接這樣講
[00:05:26.640 --> 00:05:29.480]  耶穌基督的復活就是我們的信
[00:05:29.480 --> 00:05:32.160]  也是我們的信仰的根基
