
[00:00:00.000 --> 00:00:01.400]  今天進入新的一年
[00:00:01.400 --> 00:00:04.480]  我們在崇拜的講道裡面
[00:00:04.480 --> 00:00:07.200]  我們也會開始一個新的系列
[00:00:07.200 --> 00:00:10.800]  主要會是從一個舊約的人物
[00:00:10.800 --> 00:00:12.640]  其實也是跟我們教會
[00:00:12.640 --> 00:00:13.840]  我們新一年裡面
[00:00:13.840 --> 00:00:16.080]  我很盼望能夠跟大英姐妹一起
[00:00:16.080 --> 00:00:18.680]  來到一個新的方向
[00:00:18.680 --> 00:00:22.240]  我們怎樣繼續成為神所喜悅
[00:00:22.240 --> 00:00:24.400]  高舉耶穌基督的教會
[00:00:24.400 --> 00:00:28.880]  我們的生命同樣能夠高舉基督
[00:00:28.880 --> 00:00:31.160]  我們會從以利亞
[00:00:31.160 --> 00:00:33.360]  先有一個開始
[00:00:33.360 --> 00:00:35.280]  在祂所經歷的
[00:00:35.280 --> 00:00:37.920]  讓我們生命得到提醒
[00:00:37.920 --> 00:00:42.080]  以致我們能夠領受神給我們的教導
[00:00:42.080 --> 00:00:44.040]  我不知道大家對以利亞有多熟悉
[00:00:44.040 --> 00:00:46.480]  如果大家有時間可以回去
[00:00:46.480 --> 00:00:49.760]  從《涅槃記》上第十七章開始看
[00:00:49.760 --> 00:00:54.680]  就已經看到以利亞的經歷、故事
[00:00:54.680 --> 00:00:57.240]  如果大家真的可以回去看的時候
[00:00:57.240 --> 00:00:59.800]  以後我們仍然有兩堂崇拜
[00:00:59.800 --> 00:01:01.720]  來講述以利亞
[00:01:01.720 --> 00:01:05.400]  希望大家有更好的準備認識
[00:01:05.400 --> 00:01:08.440]  我們更加能夠領受神給我們的訊息
[00:01:08.440 --> 00:01:11.320]  首先邀請大家讀完這一段今天的經文
[00:01:11.320 --> 00:01:13.240]  我們不用讀到十八節
[00:01:13.240 --> 00:01:17.240]  今天我們主要讀十九章的一到十節
[00:01:17.240 --> 00:01:18.280]  我們一起來看看
[00:01:18.280 --> 00:01:22.280]  以利亞所經歷過什麼發生的事件
[00:01:22.280 --> 00:01:23.920]  大家可以看手上的聖經
[00:01:23.920 --> 00:01:25.400]  也可以看《嚴綱莫》
[00:01:25.400 --> 00:01:28.160]  我們一起來讀完一到十節
[00:01:28.160 --> 00:01:29.680]  預備起
[00:01:29.680 --> 00:01:33.280]  「阿蝦將以利亞一切所行的
[00:01:33.280 --> 00:01:36.800]  和他用刀殺眾先知的事
[00:01:36.800 --> 00:01:39.280]  都告訴耶醒別
[00:01:39.280 --> 00:01:43.240]  耶醒別就差遣人去見以利亞
[00:01:43.240 --> 00:01:45.040]  告訴她說
[00:01:45.040 --> 00:01:47.520]  明日若在這時候
[00:01:47.520 --> 00:01:50.000]  我若不使你的性命
[00:01:50.000 --> 00:01:53.160]  像那些人的性命一樣
[00:01:53.160 --> 00:01:57.480]  願神明重重地降佛於我
[00:01:57.480 --> 00:02:02.600]  以利亞看見這光景就起來逃命
[00:02:02.600 --> 00:02:05.400]  到了猶大的別士巴
[00:02:05.400 --> 00:02:08.240]  將僕人留在那裡
[00:02:08.240 --> 00:02:12.440]  自己在曠野走了一日的路程
[00:02:12.440 --> 00:02:15.520]  來到一棵羅藤樹下
[00:02:15.520 --> 00:02:19.080]  就坐在那裡求死說
[00:02:19.080 --> 00:02:23.840]  耶和華罷了,求你取我的性命
[00:02:23.840 --> 00:02:27.560]  因為我不勝於我的列祖
[00:02:27.560 --> 00:02:30.760]  她就躺在羅藤樹下
[00:02:30.760 --> 00:02:35.080]  若了,有一個天使拍她說
[00:02:35.080 --> 00:02:36.880]  起來吃飯
[00:02:36.880 --> 00:02:38.280]  她觀看
[00:02:38.280 --> 00:02:43.280]  見頭旁有一瓶水與炭火燒的餅
[00:02:43.280 --> 00:02:45.680]  她就吃了喝了
[00:02:45.680 --> 00:02:47.680]  仍然躺下
[00:02:47.680 --> 00:02:52.080]  耶和華的使者第二次來拍她說
[00:02:52.080 --> 00:02:53.680]  起來吃飯
[00:02:53.680 --> 00:02:57.280]  因為你當走的路甚遠
[00:02:57.280 --> 00:03:00.480]  她就起來吃了喝了
[00:03:00.480 --> 00:03:05.080]  將著著飲食的力走了四十晝夜
[00:03:05.080 --> 00:03:09.080]  到了神的山就是荷列山
[00:03:09.080 --> 00:03:12.080]  她在那裡進了一個洞
[00:03:12.080 --> 00:03:14.280]  就住在洞中
[00:03:14.280 --> 00:03:17.080]  耶和華的話臨到她說
[00:03:17.080 --> 00:03:21.080]  以利亞,你在這裡做什麼?
[00:03:21.080 --> 00:03:22.080]  她說
[00:03:22.080 --> 00:03:26.480]  我為耶和華萬軍之神大發熱心
[00:03:26.480 --> 00:03:30.280]  因為以色列人背棄了你的藥
[00:03:30.280 --> 00:03:32.280]  毀壞了你的炭
[00:03:32.280 --> 00:03:35.280]  用刀殺了你的善智
[00:03:35.280 --> 00:03:37.680]  只剩下我一個人
[00:03:37.680 --> 00:03:41.680]  他們還要尋索我的命
[00:03:41.680 --> 00:03:46.480]  這是以利亞生平裡面一個很大的經歷
[00:03:46.480 --> 00:03:50.080]  我們今天主要都會從這段經文來看
[00:03:50.080 --> 00:03:52.680]  在看這段經文之前
[00:03:52.680 --> 00:03:54.280]  我也想和大家溫習一下
[00:03:54.280 --> 00:03:57.880]  2019年就是教會的80週年
[00:03:57.880 --> 00:04:01.080]  我們在每一年大致上都有一些
[00:04:01.080 --> 00:04:04.080]  教會的標語或方向口號
[00:04:04.080 --> 00:04:06.080]  我不知道大家還記不記得
[00:04:06.080 --> 00:04:10.880]  去年我們用了什麼做一個口號
[00:04:10.880 --> 00:04:14.880]  和我們的週年唐慶歌都很有
[00:04:14.880 --> 00:04:17.480]  如果大家還記得歌詞的印象
[00:04:17.480 --> 00:04:19.680]  我們說到高舉基督
[00:04:19.680 --> 00:04:23.480]  然後更生同行
[00:04:23.480 --> 00:04:25.480]  這是我們去年的
[00:04:25.480 --> 00:04:28.480]  2020年大家知道是什麼嗎?
[00:04:28.480 --> 00:04:33.280]  大家在周刊封面那裡都有
[00:04:33.280 --> 00:04:36.280]  如果有看到我們一起讀一次
[00:04:36.280 --> 00:04:40.280]  這個其實我很想是2019年的延續
[00:04:40.280 --> 00:04:41.880]  我們盼望新的一年
[00:04:41.880 --> 00:04:45.480]  我們仍然可以成為一間高舉基督的教會
[00:04:45.480 --> 00:04:47.480]  我們一起讀一次這個口號
[00:04:47.480 --> 00:04:49.480]  就是我們的標語方向
[00:04:49.480 --> 00:04:51.280]  我們一起預備起
[00:04:51.280 --> 00:04:55.080]  高舉基督 活出照命
[00:04:55.080 --> 00:04:58.480]  我想重點繼續是高舉基督
[00:04:58.480 --> 00:05:00.480]  同樣我很盼望我們能夠
[00:05:00.480 --> 00:05:02.880]  不單只是自己
[00:05:02.880 --> 00:05:06.080]  我們每個人應該都活出神給我們照命
[00:05:06.080 --> 00:05:07.680]  同樣我們教會
[00:05:07.680 --> 00:05:10.480]  更加是能夠成為高舉基督的教會
[00:05:10.480 --> 00:05:12.480]  能夠成為一個活出
[00:05:12.480 --> 00:05:16.680]  神給城鎮教會的照命
[00:05:16.680 --> 00:05:19.680]  在崇拜講道系列
[00:05:19.680 --> 00:05:22.080]  我想到《馬克福音》的時候
[00:05:22.080 --> 00:05:26.080]  我們曾經都一起在第九章提到
[00:05:26.080 --> 00:05:29.880]  耶穌去有一個登山變像的經歷
[00:05:29.880 --> 00:05:33.080]  在當中祂帶著三個門徒上山來變像
[00:05:33.080 --> 00:05:35.080]  當中又出現了有兩個人
[00:05:35.080 --> 00:05:37.680]  舊約的人物來跟耶穌對話
[00:05:37.680 --> 00:05:39.880]  是哪兩個?
[00:05:39.880 --> 00:05:42.480]  以利亞和摩西
[00:05:42.480 --> 00:05:44.880]  有些還很有印象
[00:05:44.880 --> 00:05:47.680]  這個經歷其實是一個很特別的經歷
[00:05:47.680 --> 00:05:50.880]  我們之前在崇拜講道也有提過
[00:05:50.880 --> 00:05:54.880]  我覺得這個也是一個很好的開始
[00:05:54.880 --> 00:06:00.480]  我就用了大家一起來思想
[00:06:00.480 --> 00:06:02.680]  如何高舉基督 活出照命
[00:06:02.680 --> 00:06:04.680]  我就從舊約的人物
[00:06:04.680 --> 00:06:08.280]  我又從以利亞和摩西開始
[00:06:08.280 --> 00:06:10.080]  接著有不同的聖經人物
[00:06:10.080 --> 00:06:13.080]  我們從他們的生命當中
[00:06:13.080 --> 00:06:17.880]  神讓我們學習如何活出神的照命
[00:06:17.880 --> 00:06:21.680]  接下來大家都會聽以利亞和摩西
[00:06:21.680 --> 00:06:26.080]  有不同的聖經人物的信息
[00:06:26.080 --> 00:06:27.080]  今天以利亞
[00:06:27.080 --> 00:06:31.280]  我想跟大家聊聊認識自己為主而活
[00:06:31.280 --> 00:06:34.280]  以利亞的人生的經歷
[00:06:34.280 --> 00:06:38.680]  可以說是反面教材
[00:06:38.680 --> 00:06:42.480]  正正是一個成為我們很好的提醒
[00:06:42.480 --> 00:06:46.280]  我們先從以利亞如何看自己的遭遇
[00:06:46.280 --> 00:06:49.680]  來學習
[00:06:49.680 --> 00:06:50.680]  如果大家還有印象
[00:06:50.680 --> 00:06:52.080]  剛才我們讀的經文
[00:06:52.080 --> 00:06:54.280]  第十四節我們雖然沒有讀到
[00:06:54.280 --> 00:06:57.480]  但其實跟第十節是一模一樣的
[00:06:57.480 --> 00:07:02.080]  以利亞在當中經歷了跟神兩次的對話
[00:07:02.080 --> 00:07:04.680]  神問他在這裡做什麼的時候
[00:07:04.680 --> 00:07:09.080]  以利亞同樣將他的回應再說一次
[00:07:09.080 --> 00:07:11.280]  在第十四節再出現
[00:07:11.280 --> 00:07:14.080]  所以這裡提到他跟神說
[00:07:14.080 --> 00:07:15.880]  他為神大發熱心
[00:07:15.880 --> 00:07:17.280]  然後經歷了很多
[00:07:17.280 --> 00:07:20.080]  之後他會告訴神
[00:07:20.080 --> 00:07:22.680]  真的很慘,只剩下我一個人
[00:07:22.680 --> 00:07:26.280]  這就是以利亞如何看自己的遭遇
[00:07:26.280 --> 00:07:29.480]  只剩下我一個人
[00:07:29.480 --> 00:07:32.080]  不知道這是否一些弟兄姊妹
[00:07:32.080 --> 00:07:33.680]  在你的信仰經歷上高
[00:07:33.680 --> 00:07:35.080]  在你的人生經歷裡
[00:07:35.080 --> 00:07:39.880]  有時候覺得做到最後只剩下你一個
[00:07:39.880 --> 00:07:42.880]  但我想從以利亞的經歷中提醒我們
[00:07:42.880 --> 00:07:46.880]  人生當中有時候我們會有不同的期望
[00:07:46.880 --> 00:07:49.280]  剛才提到我們新年會不會有些立志
[00:07:49.280 --> 00:07:50.680]  或者我們的願望
[00:07:50.680 --> 00:07:52.480]  其實也有類似的
[00:07:52.480 --> 00:07:56.080]  以利亞在他的人生經歷裡
[00:07:56.080 --> 00:07:58.280]  不同的階段他也有些期望
[00:07:58.280 --> 00:08:02.880]  特別如果大家看回《女王記》上的第十八章
[00:08:02.880 --> 00:08:04.680]  以利亞經歷了在加密山裡
[00:08:04.680 --> 00:08:08.280]  跟巴力拜偶像的先知
[00:08:08.280 --> 00:08:11.280]  有一個我們可以叫做「鬥法」
[00:08:11.280 --> 00:08:15.680]  如何顯明哪一個才是真正的神
[00:08:15.680 --> 00:08:19.080]  以利亞為神做了一個很大的神蹟
[00:08:19.080 --> 00:08:20.280]  如果大家不是很熟悉
[00:08:20.280 --> 00:08:21.680]  可以回去慢慢看
[00:08:21.680 --> 00:08:23.280]  真的很大
[00:08:23.280 --> 00:08:28.480]  結果他殺了這些拜巴力偶像的先知
[00:08:28.480 --> 00:08:29.880]  在以利亞的期望當中
[00:08:29.880 --> 00:08:33.680]  可能他很想神能夠使用他這麼大的神蹟
[00:08:33.680 --> 00:08:37.880]  一次過剷除了拜巴力偶像
[00:08:37.880 --> 00:08:43.080]  損害了以色列人的宗教
[00:08:43.080 --> 00:08:44.680]  他帶著這個期望
[00:08:44.680 --> 00:08:46.880]  他想著自己一個這麼大的神蹟
[00:08:46.880 --> 00:08:48.080]  神用得著他
[00:08:48.080 --> 00:08:49.680]  他就可以成功了
[00:08:49.680 --> 00:08:51.280]  他就可以因為這樣
[00:08:51.280 --> 00:08:55.080]  甚至可能他會覺得為神做了很大的事情
