
[00:00:00.000 --> 00:00:03.320]  我覺得約拿書,我們好像很熟悉
[00:00:03.320 --> 00:00:08.320]  我們一想起約拿,就想起它的不馴服
[00:00:08.320 --> 00:00:10.520]  所以今天我講到的題目
[00:00:10.520 --> 00:00:14.760]  第一篇我講到的題目就是不馴服的約拿
[00:00:14.760 --> 00:00:18.000]  很明顯,它膽大包天
[00:00:18.000 --> 00:00:20.520]  上帝明明要它去尼尼尾城
[00:00:20.520 --> 00:00:22.920]  它就去了他斯
[00:00:22.920 --> 00:00:27.320]  尼尼尾城是今天的伊拉克的北部
[00:00:27.320 --> 00:00:31.720]  而他斯是今天西班牙的南部
[00:00:31.720 --> 00:00:33.920]  所以如果今天讓大家選擇
[00:00:33.920 --> 00:00:35.720]  你想去伊拉克的北部
[00:00:35.720 --> 00:00:37.120]  還是西班牙的南部
[00:00:37.120 --> 00:00:38.320]  你想去哪裏
[00:00:38.320 --> 00:00:39.720]  你當然選擇去西班牙
[00:00:39.720 --> 00:00:42.120]  最低限度有黃馬、巴塞
[00:00:42.120 --> 00:00:44.320]  你無論如何都去西班牙
[00:00:44.320 --> 00:00:46.920]  怎會去伊拉克呢
[00:00:46.920 --> 00:00:52.520]  有ISIS,被人斬頭還未知
[00:00:52.520 --> 00:00:55.720]  擺明居馬,它說我不去
[00:00:55.720 --> 00:00:58.720]  我們說這個是不馴服的先知
[00:00:58.720 --> 00:01:01.920]  講完,一個不馴服的先知有甚麼可學
[00:01:01.920 --> 00:01:04.920]  弟兄姊妹,那個傳達人講得很對
[00:01:04.920 --> 00:01:07.920]  約拿書其實並不容易講
[00:01:07.920 --> 00:01:10.920]  好像真的很容易
[00:01:10.920 --> 00:01:14.120]  講啟示錄其實很容易講
[00:01:14.120 --> 00:01:16.320]  因為大家都不懂
[00:01:16.320 --> 00:01:17.920]  我講甚麼你都信甚麼
[00:01:17.920 --> 00:01:19.720]  我們又不懂,你又不懂
[00:01:19.720 --> 00:01:21.520]  但好像我很懂約拿書
[00:01:21.520 --> 00:01:26.320]  不馴服,沒話說,不乖
[00:01:26.320 --> 00:01:30.720]  但如何將一個很不乖的先知
[00:01:30.720 --> 00:01:32.720]  成為了我們接下來這幾個月
[00:01:32.720 --> 00:01:35.720]  我希望能夠較為深入一點
[00:01:35.720 --> 00:01:38.720]  跟大家去看這個約拿的神經
[00:01:38.720 --> 00:01:40.920]  我們一起讀讀
[00:01:40.920 --> 00:01:42.520]  約拿書的第一章
[00:01:42.520 --> 00:01:45.120]  由第一節讀到第三節
[00:01:45.120 --> 00:01:47.520]  我今天只跟大家講三節的聖經
[00:01:47.520 --> 00:01:49.120]  我們一起重讀神的話語
[00:01:49.120 --> 00:01:50.720]  準備,一二三
[00:01:50.720 --> 00:01:54.920]  耶和華的話臨到阿米太的兒子約拿
[00:01:54.920 --> 00:01:58.920]  說:你起來往尼尼尾大城去
[00:01:58.920 --> 00:02:01.320]  向其中的居民呼喊
[00:02:01.320 --> 00:02:04.720]  因為他們的惡達到我面前
[00:02:04.720 --> 00:02:07.920]  約拿卻起來逃往他思去
[00:02:07.920 --> 00:02:09.520]  躲避耶和華
[00:02:09.520 --> 00:02:14.320]  下到約伯,遇見一隻船要往他思去
[00:02:14.320 --> 00:02:17.520]  他就吸了船架,上了船
[00:02:17.520 --> 00:02:21.520]  要與船撞擊人
[00:02:21.520 --> 00:02:23.120]  耶和華
