
[00:00:00.000 --> 00:00:02.960]  老太子保佑讓我們聽上帝的說話
[00:00:02.960 --> 00:00:04.280]  以先而為先
[00:00:04.280 --> 00:00:05.040]  以禱告
[00:00:05.040 --> 00:00:07.560]  將我們交給主我們的神
[00:00:07.560 --> 00:00:10.880]  請讓我們聽神的話語之先
[00:00:10.880 --> 00:00:11.960]  先將我們的心
[00:00:11.960 --> 00:00:14.000]  先交給我們做我們的神
[00:00:14.000 --> 00:00:17.000]  我們父神多謝祢
[00:00:17.000 --> 00:00:18.680]  讓我們能夠再次回來
[00:00:18.680 --> 00:00:20.800]  在祢的寶貴說話當中
[00:00:20.800 --> 00:00:22.880]  去明白祢的心思意念
[00:00:22.880 --> 00:00:26.400]  求祢讓我們能夠更了解
[00:00:26.400 --> 00:00:28.280]  祢是怎樣為主
[00:00:28.880 --> 00:00:30.200]  也要更明白
[00:00:30.200 --> 00:00:32.080]  究竟今天我們所落在的
[00:00:32.080 --> 00:00:33.560]  宿靈光景是如何
[00:00:33.560 --> 00:00:35.760]  求祢的幫助
[00:00:35.760 --> 00:00:39.640]  免得我們在信仰的道途上
[00:00:39.640 --> 00:00:42.000]  由最初我們走錯路
[00:00:42.000 --> 00:00:44.640]  求聖靈保佑我們
[00:00:44.640 --> 00:00:47.280]  走這條宿靈的永生的道路
[00:00:47.280 --> 00:00:49.080]  我親愛的父神感謝祢
[00:00:49.080 --> 00:00:50.320]  讓我們能夠今天
[00:00:50.320 --> 00:00:53.480]  再次來到主祢的說話的跟前
[00:00:53.480 --> 00:00:57.120]  來到明白上帝祢是一位怎樣的神
[00:00:57.760 --> 00:01:00.120]  讓我們也同學更清楚明白
[00:01:00.120 --> 00:01:02.120]  我們自己今天我們的宿靈光景
[00:01:02.120 --> 00:01:05.880]  到底上落在怎樣的光景裡面
[00:01:05.880 --> 00:01:10.280]  求我們知道我們很容易走迷失路
[00:01:10.280 --> 00:01:13.600]  讓我們不要在信仰的
[00:01:13.600 --> 00:01:16.000]  宿靈的道途最初的時間
[00:01:16.000 --> 00:01:17.520]  我們就已經走錯路
[00:01:17.520 --> 00:01:20.160]  讓我們知道我們要走的路
[00:01:20.160 --> 00:01:21.640]  是一條永恆的路
[00:01:21.640 --> 00:01:23.960]  讓我們不要錯信
[00:01:23.960 --> 00:01:26.440]  讓我們能夠明白上帝祢
[00:01:26.440 --> 00:01:29.240]  到底上面是怎樣的一位神
[00:01:29.240 --> 00:01:31.320]  讓我們好好的預備
[00:01:31.320 --> 00:01:33.800]  來到跟祢在永恆當中的同步
[00:01:33.800 --> 00:01:35.200]  我們禱告
[00:01:35.200 --> 00:01:36.560]  奉主耶穌的名錯
[00:01:36.560 --> 00:01:37.560]  Amen
[00:01:37.560 --> 00:01:41.640]  不知道有沒有一些弟兄姊妹
[00:01:41.640 --> 00:01:43.480]  我們也曾經被人讚過
[00:01:43.480 --> 00:01:45.920]  我們基督徒真是好好心地
[00:01:45.920 --> 00:01:48.400]  我不知道你們是不是
[00:01:48.400 --> 00:01:49.880]  有被別人稱讚過
[00:01:49.880 --> 00:01:51.920]  你們這些基督徒真的心腸很好
[00:01:51.920 --> 00:01:56.280]  其實我在做基督徒這三十多年當中
[00:01:56.280 --> 00:01:58.800]  其實都遇過不少的人
[00:01:58.800 --> 00:02:02.000]  我在做基督徒這三十多年的人生當中
[00:02:02.000 --> 00:02:03.360]  也遇到不少的人
[00:02:03.360 --> 00:02:04.560]  他經常都這樣說
[00:02:04.560 --> 00:02:06.880]  他說你們基督徒真是好好人
[00:02:06.880 --> 00:02:09.600]  你們這些基督徒真是好人
[00:02:09.600 --> 00:02:11.760]  如果有人這樣對你說的話
[00:02:11.760 --> 00:02:13.280]  如果有人這麼對你說的話
[00:02:13.280 --> 00:02:15.200]  你做基督徒真是好好人
[00:02:15.200 --> 00:02:16.920]  你們這些基督徒真是好人
[00:02:16.920 --> 00:02:19.320]  不知道你有什麼感受
[00:02:19.320 --> 00:02:21.000]  不知道你有什麼感受
