
[00:00:00.000 --> 00:00:04.200]  大家都會留意到在這個季度的崇拜講題
[00:00:04.200 --> 00:00:07.000]  我們會集中思想聖靈的工作
[00:00:07.000 --> 00:00:12.600]  特別思想到聖靈將神的愛囂觀在我們的生命裏面
[00:00:12.600 --> 00:00:14.400]  更多認識聖靈
[00:00:14.400 --> 00:00:20.200]  更多認識更多經歷上帝透過聖靈給我們生命的更新
[00:00:20.200 --> 00:00:22.600]  不單止環境的更新
[00:00:22.600 --> 00:00:24.800]  更加是我們生命的更新
[00:00:24.800 --> 00:00:26.200]  我們大家再一起祈禱
[00:00:26.200 --> 00:00:28.400]  再一次仰望主引導我們
[00:00:30.000 --> 00:00:39.000]  天地的主,滿有權能的上帝
[00:00:39.000 --> 00:00:42.800]  主祢不單止帶著能力統管萬有
[00:00:42.800 --> 00:00:47.400]  祢更加以祢的恩賜與祢的子民同在
[00:00:47.400 --> 00:00:51.200]  主在我們心裏面常常感到不配
[00:00:51.200 --> 00:00:55.800]  因為天和天上的天不足以祢居住
[00:00:55.800 --> 00:00:59.200]  但祢自己樂意住在我們的生命當中
[00:00:59.200 --> 00:01:03.400]  主我們今天在祢的面前也再一次尋求
[00:01:03.400 --> 00:01:08.000]  主求祢藉聖靈充滿我們的生命
[00:01:08.000 --> 00:01:12.200]  讓我們常在祢的裏面經歷祢自己的慈愛
[00:01:12.200 --> 00:01:16.400]  以致我們知道以愛回應祢的愛
[00:01:16.400 --> 00:01:22.200]  我們就更加得著進入祢給我們豐盛的生命
[00:01:22.200 --> 00:01:25.400]  今天當我們再打開聖經思想祢的說話
[00:01:25.400 --> 00:01:31.000]  仰望真理的聖靈在我們心中指教引導我們
[00:01:31.000 --> 00:01:36.400]  我們同心祈禱奉耶穌基督聖名求安門
[00:01:36.400 --> 00:01:40.000]  我們今天一起思想的是羅馬書第五章的經文
[00:01:40.000 --> 00:01:42.000]  我們接下來在這個季度
[00:01:42.000 --> 00:01:46.000]  一路會思想羅馬書和加拿大書的訊息
[00:01:46.000 --> 00:01:48.200]  特別是聖靈方面的訊息
[00:01:48.200 --> 00:01:49.800]  而這次我們思想的就是
[00:01:49.800 --> 00:01:53.600]  神的愛如何囂貫在我們的心裏面
[00:01:53.600 --> 00:01:56.000]  當我們讀到聖經第五章開始的時候
[00:01:56.000 --> 00:01:58.600]  你發覺聖經一開始就提到
[00:01:58.600 --> 00:02:00.600]  我們因為信靠神
[00:02:00.600 --> 00:02:03.600]  神稱我們為義
[00:02:03.600 --> 00:02:06.600]  不是我們自己賺取回來
[00:02:06.600 --> 00:02:09.200]  是神因為耶穌基督的救贖
[00:02:09.200 --> 00:02:10.800]  拯救我們
[00:02:10.800 --> 00:02:14.800]  就將義抱蓋在我們的身上
[00:02:14.800 --> 00:02:18.400]  亦都意味著我們能夠得勝罪惡
[00:02:18.400 --> 00:02:22.000]  進入神給我們潔淨的生命裏面
[00:02:22.000 --> 00:02:24.400]  當聖經講到清義的時候
[00:02:24.400 --> 00:02:27.400]  你會發覺聖經立時提到有三方面
[00:02:27.400 --> 00:02:31.200]  神給我們的福氣和恩惠
[00:02:31.200 --> 00:02:32.200]  首先聖經所講
[00:02:32.200 --> 00:02:34.200]  因為因信清義
[00:02:34.200 --> 00:02:36.400]  就藉著我們的主耶穌基督
[00:02:36.400 --> 00:02:39.400]  我們得與神相和
[00:02:39.400 --> 00:02:40.200]  第二
[00:02:40.200 --> 00:02:41.200]  我們藉著祂
[00:02:41.200 --> 00:02:42.800]  又藉著祂
[00:02:42.800 --> 00:02:46.800]  站在因信站在這恩典當中
[00:02:46.800 --> 00:02:47.800]  第三
[00:02:47.800 --> 00:02:51.800]  是歡歡喜喜盼望神的榮耀
[00:02:51.800 --> 00:02:53.800]  當我們領受了救恩之後
[00:02:53.800 --> 00:02:56.800]  聖經清楚講一件事實
[00:02:56.800 --> 00:03:01.800]  就是我們從此與這位創造天地的上帝相和
[00:03:01.800 --> 00:03:05.800]  一種和好的關係建立起來
[00:03:05.800 --> 00:03:07.800]  《下帝聖經》提及到
[00:03:07.800 --> 00:03:12.800]  這種關係叫我們能夠不再在神的憤怒之下
[00:03:12.800 --> 00:03:14.800]  在《下帝聖經》第九節提及
[00:03:14.800 --> 00:03:18.800]  藉著主耶穌免去神對我們的憤怒
[00:03:18.800 --> 00:03:21.600]  人未曾認識神之前
[00:03:21.600 --> 00:03:23.800]  是與神為敵的
[00:03:23.800 --> 00:03:26.800]  人的心違背上帝的意思
[00:03:26.800 --> 00:03:29.800]  上上面對著神的震怒
[00:03:29.800 --> 00:03:31.800]  在神公義的審判之下
[00:03:31.800 --> 00:03:34.800]  心裏面不會有平安
[00:03:34.800 --> 00:03:35.800]  因此聖經上講到
[00:03:35.800 --> 00:03:37.800]  惡人必不得平安
[00:03:37.800 --> 00:03:40.800]  因為面對神公義的審判
[00:03:40.800 --> 00:03:43.800]  我好深刻記得一位年長的姐妹
[00:03:43.800 --> 00:03:45.800]  講述到她自己
[00:03:45.800 --> 00:03:47.800]  她以前未信主之前
[00:03:47.800 --> 00:03:50.800]  她很多時候都會拜很多不同的神明
[00:03:50.800 --> 00:03:52.800]  好似很多人所講
[00:03:52.800 --> 00:03:53.800]  入廟就拜神
[00:03:53.800 --> 00:03:56.800]  她認為這樣做就可以得到安寧
[00:03:56.800 --> 00:03:58.800]  因為無論拜到哪一個
[00:03:58.800 --> 00:04:00.800]  總有一個是對的
[00:04:00.800 --> 00:04:02.800]  所以就可以得到安寧
[00:04:02.800 --> 00:04:04.800]  但是她一路拜的時候
[00:04:04.800 --> 00:04:07.800]  她就覺得其實都很慌張
[00:04:07.800 --> 00:04:10.800]  因為不知何時自己得罪了那個
[00:04:10.800 --> 00:04:12.800]  得那個的歡心
[00:04:12.800 --> 00:04:14.800]  又失得失那個
[00:04:14.800 --> 00:04:16.800]  她裏面上上就講
[00:04:16.800 --> 00:04:19.800]  為何還是這麼不安樂
[00:04:19.800 --> 00:04:20.800]  直至有一日
[00:04:20.800 --> 00:04:22.800]  當她信靠耶穌
[00:04:22.800 --> 00:04:24.800]  她認識主耶穌
[00:04:24.800 --> 00:04:26.800]  在那個時候我記得她講
[00:04:26.800 --> 00:04:28.800]  她就說原來這位上帝
[00:04:28.800 --> 00:04:31.800]  不只是要求我做些甚麼
[00:04:31.800 --> 00:04:35.800]  祂更加是一個愛我的神
