
[00:00:00.000 --> 00:00:05.000]  首先在這裏祝大家父親節快樂
[00:00:05.000 --> 00:00:11.000]  其實我剛剛才知道香港美國的父親節是同一天
[00:00:11.000 --> 00:00:15.000]  但是澳洲的父親節是在9月的
[00:00:15.000 --> 00:00:21.000]  另外就是英國的父親節是有不同的日子的
[00:00:21.000 --> 00:00:23.000]  不過無論怎樣都好
[00:00:23.000 --> 00:00:29.000]  希望大家今天都有一個喜樂的父親節
[00:00:29.000 --> 00:00:33.000]  可以和家人一起慶祝
[00:00:33.000 --> 00:00:39.000]  我也都想用一個爸爸的故事
[00:00:39.000 --> 00:00:43.000]  作為我今天的訊息的開始
[00:00:43.000 --> 00:00:46.000]  有一個很喜歡滑雪的爸爸
[00:00:46.000 --> 00:00:50.000]  他帶著他太太和他八歲的兒子去滑雪
[00:00:50.000 --> 00:00:54.000]  他的兒子自小都跟爸爸去滑雪的
[00:00:54.000 --> 00:00:56.000]  所以都不是陌生
[00:00:56.000 --> 00:00:59.000]  不過因為一次的意外
[00:00:59.000 --> 00:01:03.000]  就令他對滑雪留下了一些陰影
[00:01:03.000 --> 00:01:06.000]  那天他們就去到一個滑雪場那裏
[00:01:06.000 --> 00:01:11.000]  那條滑雪的跑道
[00:01:11.000 --> 00:01:14.000]  那個斜坡都非常之斜的
[00:01:14.000 --> 00:01:16.000]  亦都是非常之高的
[00:01:16.000 --> 00:01:20.000]  當時他們已經玩了整個的上午
[00:01:20.000 --> 00:01:24.000]  開始累了又餓了就上去吃東西
[00:01:24.000 --> 00:01:28.000]  爸爸就預備滑下去
[00:01:28.000 --> 00:01:31.000]  然後在下面去吃午餐
[00:01:31.000 --> 00:01:34.000]  爸爸就叫兒子滑下去
[00:01:34.000 --> 00:01:39.000]  但是兒子可能是因為那一次意外的陰影
[00:01:39.000 --> 00:01:41.000]  他怎樣都不肯
[00:01:41.000 --> 00:01:45.000]  爸爸又哄又罵
[00:01:45.000 --> 00:01:50.000]  又用理由給一些很好吃的東西給你
[00:01:50.000 --> 00:01:54.000]  但是兒子怎樣都不肯滑下去
[00:01:54.000 --> 00:01:58.000]  於是爸爸就很生氣
[00:01:58.000 --> 00:02:01.000]  身邊的媽媽看到這樣的情況
[00:02:01.000 --> 00:02:03.000]  就和她丈夫說
[00:02:03.000 --> 00:02:05.000]  你先滑下去
[00:02:05.000 --> 00:02:09.000]  我會講服兒子跟著一起的
[00:02:09.000 --> 00:02:12.000]  於是爸爸就滑了下去
[00:02:12.000 --> 00:02:18.000]  他望上去滑雪場的上面
[00:02:18.000 --> 00:02:24.000]  看到媽媽是用很溫柔的身體語言
[00:02:24.000 --> 00:02:27.000]  就在那裏和兒子講
[00:02:27.000 --> 00:02:30.000]  他又看到兒子又耍手又轉頭
[00:02:30.000 --> 00:02:32.000]  怎樣都不肯
[00:02:32.000 --> 00:02:36.000]  最後還坐在地上
[00:02:36.000 --> 00:02:39.000]  於是爸爸就很生氣
[00:02:39.000 --> 00:02:42.000]  他脫下他的雪橇
[00:02:42.000 --> 00:02:45.000]  然後就背在他的肩膀那裏
[00:02:45.000 --> 00:02:51.000]  一步一步地走上去滑雪場的上面
