
[00:00:00.000 --> 00:00:06.500]  我上個星期在國語部講的道是這篇道
[00:00:06.500 --> 00:00:10.000]  他們剛剛有三位弟兄姊妹受洗
[00:00:10.000 --> 00:00:11.500]  我也是講這篇道
[00:00:11.500 --> 00:00:15.000]  今天粵語部很高興Jennifer和Peggy受洗
[00:00:15.000 --> 00:00:17.000]  我也是講這篇道
[00:00:17.000 --> 00:00:20.000]  當然一篇是國語,一篇是粵語
[00:00:20.000 --> 00:00:22.000]  但是為什麼講這篇道呢?
[00:00:22.000 --> 00:00:26.500]  其實跟一個新人的生活有連帶的關係
[00:00:26.500 --> 00:00:32.500]  我們能夠從以色列人攻打耶利歌城來學習
[00:00:32.500 --> 00:00:36.500]  我們如何能夠面對難題的時候
[00:00:36.500 --> 00:00:42.000]  能夠克服,能夠走在神的旨意裡面
[00:00:42.000 --> 00:00:49.500]  耶利歌城其實是亞摩利人的首都
[00:00:49.500 --> 00:00:56.000]  耶利歌城在加南地三個最大的城市當中的其中之一個
[00:00:56.000 --> 00:00:59.500]  它在加南地的中心部份
[00:00:59.500 --> 00:01:04.000]  所以攻打耶利歌城其實是一個很好的戰略
[00:01:04.000 --> 00:01:08.000]  當以色列人征服了耶利歌城之後
[00:01:08.000 --> 00:01:11.000]  就能夠將敵人南北分開
[00:01:11.000 --> 00:01:15.500]  敵人不能夠聯手一起攻擊以色列人
[00:01:15.500 --> 00:01:20.000]  所以以色列人就能夠將他們逐一擊敗
[00:01:20.000 --> 00:01:24.500]  耶利歌城沒有巴比倫城那麽宏偉
[00:01:24.500 --> 00:01:32.000]  巴比倫城可以同時讓六輛馬車在城牆上高賽跑
[00:01:32.000 --> 00:01:36.000]  耶利歌城就沒有那麽宏偉,沒有那麽大
[00:01:36.000 --> 00:01:39.000]  但是耶利歌城有一個特點
[00:01:39.000 --> 00:01:45.500]  就是它被考古學所發掘出來的所有城市
[00:01:45.500 --> 00:01:50.500]  最古老有城牆的就是耶利歌城
[00:01:50.500 --> 00:01:55.500]  耶利歌城是有兩個圍牆圍著的
[00:01:55.500 --> 00:01:58.500]  有兩幅城牆圍著
[00:01:58.500 --> 00:02:03.000]  最外的一層是建築在賭場的上高
[00:02:03.000 --> 00:02:06.500]  我說的不是拉斯維加斯的賭場
[00:02:06.500 --> 00:02:09.000]  這個賭場是堵住泥土
[00:02:09.000 --> 00:02:11.000]  為何需要堵住泥土?
[00:02:11.000 --> 00:02:14.500]  原來耶利歌城是建立在山上的
[00:02:14.500 --> 00:02:16.000]  斜坡上
[00:02:16.000 --> 00:02:20.000]  經常下雨的時候都會有泥土沖下來
[00:02:20.000 --> 00:02:22.500]  如果你不找賭場堵住
[00:02:22.500 --> 00:02:26.000]  慢慢慢慢耶利歌城的根基就會出現問題
[00:02:26.000 --> 00:02:28.500]  所以他們有一個賭場堵住
[00:02:28.500 --> 00:02:33.000]  賭場自己已經是12至15尺高
[00:02:33.000 --> 00:02:37.500]  賭場的上高就是第一層的外牆
[00:02:37.500 --> 00:02:40.000]  這個最外面的圍牆
[00:02:40.000 --> 00:02:43.500]  只是厚度已經是6尺厚
[00:02:43.500 --> 00:02:46.500]  高度是20至26尺高
