
[00:00:00.000 --> 00:00:03.000]  在開始靜悼之前,我們同心祈禱
[00:00:03.000 --> 00:00:06.840]  神的獨生子,主耶穌基督
[00:00:06.840 --> 00:00:09.200]  求禰施恩可憐這個罪人
[00:00:09.200 --> 00:00:13.300]  讓主耶穌基督的補血再一次來潔淨
[00:00:13.300 --> 00:00:18.800]  讓主禰的靈來挑冠,來洗淨
[00:00:18.800 --> 00:00:22.000]  讓我們在主禰面前等候
[00:00:22.000 --> 00:00:26.000]  主,藉著真理的聖靈來開啟我們的心竅
[00:00:26.000 --> 00:00:29.200]  讓我們來進入真理
[00:00:29.600 --> 00:00:33.400]  讓我們將以下的環節來恭敬、交託
[00:00:33.400 --> 00:00:35.500]  求主保守和帶領
[00:00:35.500 --> 00:00:37.300]  為恭敬的獻上祈禱
[00:00:37.300 --> 00:00:39.800]  是靠賴主的耶穌聖名祈求
[00:00:39.800 --> 00:00:45.900]  剛才主席跟我們讀經文來講到
[00:00:45.900 --> 00:00:52.200]  神為以色列人重新來制定立法
[00:00:55.300 --> 00:01:06.600]  「在埃及地曉,與摩西亞倫說,你們要以本月為正月,為一年之守。」
[00:01:06.600 --> 00:01:12.700]  神為以色列人重新來制定立法
[00:01:12.700 --> 00:01:19.700]  立法是為了配合人類日常生活的需要
[00:01:20.200 --> 00:01:26.300]  是根據天象而制定計算時間的方法
[00:01:26.300 --> 00:01:31.800]  今年,我們說是2018年
[00:01:31.800 --> 00:01:33.800]  為什麼是2018年呢?
[00:01:33.800 --> 00:01:37.800]  我們去講,這個是藉著勢力
[00:01:37.800 --> 00:01:42.500]  是講到多年之前
[00:01:42.700 --> 00:01:51.200]  有人來一學者計算耶穌出生的年份
[00:01:51.200 --> 00:01:52.500]  降生的年份
[00:01:52.500 --> 00:01:55.800]  以該年來說是公元
[00:01:55.800 --> 00:01:59.600]  為什麼是2018年呢?
[00:01:59.600 --> 00:02:09.900]  大概是耶穌基督降生2018年之後
[00:02:11.600 --> 00:02:17.600]  我們中國向來是以農業來立國
[00:02:17.600 --> 00:02:20.400]  農業是經濟的命脈
[00:02:20.400 --> 00:02:26.900]  而農業依賴力法來計算季節的更替
[00:02:26.900 --> 00:02:31.300]  因此中國採用的力法又稱為什麼呢?
[00:02:31.300 --> 00:02:36.500]  我們中國採用的力法就稱為「農力」
[00:02:37.700 --> 00:02:43.300]  是根據月球圍繞地球所定的力法
[00:02:43.300 --> 00:02:45.200]  就稱為「陰力」
[00:02:45.200 --> 00:02:51.300]  根據太陽在不同的季節位置變化所定的力法
[00:02:51.300 --> 00:02:52.700]  稱為「陽力」
[00:02:52.700 --> 00:02:56.900]  農力,我們說中國的農力
[00:02:56.900 --> 00:02:59.900]  是涵蓋月球運行的規律
[00:02:59.900 --> 00:03:04.200]  和太陽位置變化的陰陽力
[00:03:04.800 --> 00:03:08.400]  對於古時的人來說,一般的需要
[00:03:08.400 --> 00:03:12.400]  我們就不會有手錶,也不會有手機,也不會有電腦
[00:03:12.400 --> 00:03:17.000]  我們怎樣看到四時的變化?
[00:03:17.000 --> 00:03:22.400]  怎樣看到時間或者是季節的變化呢?
[00:03:22.400 --> 00:03:24.300]  就看天了
[00:03:24.300 --> 00:03:27.900]  看什麼呢?是看月亮
[00:03:28.500 --> 00:03:35.400]  以月上的變化來計算是比較方便的方法
[00:03:35.400 --> 00:03:40.400]  我們說新月是怎樣呢?
[00:03:40.400 --> 00:03:43.200]  剛剛好,好像一個彎
[00:03:43.200 --> 00:03:48.500]  然後上延,滿月,下延,然後是新月
[00:03:48.500 --> 00:03:50.900]  這樣又怎樣呢?一個月過去了
[00:03:50.900 --> 00:03:55.800]  由於聖經裡我們說
[00:03:56.200 --> 00:03:59.300]  猶太人的力法是怎樣呢?
[00:03:59.300 --> 00:04:05.300]  由於聖經裡說到很多季節和節慶的技術
[00:04:05.300 --> 00:04:07.300]  很多人有一個誤會
[00:04:07.300 --> 00:04:12.600]  就是以為以色列是循著某種固定的力法來生活
[00:04:12.600 --> 00:04:14.400]  從未改變
[00:04:14.400 --> 00:04:17.100]  但事情並不如此
[00:04:17.100 --> 00:04:24.500]  聖經裡並沒有呈現古代以色列人所使用完整的力法資料
[00:04:25.200 --> 00:04:27.800]  況且以色列人在不同的時期
[00:04:27.800 --> 00:04:32.100]  可能受著不同地區的力法來影響
[00:04:32.100 --> 00:04:35.900]  例如加拿大、巴比倫、埃及
[00:04:35.900 --> 00:04:38.200]  甚至在同一個時期裡
[00:04:38.200 --> 00:04:43.500]  也有多種力法並存並行的現象
[00:04:43.500 --> 00:04:45.200]  我們說
[00:04:45.200 --> 00:04:50.400]  香港也有兩個新年
[00:04:50.400 --> 00:04:55.100]  過了今天和明天
[00:04:56.200 --> 00:04:58.800]  就是新年了
[00:04:58.800 --> 00:05:02.900]  2019年就會來到
[00:05:02.900 --> 00:05:05.800]  2018年就會過去
[00:05:05.800 --> 00:05:10.400]  但我們去到大概二月或一月底的時候
[00:05:10.400 --> 00:05:13.300]  有一個叫做農曆的新年
[00:05:13.300 --> 00:05:15.800]  因為怎樣呢?
[00:05:15.800 --> 00:05:19.100]  有兩種力法在並行
[00:05:19.100 --> 00:05:21.600]  想看看這幅圖
[00:05:23.400 --> 00:05:27.000]  這是取自基督教的周報來說的
[00:05:27.000 --> 00:05:28.300]  我看到
[00:05:28.300 --> 00:05:31.400]  一月是彌撒月
[00:05:31.400 --> 00:05:32.600]  什麼時候呢?
[00:05:32.600 --> 00:05:34.600]  是三月
[00:05:34.600 --> 00:05:37.100]  在屋頭的時間是乙節
[00:05:37.100 --> 00:05:38.900]  財教節
[00:05:38.900 --> 00:05:44.100]  其實文曆是1、2、3、4
[00:05:44.100 --> 00:05:46.800]  5、6、7、8、9、10、11、12
[00:05:46.800 --> 00:05:48.000]  就是一月
[00:05:48.000 --> 00:05:51.200]  但是宗教的力法叫做聖曆
[00:05:51.200 --> 00:05:52.200]  是怎樣呢?
[00:05:52.500 --> 00:05:53.600]  彌撒月
[00:05:53.600 --> 00:05:54.500]  一月
[00:05:54.500 --> 00:05:59.800]  是大概借去文曆的三月到四月之間
[00:05:59.800 --> 00:06:03.100]  神來維持以色列人
[00:06:03.100 --> 00:06:06.600]  重新來制定力法
[00:06:06.600 --> 00:06:10.000]  好,這幅圖完
[00:06:10.000 --> 00:06:11.900]  我們說
[00:06:11.900 --> 00:06:17.600]  神在埃及地曉與摩西亞倫說
[00:06:17.600 --> 00:06:20.100]  你們要以本月為正月
[00:06:20.100 --> 00:06:21.800]  為一年之守
[00:06:21.800 --> 00:06:22.600]  有什麼目的?
[00:06:22.600 --> 00:06:25.000]  有什麼意義和影響呢?
[00:06:25.000 --> 00:06:26.300]  我們說
[00:06:26.300 --> 00:06:27.100]  第一點
[00:06:27.100 --> 00:06:30.200]  就是一個新的開始
[00:06:30.200 --> 00:06:33.200]  以色列人離開埃及
[00:06:33.200 --> 00:06:34.600]  第一件事
[00:06:34.600 --> 00:06:37.500]  其實是未正式離開
[00:06:37.500 --> 00:06:39.000]  不過在離開之前
[00:06:39.000 --> 00:06:40.800]  或者離開的時間
[00:06:40.800 --> 00:06:44.000]  第一件事就是要重新開始
[00:06:44.000 --> 00:06:46.300]  是以這個月
[00:06:46.300 --> 00:06:49.400]  是民事曆的第三個月
[00:06:49.700 --> 00:06:53.100]  為正月為一年之守
[00:06:53.100 --> 00:06:56.400]  離開埃及
[00:06:56.400 --> 00:06:58.600]  是對於以色列人來說
[00:06:58.600 --> 00:07:01.000]  是一個新的開始
[00:07:01.000 --> 00:07:03.000]  由這一刻開始
[00:07:03.000 --> 00:07:05.900]  每當他們重看這個力法
[00:07:05.900 --> 00:07:11.500]  是再一次提醒他們這件事實
[00:07:11.500 --> 00:07:13.400]  是神拯救他們
[00:07:13.400 --> 00:07:15.900]  帶領他們離開埃及
[00:07:16.500 --> 00:07:21.200]  亦都可以重新將以色列人
[00:07:21.200 --> 00:07:24.400]  和我們說這段時間
[00:07:24.400 --> 00:07:30.600]  是從創世紀裏面的創造來連結
[00:07:30.600 --> 00:07:35.900]  在埃及紀出埃及紀裏面
[00:07:35.900 --> 00:07:39.400]  來寄述神的子民
[00:07:39.400 --> 00:07:42.700]  重新來被創造
