
[00:00:00.000 --> 00:00:07.640]  我們再一齊同心祈禱 將現在的時間再交給主
[00:00:07.640 --> 00:00:10.080]  天父我們多謝你
[00:00:10.080 --> 00:00:13.460]  因為你自己差派你的愛子耶穌基督
[00:00:13.460 --> 00:00:17.280]  道成肉身 來到我們中間
[00:00:17.280 --> 00:00:21.100]  我們想回師哥所說 君尊義薄
[00:00:21.100 --> 00:00:23.640]  是永恆的大君王
[00:00:23.640 --> 00:00:26.960]  成為了人的僕人
[00:00:26.960 --> 00:00:29.120]  主我們知道 你來到世上
[00:00:29.120 --> 00:00:31.160]  不是要受人的服侍
[00:00:31.160 --> 00:00:33.480]  是為了服侍人
[00:00:33.480 --> 00:00:38.000]  主求祢教導我們 屬祢的一群子民
[00:00:38.000 --> 00:00:40.080]  讓我們學習祢的榜樣
[00:00:40.080 --> 00:00:45.280]  知道在世上 祢也去服侍 去付出
[00:00:45.280 --> 00:00:47.080]  求祢保守我們的心
[00:00:47.080 --> 00:00:49.320]  讓我們聽從祢的吩咐
[00:00:49.320 --> 00:00:53.280]  也領受祢的應許 施比受更為有福
[00:00:53.280 --> 00:00:55.360]  在付出的過程當中
[00:00:55.360 --> 00:00:58.440]  我們生命更加在祢眼前蒙恩
[00:00:58.440 --> 00:01:03.440]  也能成為一個施恩的一條管道
[00:01:03.440 --> 00:01:05.720]  主我們今天一切到祢的面前來
[00:01:05.720 --> 00:01:07.600]  我們求主在我們心靈當中
[00:01:07.600 --> 00:01:09.640]  上上的感動我們
[00:01:09.640 --> 00:01:11.840]  不單單關心自己的事情
[00:01:11.840 --> 00:01:15.560]  也知道關心身旁很多生命的需要
[00:01:15.560 --> 00:01:17.920]  因此當我們一切思想聖經的時候
[00:01:17.920 --> 00:01:21.760]  求主引導我們的心思 指教我們
[00:01:21.760 --> 00:01:24.520]  讓我們不單單在頭腦上明白
[00:01:24.520 --> 00:01:27.720]  也讓我們有從聖靈而來的感動
[00:01:27.720 --> 00:01:31.480]  知道如何按祢的心意行出來
[00:01:31.480 --> 00:01:37.040]  求祢帶領 引導我們一起思想聖經的說話
[00:01:37.040 --> 00:01:42.920]  我們祈禱仰望 奉耶穌聖名求 阿門
[00:01:58.720 --> 00:02:01.760]  在祭關主日裡我們都給予自己的勉勵提醒
[00:02:01.760 --> 00:02:04.280]  來關心這個社會
[00:02:04.280 --> 00:02:06.080]  當然大家都會很體會到
[00:02:06.080 --> 00:02:08.840]  當教會在不同的場合
[00:02:08.840 --> 00:02:11.160]  講述到聖經的訊息的時候
[00:02:11.160 --> 00:02:13.160]  你都會常常留意到
[00:02:13.160 --> 00:02:16.880]  我們的信仰不單是關乎個人的事情
[00:02:16.880 --> 00:02:20.480]  不單是自己追求敬虔的生活
[00:02:20.480 --> 00:02:23.840]  也不單單是教會內部的一些需要
[00:02:23.840 --> 00:02:25.960]  我們的信仰 基督徒的信仰
[00:02:25.960 --> 00:02:29.960]  是同時表現出在向眾人行善
[00:02:29.960 --> 00:02:33.480]  一個重要的生命的表達上面
[00:02:33.480 --> 00:02:35.840]  所以你發覺當基督徒關心社會
[00:02:35.840 --> 00:02:40.080]  關心正義 關心政治的事情的時候
[00:02:40.080 --> 00:02:42.960]  我們都會很多時候提到
[00:02:42.960 --> 00:02:46.760]  我們按照聖經給我們的原則來行事
[00:02:46.760 --> 00:02:49.000]  特別在其中留心
[00:02:49.000 --> 00:02:55.480]  是按照公正和良善來關心社會
[00:02:55.480 --> 00:02:58.040]  大家在這幾年當中
[00:02:58.040 --> 00:02:59.880]  你會留意到很多的新聞
[00:02:59.880 --> 00:03:01.400]  很多不同的報導
[00:03:01.400 --> 00:03:03.920]  都會感覺香港現在的情況
[00:03:03.920 --> 00:03:07.480]  是有更多更多爭議的事情
[00:03:07.480 --> 00:03:09.400]  當然其實以前都有
[00:03:09.400 --> 00:03:11.480]  但是今天的爭議的事情
[00:03:11.480 --> 00:03:14.880]  很多時候是公開的來表達出來
[00:03:14.880 --> 00:03:19.560]  是更加強烈的來表達出這些爭議
[00:03:19.560 --> 00:03:21.680]  當我們看到這些事情的時候
[00:03:21.680 --> 00:03:23.160]  我們有時候會體會到
[00:03:23.160 --> 00:03:26.440]  在社會上面有人表達爭議的時候
[00:03:26.440 --> 00:03:30.120]  是用一種好像敵我分明的態度
[00:03:30.120 --> 00:03:34.880]  作為一種好像爭取社會認同的一種策略
[00:03:34.880 --> 00:03:38.720]  當更加表現出對對方的不滿的時候
[00:03:38.720 --> 00:03:43.120]  可能會爭取更多人對自己的一種認同
[00:03:43.120 --> 00:03:45.200]  我記得在北美的時候
[00:03:45.200 --> 00:03:46.960]  曾經跟一些目者聊天
[00:03:46.960 --> 00:03:50.560]  他們跟我分享在當地有一些華人教會
[00:03:50.560 --> 00:03:55.560]  很多是從台灣過來的一些基督徒弟兄姊妹
[00:03:55.560 --> 00:04:00.000]  但是他們在台灣要面對選舉的時候
[00:04:00.000 --> 00:04:02.440]  教會就出現一種的現象
[00:04:02.440 --> 00:04:04.960]  就是發覺有弟兄姊妹就認為
[00:04:04.960 --> 00:04:07.600]  我是屬於藍營的
[00:04:07.600 --> 00:04:10.040]  他們是屬於綠營的
[00:04:10.040 --> 00:04:14.520]  大家知道在台灣那種政治的黨派的分別
[00:04:14.520 --> 00:04:18.600]  但是竟然在教會裡面都出現一種的分別
[00:04:18.600 --> 00:04:21.640]  甚至弟兄姊妹之間就不相往來
[00:04:21.640 --> 00:04:25.440]  甚至有一些很明顯的一種的張力
[00:04:25.440 --> 00:04:28.240]  就認為他們不屬於我們那群
[00:04:28.240 --> 00:04:30.840]  我們都不屬於他
[00:04:30.840 --> 00:04:34.280]  我聽見的時候都會覺得很奇怪
[00:04:34.280 --> 00:04:36.360]  也都有一種的難受
[00:04:36.360 --> 00:04:38.120]  就有些時候教會不自覺
[00:04:38.120 --> 00:04:44.040]  將世界帶進了教會裡面
[00:04:44.040 --> 00:04:49.080]  將世界那種的觀念帶進了教會裡面
[00:04:49.080 --> 00:04:51.920]  我們基督徒關心社會的時候要很留心
[00:04:51.920 --> 00:04:55.040]  不會將一些政治策略
[00:04:55.040 --> 00:05:01.760]  來運用在一些待人處事的一種的方式上面
[00:05:01.760 --> 00:05:04.920]  來將它化成為敵人
[00:05:04.920 --> 00:05:09.560]  以至更加表達出自己的那種的正直
[00:05:09.560 --> 00:05:11.200]  那種的正義
[00:05:11.200 --> 00:05:15.760]  以至得到更多人對自己的認同和支持
[00:05:15.760 --> 00:05:17.880]  當然在教會裡面也都更加要小心
[00:05:17.880 --> 00:05:20.240]  我們不會將弟兄姊妹
[00:05:20.240 --> 00:05:24.680]  將他歸入哪一種的黨派裡面
[00:05:24.680 --> 00:05:28.000]  他是屬於建制派的
[00:05:28.000 --> 00:05:30.280]  他是屬於什麼派的
[00:05:30.280 --> 00:05:33.320]  我跟他沒什麼兩句的了
