
[00:00:00.000 --> 00:00:03.340]  好,我們這次講到這個題目
[00:00:03.340 --> 00:00:05.160]  一個惡習
[00:00:05.160 --> 00:00:07.240]  那麼
[00:00:07.240 --> 00:00:10.980]  大家都知道想講什麼了,是吧?
[00:00:10.980 --> 00:00:15.060]  壞習慣就是叫做惡習,是吧?
[00:00:15.060 --> 00:00:18.320]  那壞習慣,不良的習慣
[00:00:18.320 --> 00:00:21.620]  那我們有沒有即時想到有些什麼呢?
[00:00:21.620 --> 00:00:24.940]  簡單的就是睡眠不足
[00:00:24.940 --> 00:00:25.940]  是吧?
[00:00:25.940 --> 00:00:27.460]  不吃早餐
[00:00:27.880 --> 00:00:33.320]  經常看電視,看到上癮就不肯停
[00:00:33.320 --> 00:00:36.000]  很多這些的壞習慣
[00:00:36.000 --> 00:00:41.300]  壞習慣我們都知道是應該要解除的
[00:00:41.300 --> 00:00:44.580]  因為解除了對我們會有益處,是吧?
[00:00:44.580 --> 00:00:50.160]  那今天講這個壞習慣是一個很普遍的習慣
[00:00:50.160 --> 00:00:54.960]  在講之前必須要有好幾點講清楚一點
[00:00:54.960 --> 00:00:56.680]  因為我們教會人少
[00:00:56.680 --> 00:00:58.460]  所以就有些麻煩
[00:00:58.460 --> 00:01:02.500]  講到的時候,講到有些問題
[00:01:02.500 --> 00:01:05.560]  好像在這裡特別針對一些人
[00:01:05.560 --> 00:01:08.260]  在這裡首先要講
[00:01:08.260 --> 00:01:11.440]  是我們當中有些人有這樣的問題
[00:01:11.440 --> 00:01:13.860]  但不是針對你們來講
[00:01:13.860 --> 00:01:15.660]  是在主的裡面
[00:01:15.660 --> 00:01:19.620]  我們根據聖經的真理的教導
[00:01:19.620 --> 00:01:21.760]  就是我作為目者的身份
[00:01:21.760 --> 00:01:24.300]  去提醒大家、勸勉大家
[00:01:24.300 --> 00:01:26.360]  希望這個能夠改變
[00:01:26.720 --> 00:01:28.120]  就是這樣的意思
[00:01:28.120 --> 00:01:30.560]  這件事其實之前
[00:01:30.560 --> 00:01:32.880]  久不久在某些場合
[00:01:32.880 --> 00:01:35.420]  包括在港台都提過
[00:01:35.420 --> 00:01:40.520]  但是都未曾見到很明顯的改善
[00:01:40.520 --> 00:01:43.660]  所以這次要用整篇講章來講
[00:01:43.660 --> 00:01:47.200]  所以希望大家能夠有些深刻的印象
[00:01:47.200 --> 00:01:51.620]  能夠去積極地去對付這件事情
[00:01:52.120 --> 00:01:56.740]  我在殷熙堂的這處墓會有多久,大家記不記得?
[00:01:56.740 --> 00:01:59.960]  是的
[00:01:59.960 --> 00:02:02.780]  就是當日聘請我的時候
[00:02:02.780 --> 00:02:04.860]  是淑瑩在當中
[00:02:04.860 --> 00:02:06.460]  七年了,在當中
[00:02:06.460 --> 00:02:08.540]  七年也不是一個短日子
[00:02:08.540 --> 00:02:09.620]  也和大家很熟
[00:02:09.620 --> 00:02:11.040]  所以我不是說
[00:02:11.040 --> 00:02:13.500]  不認識大家
[00:02:13.500 --> 00:02:16.500]  完全不理解你們的情況
[00:02:16.500 --> 00:02:18.340]  突然之間空降在你們當中
[00:02:18.340 --> 00:02:20.440]  高談闊論一些真理
[00:02:20.440 --> 00:02:23.000]  我是大家的一份子
[00:02:23.000 --> 00:02:26.660]  我是和你們大家同是一家人
[00:02:26.660 --> 00:02:29.520]  在主義裡面用愛心來講
[00:02:29.520 --> 00:02:31.160]  也好像保羅所說
[00:02:31.160 --> 00:02:34.840]  是以神的慈悲來勸大家
[00:02:34.840 --> 00:02:38.720]  希望大家能夠有一個正確的心態來聽
[00:02:38.720 --> 00:02:41.520]  這個神的道
[00:02:41.520 --> 00:02:43.820]  我是以神的道
