
[00:00:00.000 --> 00:00:04.960]  今天我們就會講以西傑書的比喻
[00:00:04.960 --> 00:00:07.960]  我已經講過以西傑書的比喻
[00:00:07.960 --> 00:00:12.680]  比它的象徵性行動多很多
[00:00:12.680 --> 00:00:15.200]  為什麼它會講這麼多比喻呢?
[00:00:15.200 --> 00:00:19.440]  特別是我們看到第十七章和第十九章的時候
[00:00:19.440 --> 00:00:20.920]  我就會去解釋
[00:00:20.920 --> 00:00:24.240]  為什麼它要講這麼多的隱喻
[00:00:24.240 --> 00:00:27.920]  會不會跟我們今天這個世代
[00:00:27.920 --> 00:00:29.880]  有些相似呢?
[00:00:29.880 --> 00:00:33.880]  天主教的書記就講到
[00:00:33.880 --> 00:00:37.480]  講道的時候不要含沙射影
[00:00:37.480 --> 00:00:39.400]  如果你有留意到
[00:00:39.400 --> 00:00:42.600]  原來先知講神的話的時候
[00:00:42.600 --> 00:00:45.560]  有時候也是含沙射影的
[00:00:45.560 --> 00:00:47.920]  第十七章和第十九章
[00:00:47.920 --> 00:00:50.360]  就特別的來帶去清楚了
[00:00:50.360 --> 00:00:52.720]  究竟兩者有沒有矛盾呢?
[00:00:52.720 --> 00:00:55.600]  我們就會一起來帶去探討
[00:00:55.600 --> 00:00:57.120]  好,那麼
[00:00:57.120 --> 00:01:02.120]  上次我說我穿的衣服也有意思的
[00:01:02.120 --> 00:01:04.000]  為什麼呢?
[00:01:04.000 --> 00:01:06.760]  上次是講到國家被滅
[00:01:06.760 --> 00:01:09.840]  所以我會穿一件黑色的衣服
[00:01:09.840 --> 00:01:12.360]  但是有暗條的
[00:01:12.360 --> 00:01:14.640]  白白的,但是你應該看不到了
[00:01:14.640 --> 00:01:16.160]  代表了悲哀
[00:01:16.160 --> 00:01:18.160]  今天也是穿深色的衣服
[00:01:18.160 --> 00:01:21.600]  一格一格就好像被困住一樣
[00:01:21.600 --> 00:01:22.640]  那麼下一課
[00:01:22.640 --> 00:01:24.880]  下一課和再下一課是很重要的
[00:01:24.880 --> 00:01:26.360]  就是看到復興
[00:01:26.360 --> 00:01:29.240]  和我們的靈命的培靈性
[00:01:29.240 --> 00:01:31.160]  是會強一些的
[00:01:31.160 --> 00:01:34.320]  所以鼓勵大家一定要什麼呢?
[00:01:34.320 --> 00:01:36.600]  好好地來帶去繼續收看
[00:01:36.600 --> 00:01:38.400]  特別是下一課和再下一課
[00:01:38.400 --> 00:01:40.240]  不過再下一課很特別
[00:01:40.240 --> 00:01:43.640]  我們一直都是星期四晚來帶去直播的
[00:01:43.640 --> 00:01:45.640]  但是最早期的時候
[00:01:45.640 --> 00:01:47.920]  就是再下一課,就是第五課
[00:01:47.920 --> 00:01:50.560]  我原本是要改期的
[00:01:50.560 --> 00:01:52.000]  為什麼呢?
[00:01:52.000 --> 00:01:56.800]  就是一個教育組織邀請我說
[00:01:56.800 --> 00:01:58.560]  培靈會就是相覆
[00:01:58.560 --> 00:02:01.200]  但是現在因為限聚令的緣故
[00:02:01.200 --> 00:02:02.200]  所以改了
[00:02:02.200 --> 00:02:04.960]  但是我也不再改回星期四了
[00:02:04.960 --> 00:02:08.080]  免得大家調來調去就很麻煩
[00:02:08.080 --> 00:02:09.480]  因為我們一早宣傳的時候
[00:02:09.480 --> 00:02:11.280]  第五課是在星期一的
[00:02:11.280 --> 00:02:14.480]  但是我們完了之後就會放在YouTube那裡
[00:02:14.480 --> 00:02:16.640]  所以如果你星期四
[00:02:16.640 --> 00:02:19.120]  一定可以來帶去看到的
[00:02:19.120 --> 00:02:21.120]  好,現在我們就開始第三講
[00:02:21.120 --> 00:02:23.560]  就是《以西傑書》的比喻
[00:02:23.560 --> 00:02:27.080]  我先做一個表給大家來帶去看
[00:02:27.080 --> 00:02:32.160]  這個表就很清楚列出了《以西傑書》裡面
[00:02:32.160 --> 00:02:36.240]  那個比喻是怎麼樣的
[00:02:36.240 --> 00:02:38.600]  我們看看這個 PowerPoint
[00:02:38.600 --> 00:02:41.280]  這個表是怎麼樣的呢?
[00:02:41.280 --> 00:02:45.280]  大家可以看看這個表
[00:02:45.280 --> 00:02:49.440]  這個表裡面就會講到有幾個的預言
[00:02:49.440 --> 00:02:53.240]  第十三章就是責備那些假的先知
[00:02:53.240 --> 00:02:57.000]  第十四章就說他們去拜偶像
[00:02:57.000 --> 00:02:58.800]  這個就會特別的
[00:02:58.800 --> 00:03:00.160]  但是在下一課裡面
[00:03:00.160 --> 00:03:02.760]  會講到神的審判和復興
[00:03:02.760 --> 00:03:04.360]  接著就講比喻了
[00:03:04.360 --> 00:03:06.800]  第十五章是講葡萄園的比喻
[00:03:06.800 --> 00:03:11.840]  然後第十六章是特別長的
