
[00:00:00.000 --> 00:00:04.040]  這段聖經的編排是可以這樣看的
[00:00:04.040 --> 00:00:13.280]  第一節一至三節是說到由神叫阿摩斯看到一個圖畫異象
[00:00:13.280 --> 00:00:18.480]  之前其實上一次應該說到有三個圖畫異象
[00:00:18.480 --> 00:00:21.240]  一個就是蝗蟲 有沒有印象
[00:00:21.240 --> 00:00:24.040]  一個就是火燒
[00:00:24.040 --> 00:00:26.760]  這兩個的災禍都免了
[00:00:26.760 --> 00:00:30.320]  因為阿摩斯代求就沒事了
[00:00:30.320 --> 00:00:32.560]  可以延遲審判
[00:00:32.560 --> 00:00:35.280]  第三個圖畫是一個準繩
[00:00:35.280 --> 00:00:37.840]  梁鐸的城市
[00:00:37.840 --> 00:00:39.520]  就是耶和華的準繩
[00:00:39.520 --> 00:00:41.080]  公平公義的準繩
[00:00:41.080 --> 00:00:43.600]  鐸一鐸真的很不清
[00:00:43.600 --> 00:00:45.600]  所以真的要毀滅它
[00:00:45.600 --> 00:00:47.600]  而這是第四個 最後一個
[00:00:47.600 --> 00:00:51.840]  就是說到一個夏天的男子
[00:00:51.840 --> 00:00:53.840]  一男夏天的果子
[00:00:53.840 --> 00:00:56.520]  夏天的果子代表甚麼
[00:00:56.520 --> 00:00:58.520]  已經成熟了
[00:00:58.520 --> 00:01:00.520]  即是說這個成熟的果子
[00:01:00.520 --> 00:01:02.520]  如果再久一點就怎樣
[00:01:02.520 --> 00:01:03.720]  就爛了
[00:01:03.720 --> 00:01:08.520]  而夏天這個字和第二節說到的結局那個字
[00:01:08.520 --> 00:01:09.800]  音是一樣的
[00:01:09.800 --> 00:01:11.600]  希伯來音來說
[00:01:11.600 --> 00:01:13.040]  廣東話也很多
[00:01:13.040 --> 00:01:14.440]  很相似的
[00:01:14.440 --> 00:01:17.800]  所以當阿摩斯一聽到夏天的果子
[00:01:17.800 --> 00:01:20.800]  然後耶和華以色列的結局一到
[00:01:20.800 --> 00:01:24.520]  就聯想到其實夏天的果子
[00:01:24.520 --> 00:01:26.960]  就代表結局就到了
[00:01:26.960 --> 00:01:28.680]  不可以再等了
[00:01:28.680 --> 00:01:30.880]  所以阿摩斯也不用再代購了
[00:01:30.880 --> 00:01:34.720]  因為耶和華已經定了結局就到了
[00:01:34.720 --> 00:01:39.360]  所以一節三節就是宣告審判就來了
[00:01:39.360 --> 00:01:40.640]  真的很快就來了
[00:01:40.640 --> 00:01:42.640]  你看回歷史的時間
[00:01:42.640 --> 00:01:46.440]  接著第七節 第四節開始
[00:01:46.440 --> 00:01:48.760]  就是宣告罪狀
[00:01:48.760 --> 00:01:52.720]  甚麼罪狀令到耶和華不再赦免呢
[00:01:52.720 --> 00:01:54.720]  等不再等呢
[00:01:54.720 --> 00:01:57.120]  你會發現是兩大的罪狀
[00:01:57.120 --> 00:02:00.240]  第四節的罪狀就是甚麼
[00:02:00.240 --> 00:02:03.360]  和欺壓貧窮人有關
