
[00:00:00.000 --> 00:00:02.800]  那今天是敬老主日
[00:00:02.800 --> 00:00:04.800]  我記憶之中是這樣的
[00:00:04.800 --> 00:00:09.000]  聯合國定了11月其中一個禮拜日
[00:00:09.000 --> 00:00:11.400]  做一個敬老的日子
[00:00:11.400 --> 00:00:14.400]  我也安排了今天做我們的敬老主日
[00:00:14.400 --> 00:00:17.400]  一方面我們教會也有很多老人家
[00:00:17.400 --> 00:00:19.800]  另一方面這個也是我們作為一個信徒
[00:00:19.800 --> 00:00:21.800]  很重要的一個美德
[00:00:21.800 --> 00:00:24.000]  所以願意今天用這個訊息
[00:00:24.000 --> 00:00:26.400]  去大家彼此互相分享
[00:00:28.400 --> 00:00:30.400]  不去下一版了
[00:00:30.400 --> 00:00:32.400]  這個題目可以怪什麼叫矛盾
[00:00:32.400 --> 00:00:34.400]  而合一的向導呢
[00:00:34.400 --> 00:00:36.400]  一會兒會有兩個向導和大家分享
[00:00:36.400 --> 00:00:38.400]  聽上去好像是彼此互相矛盾
[00:00:38.400 --> 00:00:40.400]  但希望聽完之後大家能夠看到
[00:00:40.400 --> 00:00:43.400]  那個和諧和重要的地方
[00:00:43.400 --> 00:00:45.400]  我們先了解一下今天
[00:00:45.400 --> 00:00:47.400]  我們的香港 我們的社會
[00:00:47.400 --> 00:00:48.400]  我們老人家的狀況
[00:00:48.400 --> 00:00:50.400]  我相信這個數字大家都很熟悉
[00:00:50.400 --> 00:00:54.400]  根據2012年的香港政府統計處推算
[00:00:54.400 --> 00:00:57.400]  65歲以上的人口比例
[00:00:57.400 --> 00:01:01.400]  65歲以上 政府以65歲以上為老人家
[00:01:01.400 --> 00:01:03.400]  在2011年的統計
[00:01:03.400 --> 00:01:06.400]  大家知不知道佔了多少%全港人口
[00:01:06.400 --> 00:01:08.400]  大約是13%左右
[00:01:08.400 --> 00:01:13.400]  可能10個有1個或多一些是老人家
[00:01:13.400 --> 00:01:15.400]  但這個推算去到30年之後
[00:01:15.400 --> 00:01:18.400]  即2041年你知道比率去到多少嗎
[00:01:18.400 --> 00:01:20.400]  就去到30%
[00:01:20.400 --> 00:01:25.400]  即差不多每3個人有1個是老人家
[00:01:25.400 --> 00:01:26.400]  65歲以上
[00:01:26.400 --> 00:01:28.400]  你可以看看身邊的隔壁
[00:01:28.400 --> 00:01:29.400]  可能在這個局面
[00:01:29.400 --> 00:01:30.400]  我們30年之後
[00:01:30.400 --> 00:01:32.400]  我們教會慶祝80週年的時候
[00:01:32.400 --> 00:01:36.400]  原來1/3的時候就是我們老人家
[00:01:36.400 --> 00:01:39.400]  第二個我們看了全港之後
[00:01:39.400 --> 00:01:41.400]  看看紅磡土岩區
[00:01:41.400 --> 00:01:43.400]  特別我們今年50週年
[00:01:43.400 --> 00:01:46.400]  都用了很多功夫去認識我們這個社區
[00:01:46.400 --> 00:01:49.400]  九龍城區裏面我們有紅磡土瓜灣
[00:01:49.400 --> 00:01:50.400]  我們又畫了這個地圖
[00:01:50.400 --> 00:01:51.400]  不知大家看得到
[00:01:51.400 --> 00:01:55.400]  紅磡在這邊 土瓜灣在這裏 碼頭角
[00:01:55.400 --> 00:01:58.400]  根據人口推算和人口比例
[00:01:58.400 --> 00:02:01.400]  的而且確在這裏還是14.72%
[00:02:01.400 --> 00:02:03.400]  即65歲以上人口
[00:02:03.400 --> 00:02:06.400]  紅土區都是偏高的15%
[00:02:06.400 --> 00:02:08.400]  去到土瓜灣的南區
[00:02:08.400 --> 00:02:10.400]  就是接近20%
[00:02:10.400 --> 00:02:12.400]  土瓜灣的南區就在這裏
[00:02:12.400 --> 00:02:15.400]  即是韋恆昌 益豐大廈
[00:02:15.400 --> 00:02:16.400]  上香道 下香道那一帶
[00:02:16.400 --> 00:02:18.400]  原來很多老人家
[00:02:18.400 --> 00:02:21.400]  即是比全香港平均人口高一些
[00:02:21.400 --> 00:02:25.400]  特別我們再看在居住的情況
[00:02:25.400 --> 00:02:27.400]  原來只有長者的住戶
[00:02:27.400 --> 00:02:29.400]  即是獨居長者
[00:02:29.400 --> 00:02:32.400]  可能獨居二老或獨居一老的情況下
[00:02:32.400 --> 00:02:34.400]  紅土區是偏高的
[00:02:34.400 --> 00:02:36.400]  比全香港8.45%有9.82%
[00:02:36.400 --> 00:02:40.400]  土瓜灣區南區就去到13.73%
[00:02:40.400 --> 00:02:43.400]  可想而知在我們這個社區裏面
[00:02:43.400 --> 00:02:45.400]  真是很多獨居長者
[00:02:45.400 --> 00:02:48.400]  即是我過去這幾年去社區探訪
[00:02:48.400 --> 00:02:51.400]  都見不少很多一間大的唐樓
[00:02:51.400 --> 00:02:53.400]  就只有一個老人家在那裏居住
[00:02:53.400 --> 00:02:55.400]  甚至乎可能要拿拐杖
[00:02:55.400 --> 00:02:57.400]  即是那個老人家這樣開門給我
[00:02:57.400 --> 00:03:01.400]  即是他坐下來我才見到他的樣子
[00:03:01.400 --> 00:03:02.400]  但他的家居都不小
[00:03:02.400 --> 00:03:04.400]  他的兒子都會定期來探望他
[00:03:04.400 --> 00:03:06.400]  不過就一個人住
[00:03:06.400 --> 00:03:08.400]  所以其實都幾擔心的
[00:03:08.400 --> 00:03:10.400]  我又很欣賞我們教會
[00:03:10.400 --> 00:03:13.400]  因為我們教會在社策會牧倫中心那裏
[00:03:13.400 --> 00:03:15.400]  都有一個服務就是家居清潔服務
[00:03:15.400 --> 00:03:20.400]  就是請一些婦女給一些居馬費他們
[00:03:20.400 --> 00:03:23.400]  去到一些老人家裏面幫他們家裏清潔
[00:03:23.400 --> 00:03:26.400]  甚至乎可能發覺燈泡壞了
[00:03:26.400 --> 00:03:29.400]  我們都可以找一些義工隊去幫他們維修等等
[00:03:29.400 --> 00:03:32.400]  所以我們都很需要去服務這個社區
[00:03:32.400 --> 00:03:34.400]  亦都看到老人家的需要
[00:03:34.400 --> 00:03:36.400]  回到我們教會
[00:03:36.400 --> 00:03:39.400]  我們土瓜灣人心信會的長者情況是怎樣呢
