
[00:00:00.000 --> 00:00:08.000]  感謝您的恩典,讓我們有這麼美麗的星期天可以一起來聚集敬拜主
[00:00:08.000 --> 00:00:12.000]  祈求您坐在天上的主,求您幫助我們
[00:00:12.000 --> 00:00:17.000]  讓我們能夠敬拜您的時候,我們的心靈都得著滋潤
[00:00:17.000 --> 00:00:23.000]  我們聽講道的時候,聖靈會在我們心裡面教導我們
[00:00:23.000 --> 00:00:28.000]  幫助我們明白,能夠實踐在我們的生命當中榮耀主的名
[00:00:28.000 --> 00:00:31.000]  奉耶穌基督的名祈禱,阿門
[00:00:59.000 --> 00:01:05.000]  不過更加實際地指出,活出智慧的重要關鍵
[00:01:29.000 --> 00:01:38.000]  而三維的關係空間就是人與上帝,人與人之間和人與世間的關係
[00:01:38.000 --> 00:01:43.000]  可能有些人不太熟悉這個關係空間的概念
[00:01:43.000 --> 00:01:49.000]  我們看《創世紀》一章二十七和二十八兩節經文,先看二十七
[00:01:49.000 --> 00:01:57.000]  於是上帝照自己的形象創造了人,他造了他們,有男有女
[00:01:57.000 --> 00:02:02.000]  在這一節經文裡面,我們看到人是上帝所創造的
[00:02:02.000 --> 00:02:06.000]  也就是說上帝是我們的創造主
[00:02:06.000 --> 00:02:14.000]  同時也表示上帝對我們的生命是擁有創造者的主權的
[00:02:14.000 --> 00:02:20.000]  所以當人背叛上帝,拒絕創造我們的主的時候
[00:02:20.000 --> 00:02:23.000]  這就是一種嚴重的罪
[00:02:23.000 --> 00:02:30.000]  這一節經文也提到有男有女,也就是說人與人之間是有關係的
[00:02:30.000 --> 00:02:35.000]  我們知道男女要成為夫妻才可以生養眾多
[00:02:35.000 --> 00:02:40.000]  但是除了夫妻關係之外,也有人與人之間的關係
[00:02:40.000 --> 00:02:43.000]  我們看《創世紀》一章二十八節
[00:02:43.000 --> 00:02:50.000]  上帝賜福給他們,說要生養眾多,使你們的後代遍滿世界,控制大地
[00:02:50.000 --> 00:02:55.000]  我要你們管理魚類鳥類和所有的動物
[00:02:55.000 --> 00:03:03.000]  在這一節的經文當中,我們看到人與上帝所造的世界的關係
[00:03:03.000 --> 00:03:10.000]  人類是代表上帝控制大地和管理動物界的
[00:03:10.000 --> 00:03:16.000]  當然也遍佈人類,也有人與人之間的關係
[00:03:16.000 --> 00:03:23.000]  所以我們看到七維空間觀念之後,我們可以思考今天的經文
[00:03:23.000 --> 00:03:29.000]  《針研》第九章的經文可以說是非常工整的一章經文
[00:03:29.000 --> 00:03:34.000]  可以分為三段,而每一段都有六節的成經
[00:03:34.000 --> 00:03:38.000]  第一節到第六節是講到智慧請客
[00:03:38.000 --> 00:03:44.000]  然後七節到十二節是講到處理關係的智慧
[00:03:44.000 --> 00:03:49.000]  最後的六節十三節十八節是講到愚蠢又請客
[00:03:49.000 --> 00:03:54.000]  我們先看第一段,一節到六節,看看智慧請客的特色
[00:03:54.000 --> 00:04:01.000]  第一節告訴我們,智慧首先是預備他的房屋,用了七根柱子
[00:04:01.000 --> 00:04:08.000]  我們不知道以色列人建屋一般有沒有柱子,不過我估計一定會有的
[00:04:08.000 --> 00:04:21.000]  在《士詩記》第十六章記載了參孫的事蹟,他死的時候抱著兩條神廟中間的支柱
