
[00:00:00.000 --> 00:00:04.600]  如果大家有聖經,我們邀請大家一起去擁抱神的華語,一起祈禱
[00:00:04.600 --> 00:00:11.000]  天父上帝,我們感謝祢,讓我們可以有一起敬拜祢的時間
[00:00:11.000 --> 00:00:16.900]  讓我們高舉這個華語,按著真理,按著祢的心意
[00:00:16.900 --> 00:00:20.540]  好讓我們能夠將一切榮耀、重讚都歸給祢
[00:00:20.540 --> 00:00:24.700]  讓我們不單止在嘴唇裡面所說所唱的
[00:00:24.700 --> 00:00:30.580]  也在我們現行生活裡面所活出的都要榮耀祢
[00:00:30.580 --> 00:00:34.680]  讓我們能夠按照聖經的教導,活出真理
[00:00:34.680 --> 00:00:41.080]  幫助我們能夠放下自己專注地去仰望我們從此之情中的主耶穌基督
[00:00:41.080 --> 00:00:45.440]  將以下時間恭敬交上,強烈親自向我們講說話
[00:00:45.440 --> 00:00:48.760]  觸動我們的心靈,改變我們的生命
[00:00:48.760 --> 00:00:53.880]  聽我們的祈禱,奉靠耶穌基督得聖的名字祈求,阿們
[00:00:55.680 --> 00:00:58.480]  我喜歡看球賽,我喜歡運動
[00:00:58.480 --> 00:01:02.580]  但是香港人就不是很多看美式足球的
[00:01:02.580 --> 00:01:08.720]  我其中有一個球隊叫New England Patriots
[00:01:08.720 --> 00:01:13.080]  外國者,我很不喜歡他們的,為什麼呢?因為他們經常贏的
[00:01:13.080 --> 00:01:15.640]  贏的都是贏得很厲害的
[00:01:15.640 --> 00:01:20.760]  他的教練有一個魔鬼教練叫Bill Belichick
[00:01:20.760 --> 00:01:24.080]  他為什麼是魔鬼教練呢?是因為每個人都很怕對他們
[00:01:24.340 --> 00:01:25.880]  因為每次打都是輸給他們的
[00:01:25.880 --> 00:01:31.500]  他在現今裡面是教一隊球隊教了最久
[00:01:31.500 --> 00:01:35.100]  場數贏得最多,贏得最多冠軍的
[00:01:35.100 --> 00:01:37.400]  每次對他都很難教
[00:01:37.400 --> 00:01:41.240]  但不單止他的對手怕他,有時候他自己的球員也怕他
[00:01:41.240 --> 00:01:47.120]  為什麼呢?因為你的球員打得好,拿到冠軍了,滿約了,想簽份大約
[00:01:47.120 --> 00:01:49.680]  他覺得你不值這份大約,我讓你走
[00:01:49.680 --> 00:01:50.960]  我簽個第二個
[00:01:50.960 --> 00:01:54.040]  不出名的,我都可以打得起的,他又可以照樣贏
[00:01:54.800 --> 00:02:00.940]  所以他是美式足球球壇裡面一個最有份量的教練
[00:02:00.940 --> 00:02:05.820]  話說我聽過一個故事,就是他開大會
[00:02:05.820 --> 00:02:11.440]  叫了整個教練團隊一起來談戰術,去談如何對付下一場的對手
[00:02:11.440 --> 00:02:17.840]  當中有其他的副教練,也有不同的體能教練,技術教練
[00:02:17.840 --> 00:02:21.420]  還包括了不同的球壇
[00:02:22.460 --> 00:02:26.040]  聊著聊著,問大家有沒有什麼意見的時候
[00:02:26.040 --> 00:02:30.400]  大家不太出聲,接著有個很低級的球壇
[00:02:30.400 --> 00:02:31.420]  就說
[00:02:31.420 --> 00:02:36.540]  我都分析了很久了,我的意見就是這樣,我們應該這樣對付對手
[00:02:36.540 --> 00:02:38.080]  他一說完之後
[00:02:38.080 --> 00:02:39.880]  整場鴉雀無聲
[00:02:39.880 --> 00:02:43.200]  我心想,是不是我這麼有見地
[00:02:43.200 --> 00:02:48.580]  一語道破,語出技驚死了,個個都靜了
[00:02:48.580 --> 00:02:50.360]  接著
[00:02:50.620 --> 00:02:52.660]  這個魔鬼教練Belichick就問他
[00:02:52.660 --> 00:02:53.940]  你叫什麼名字
[00:02:53.940 --> 00:02:57.020]  你什麼位置
[00:02:57.020 --> 00:02:59.060]  什麼時候輪到你說話
[00:02:59.060 --> 00:03:01.360]  你要不收聲坐下,要不出去
[00:03:01.360 --> 00:03:04.440]  其他人就有點暗笑
[00:03:04.440 --> 00:03:10.320]  你認識他就不要出聲,他什麼時候輪到你說話,你這個低級球壇
[00:03:10.320 --> 00:03:14.940]  聽起來好像很殘忍,但是我覺得
[00:03:14.940 --> 00:03:16.480]  這個情況
[00:03:16.480 --> 00:03:20.060]  可能都或多或少在我們的生命裡面出現過
[00:03:21.100 --> 00:03:26.720]  無論是你的職場,無論是你的生活裡面,無論你是被人踐踏的那個,或者你踐踏別人的那個
[00:03:26.720 --> 00:03:28.760]  我們有些時候
[00:03:28.760 --> 00:03:32.340]  有意無意都會用不同的準則
[00:03:32.340 --> 00:03:34.900]  去定下一些不同的階級
[00:03:34.900 --> 00:03:37.200]  覺得我好像高過這個人
[00:03:37.200 --> 00:03:38.240]  覺得這個人
[00:03:38.240 --> 00:03:39.780]  應該低級一點
[00:03:39.780 --> 00:03:42.840]  可能
[00:03:42.840 --> 00:03:46.420]  你有間店舖賣東西
[00:03:47.720 --> 00:03:51.300]  那個售貨員跟你用國語說話的時候你會很不高興
[00:03:51.300 --> 00:03:52.060]  幹什麼
[00:03:52.060 --> 00:03:54.620]  當我是大陸人嗎,我一看就知道你是香港人
[00:03:54.620 --> 00:03:55.900]  彷彿
[00:03:55.900 --> 00:03:57.960]  我們覺得大陸人是低級一點的
[00:03:57.960 --> 00:04:00.260]  我試過
[00:04:00.260 --> 00:04:01.280]  進去
[00:04:01.280 --> 00:04:06.920]  進去買衣服的時候,發現這些衣服又便宜又漂亮,很適合我,但是發現
[00:04:06.920 --> 00:04:13.060]  全部都是工人姐姐來的,我沒可能跟她買一樣的衣服,我不會穿工人姐姐的衣服,所以即使我合心意我也不買,我出去
[00:04:13.060 --> 00:04:14.600]  彷彿
[00:04:14.600 --> 00:04:15.880]  他們低於我們
[00:04:17.660 --> 00:04:18.940]  你沒試過在你工作的地方
[00:04:18.940 --> 00:04:19.980]  你要搭電梯
[00:04:19.980 --> 00:04:21.760]  或者你趕著要搭電梯
[00:04:21.760 --> 00:04:22.540]  你發覺
[00:04:22.540 --> 00:04:24.580]  那個清潔工竟然跟我搶電梯搭
[00:04:24.580 --> 00:04:27.140]  他走近一點給我,我趕著
[00:04:27.140 --> 00:04:30.720]  或者他拿著垃圾桶不給我搭電梯,弄髒我
[00:04:30.720 --> 00:04:36.100]  彷彿我們在不同的場景,我們會覺得有些人是低於我們
[00:04:36.100 --> 00:04:39.680]  雖然我們的口中會說人人平等
[00:04:39.680 --> 00:04:42.500]  這個都是政治正確的說話
[00:04:42.500 --> 00:04:45.060]  但我們心裏是不是真的這樣想呢
[00:04:45.060 --> 00:04:47.100]  我們是不是真的能夠活出呢
[00:04:47.860 --> 00:04:49.660]  這個也很值得我們去反思
[00:04:49.660 --> 00:04:50.940]  今天呢
[00:04:50.940 --> 00:04:54.520]  我想跟大家借著二福所書第六章的一段經文
[00:04:54.520 --> 00:04:57.860]  讓我們思想一下,在我們的人際關係裏面
[00:04:57.860 --> 00:04:58.620]  怎樣
[00:04:58.620 --> 00:05:00.420]  真的按照神的心意
[00:05:00.420 --> 00:05:02.200]  待人平等地去對待
[00:05:02.200 --> 00:05:06.300]  如果你有聖經的,請你打開二福所書第六章
[00:05:06.300 --> 00:05:10.660]  今天我們看第一節到第九節
[00:05:10.660 --> 00:05:13.720]  二福所書有六章,所以我們今天已經去到尾聲了
[00:05:13.980 --> 00:05:17.820]  我覺得這個時候也很適合跟大家去回顧一下
[00:05:17.820 --> 00:05:18.840]  概覽的東西
[00:05:18.840 --> 00:05:21.400]  很快就轉了powerpoint,thank you
[00:05:21.400 --> 00:05:23.700]  我們看看
[00:05:23.700 --> 00:05:27.540]  大家可能都很熟悉,不過也容許我和大家溫一溫
[00:05:27.540 --> 00:05:30.620]  記不記得保羅去了多少次旅行報道呢
[00:05:30.620 --> 00:05:33.940]  沒錯了,去了三次旅行報道
[00:05:33.940 --> 00:05:34.980]  他
[00:05:34.980 --> 00:05:37.020]  第一次旅行報道的時候
[00:05:37.020 --> 00:05:42.660]  第一次旅行報道的時候寫了多少卷書呢
[00:05:44.180 --> 00:05:44.940]  第一次旅行報道
[00:05:44.940 --> 00:05:46.240]  寫了
[00:05:46.240 --> 00:05:47.260]  一卷書
[00:05:47.260 --> 00:05:48.020]  沒錯了
[00:05:48.020 --> 00:05:49.560]  就是加拉太書
[00:05:49.560 --> 00:05:52.380]  他去第二次旅行報道的時候
[00:05:52.380 --> 00:05:53.920]  又寫了多少卷書呢
[00:05:53.920 --> 00:05:55.960]  沒錯了
[00:05:55.960 --> 00:05:56.740]  兩卷
[00:05:56.740 --> 00:05:59.040]  就是貼薩萊加前後書
[00:05:59.040 --> 00:06:01.860]  他去第三次旅行報道的時候
[00:06:01.860 --> 00:06:03.640]  你猜他又寫了多少卷書呢
[00:06:03.640 --> 00:06:06.200]  沒錯了,就算你忘記的話
[00:06:06.200 --> 00:06:08.260]  你也可以有邏輯去推斷
[00:06:08.260 --> 00:06:13.620]  第三卷書就是哥伦多前後書和羅馬書
[00:06:14.140 --> 00:06:14.660]  那麼
[00:06:14.660 --> 00:06:16.480]  他三次旅行報道完畢
[00:06:16.480 --> 00:06:18.540]  回到耶路撒冷就被拘捕了
