
[00:00:00.000 --> 00:00:01.000]  大英之會早晨
[00:00:01.000 --> 00:00:02.000]  早晨
[00:00:02.000 --> 00:00:03.500]  今天早檔真的少了些人
[00:00:03.500 --> 00:00:04.500]  可能真的正在放假
[00:00:04.500 --> 00:00:07.000]  你什麼時候放假呢
[00:00:07.000 --> 00:00:08.000]  這位大英之會
[00:00:08.000 --> 00:00:09.500]  我們一起聽一下禱告
[00:00:09.500 --> 00:00:13.000]  知府上帝多謝你
[00:00:13.000 --> 00:00:15.000]  讓我們在聖誕前夕
[00:00:15.000 --> 00:00:16.500]  有一個主日
[00:00:16.500 --> 00:00:19.500]  再次來到紀念主祢的光室
[00:00:19.500 --> 00:00:21.500]  願你來到當中
[00:00:21.500 --> 00:00:24.000]  親自對我們說話
[00:00:24.000 --> 00:00:25.500]  使用下子所說的
[00:00:25.500 --> 00:00:26.500]  大英之會鎖釘的
[00:00:26.500 --> 00:00:27.500]  都是同錦若靈
[00:00:28.000 --> 00:00:30.000]  讓我們在崇拜的當中
[00:00:30.000 --> 00:00:31.000]  再次見你
[00:00:31.000 --> 00:00:32.500]  更新我們的力
[00:00:32.500 --> 00:00:34.500]  讓你能夠學無主
[00:00:34.500 --> 00:00:35.500]  親近你
[00:00:35.500 --> 00:00:37.000]  能夠成為主
[00:00:37.000 --> 00:00:38.000]  貴重器皿
[00:00:38.000 --> 00:00:39.000]  以上禱告
[00:00:39.000 --> 00:00:40.000]  奉你國主寶貴
[00:00:40.000 --> 00:00:41.000]  蘇明哲祈禱
[00:00:41.000 --> 00:00:42.500]  好
[00:00:42.500 --> 00:00:44.000]  這樣就
[00:00:44.000 --> 00:00:46.500]  今年呢
[00:00:46.500 --> 00:00:47.500]  就是
[00:00:47.500 --> 00:00:48.500]  在
[00:00:48.500 --> 00:00:50.000]  我先看一看大家
[00:00:50.000 --> 00:00:51.000]  有些什麼人在這裏
[00:00:51.000 --> 00:00:53.000]  上年
[00:00:53.000 --> 00:00:54.500]  回了香港
[00:00:54.500 --> 00:00:56.500]  應該
[00:00:56.500 --> 00:00:57.000]  我想應該
[00:00:57.000 --> 00:00:59.000]  我記得應該是在做冬之前
[00:00:59.000 --> 00:00:59.500]  就是昨天
[00:00:59.500 --> 00:01:00.500]  應該是在做夏
[00:01:00.500 --> 00:01:02.500]  我們是在昨天最熱的一天
[00:01:02.500 --> 00:01:03.500]  香港去做冬
[00:01:03.500 --> 00:01:05.000]  冬
[00:01:05.000 --> 00:01:05.500]  對於我來說
[00:01:05.500 --> 00:01:06.500]  冬是大過年的
[00:01:06.500 --> 00:01:09.000]  我能夠早點回家
[00:01:09.000 --> 00:01:10.000]  回到香港
[00:01:10.000 --> 00:01:12.000]  能夠和我的家人過冬
[00:01:12.000 --> 00:01:13.000]  是一個福分
[00:01:13.000 --> 00:01:16.000]  回到香港的時候
[00:01:16.000 --> 00:01:19.500]  好像大概三個禮拜
[00:01:19.500 --> 00:01:20.500]  回到香港的時候
[00:01:20.500 --> 00:01:23.500]  接著又回教會
[00:01:23.500 --> 00:01:25.000]  一回到教會
[00:01:25.000 --> 00:01:26.000]  就是我服侍的教會
[00:01:26.000 --> 00:01:27.000]  自己的教會的時候
[00:01:27.000 --> 00:01:28.500]  那些電影製作人問我
[00:01:28.500 --> 00:01:29.500]  咦
[00:01:29.500 --> 00:01:31.500]  為什麼你回到香港了
[00:01:31.500 --> 00:01:33.000]  你很空閒嗎
[00:01:33.000 --> 00:01:36.000]  我問為什麼這麼空閒呢
[00:01:36.000 --> 00:01:38.500]  聖誕節很忙的
[00:01:38.500 --> 00:01:41.000]  聖誕節香港的教會很忙的
[00:01:41.000 --> 00:01:42.500]  就是
[00:01:42.500 --> 00:01:44.500]  沒理由你這麼空閒在這裏
[00:01:44.500 --> 00:01:46.500]  譬如我以前的服侍教會
[00:01:46.500 --> 00:01:47.500]  就是
[00:01:47.500 --> 00:01:49.500]  24號平安夜晚會
[00:01:49.500 --> 00:01:51.500]  25號聖誕節崇拜
[00:01:51.500 --> 00:01:53.000]  如果你撞正
[00:01:53.000 --> 00:01:53.500]  今期
[00:01:53.500 --> 00:01:54.500]  可能星期六
[00:01:54.500 --> 00:01:56.500]  又是有晚課的
[00:01:56.500 --> 00:01:58.500]  星期日又有早課的
[00:01:58.500 --> 00:01:59.500]  連續四天
[00:01:59.500 --> 00:02:00.500]  都是在崇拜的
[00:02:00.500 --> 00:02:02.000]  所以
[00:02:02.000 --> 00:02:04.500]  在香港服侍的聖誕節的時候
[00:02:04.500 --> 00:02:06.500]  其實是忙個不停的
