
[00:00:00.000 --> 00:00:02.600]  再一次跟大家打招呼
[00:00:02.600 --> 00:00:04.600]  很開心見到大家
[00:00:04.600 --> 00:00:08.120]  每一次站在這裏的時時我都是很興奮
[00:00:08.120 --> 00:00:10.120]  很感恩
[00:00:10.120 --> 00:00:13.120]  能夠站在這裏的話,能聽懂嗎?
[00:00:13.120 --> 00:00:17.120]  都是很多的恩典
[00:00:17.120 --> 00:00:20.120]  七月份的時候呢
[00:00:20.120 --> 00:00:22.120]  我跟大家分享過
[00:00:22.120 --> 00:00:25.120]  七月份、八月份我會跟大家分享過
[00:00:25.120 --> 00:00:27.120]  關於耶穌基督的宣告
[00:00:27.120 --> 00:00:30.120]  就是七月份,七月十號
[00:00:30.120 --> 00:00:32.120]  祂說我是生命的糧
[00:00:32.120 --> 00:00:36.120]  七月二十八號我分享我是好牧人
[00:00:36.120 --> 00:00:40.120]  八月份我分享我是福和和生命
[00:00:40.120 --> 00:00:44.120]  是耶穌祂的自我的宣告
[00:00:44.120 --> 00:00:47.120]  想問問大家你有沒有想過你是誰?
[00:00:47.120 --> 00:00:51.120]  大家有沒有想過我是誰這個問題?
[00:00:51.120 --> 00:00:53.120]  如果你有的話,你舉舉手
[00:00:53.120 --> 00:00:55.120]  我是誰?
[00:00:55.120 --> 00:00:58.120]  有一個小故事跟大家分享
[00:00:58.120 --> 00:01:02.120]  有一天有一個男人
[00:01:02.120 --> 00:01:05.120]  他是因爲太累了
[00:01:05.120 --> 00:01:07.120]  他突然就暈過去
[00:01:07.120 --> 00:01:10.120]  在暈過去的那一瞬間
[00:01:10.120 --> 00:01:12.120]  他覺得他自己的靈魂
[00:01:12.120 --> 00:01:16.120]  在聖上這個天堂飄上去的時候
[00:01:16.120 --> 00:01:21.120]  有一把聲音就問他說你是誰?
[00:01:21.120 --> 00:01:24.120]  那人就想起他太太
[00:01:24.120 --> 00:01:29.120]  他就說我是某某的丈夫
[00:01:29.120 --> 00:01:33.120]  那個聲音說我不是問你是誰的丈夫
[00:01:33.120 --> 00:01:37.120]  我是問你是誰?
[00:01:37.120 --> 00:01:40.120]  他又想起他有四個小朋友
[00:01:40.120 --> 00:01:44.120]  他就說我是某某某某的爸爸
[00:01:44.120 --> 00:01:48.120]  那個聲音說我問你是誰?
