
[00:00:00.000 --> 00:00:03.840]  在疫情之下,我們每天都受到不同程度的隔離
[00:00:03.840 --> 00:00:07.940]  最簡單而基本上差不多每一個香港市民都被影響的
[00:00:07.940 --> 00:00:10.240]  就是被口罩所隔離
[00:00:10.240 --> 00:00:13.560]  當跟別人說話的時候,因為大家都戴著口罩
[00:00:13.560 --> 00:00:16.900]  我們都沒有辦法看到對方面部的表情
[00:00:16.900 --> 00:00:19.460]  只能夠在眼神那裡猜一下他
[00:00:19.460 --> 00:00:20.740]  究竟反應是怎樣
[00:00:20.740 --> 00:00:22.780]  例如,我們現在正在錄影
[00:00:22.780 --> 00:00:27.140]  如果對方說話時,我們都沒有辦法看見對方的臉部表情
[00:00:27.140 --> 00:00:30.460]  只能夠在眼神那裡猜一下他,究竟反應是怎樣
[00:00:30.460 --> 00:00:33.540]  大大地減低了互相溝通的能力
[00:00:33.540 --> 00:00:38.140]  最近出了一份不斷更新的檢疫人士居住大廈名單
[00:00:38.140 --> 00:00:41.740]  我們又很緊張地去留意自己所住的地方
[00:00:41.740 --> 00:00:43.520]  究竟是否在名單裡面呢?
[00:00:43.520 --> 00:00:46.600]  如果是的話,我們都有可能被隔離了
[00:00:46.600 --> 00:00:50.440]  這些一切都對日常生活帶來很多不方便
[00:00:50.440 --> 00:00:53.000]  前一陣子有一架郵輪停泊在香港
[00:00:53.000 --> 00:00:56.080]  但是船上的人不可以立刻上岸
[00:00:56.080 --> 00:00:58.640]  於是當中有些住在觀塘的乘客
[00:00:58.640 --> 00:01:01.720]  雖然在船上都看到自己住的那座大廈
[00:01:01.720 --> 00:01:03.500]  但是都有家歸不得
[00:01:03.500 --> 00:01:07.080]  真正是「這麼近,卻是那麼遠」
[00:01:07.080 --> 00:01:09.640]  《針研十七章十七節》那裡說
[00:01:09.640 --> 00:01:14.000]  朋友乃時常親愛,弟兄為患難而生
[00:01:14.000 --> 00:01:16.560]  希望這些暫時性的隔離情況
[00:01:16.560 --> 00:01:19.380]  不會影響了我們和其他人的關係
[00:01:19.380 --> 00:01:21.680]  不會減少了我們和人的接觸
[00:01:21.680 --> 00:01:23.980]  減少了對人的關心
[00:01:23.980 --> 00:01:27.060]  相反我們要珍惜這些彼此關係
