
[00:00:00.000 --> 00:00:04.760]  教會在2018年就推出了讀經一個計劃
[00:00:04.760 --> 00:00:09.560]  我想很多弟兄姊妹也參加了樂享聖言
[00:00:09.560 --> 00:00:15.400]  那我就用一個唯讀聖經來回應教會這個讀經的計劃
[00:00:15.400 --> 00:00:19.320]  我就選了詩篇第一篇一個很有名的詩篇
[00:00:19.320 --> 00:00:21.280]  來這個唯讀聖經
[00:00:21.280 --> 00:00:22.840]  讀了聖經的人會怎麼呢
[00:00:22.840 --> 00:00:26.200]  作爲一個很快樂的人生的祕訣
[00:00:26.200 --> 00:00:29.080]  好 我們先把這段經文讀完
[00:00:29.080 --> 00:00:32.080]  我是用那個河本的修訂版的
[00:00:32.080 --> 00:00:33.640]  一二三
[00:00:33.640 --> 00:00:35.960]  不從做人的計謀
[00:00:35.960 --> 00:00:38.280]  不佔罪人的道路
[00:00:38.280 --> 00:00:40.880]  不坐傲慢人的座位
[00:00:40.880 --> 00:00:43.720]  唯喜愛依侯華的律法
[00:00:43.720 --> 00:00:45.280]  晝夜思想
[00:00:45.280 --> 00:00:46.520]  他的律法
[00:00:46.520 --> 00:00:48.760]  這人便爲有福
[00:00:48.760 --> 00:00:52.480]  他要像一棵樹栽在溪水旁
[00:00:52.480 --> 00:00:54.600]  按時候結果子
[00:00:54.600 --> 00:00:56.640]  葉子也不枯乾
[00:00:56.640 --> 00:01:00.040]  凡他所做的竟都順利
[00:01:00.040 --> 00:01:02.240]  二人並不是這樣
[00:01:02.240 --> 00:01:05.560]  卻像槍批被風吹散
[00:01:05.560 --> 00:01:08.320]  因此當審判的時候
[00:01:08.320 --> 00:01:10.760]  二人的戰力不足
[00:01:10.760 --> 00:01:13.360]  一人的義樂會忠
[00:01:13.360 --> 00:01:15.000]  也是如此
[00:01:15.000 --> 00:01:18.560]  因爲依侯華知道一人的道路
[00:01:18.560 --> 00:01:23.760]  二人的道路卻是願望
[00:01:23.760 --> 00:01:28.760]  假如你是比較信主 信九的人
[00:01:28.760 --> 00:01:30.760]  剛纔聽到我講那個題目
[00:01:30.760 --> 00:01:32.480]  唯獨聖經
[00:01:32.480 --> 00:01:35.640]  馬上可能會想到馬丁路德
[00:01:35.640 --> 00:01:38.400]  改教裏面五個口號
[00:01:38.400 --> 00:01:41.760]  但是我這個獨跟他那個獨不太一樣
[00:01:41.760 --> 00:01:44.640]  馬丁路德就常用這五個獨
[00:01:44.640 --> 00:01:47.600]  還是獨一的獨 單獨的獨
[00:01:47.600 --> 00:01:49.160]  唯獨聖經
[00:01:49.160 --> 00:01:50.360]  唯獨信心
[00:01:50.360 --> 00:01:51.520]  唯獨恩典
[00:01:51.520 --> 00:01:52.480]  唯獨基督
[00:01:52.480 --> 00:01:53.720]  唯獨神的永義
[00:01:53.720 --> 00:01:58.040]  因爲我們是根正教
[00:01:58.040 --> 00:01:59.840]  也是出於馬丁路德
[00:01:59.840 --> 00:02:03.160]  我們對這個非常熟悉的
[00:02:03.160 --> 00:02:04.880]  今天不是神學探討
[00:02:04.880 --> 00:02:08.120]  所以我講唯獨聖經
[00:02:08.120 --> 00:02:09.760]  獨經的獨
[00:02:09.760 --> 00:02:12.320]  而且有一曲痛功之妙
[00:02:12.320 --> 00:02:19.760]  當時馬丁路德去改教的時候
[00:02:19.760 --> 00:02:24.000]  我們就很多的他先把拉丁文的聖經
[00:02:24.000 --> 00:02:27.160]  翻譯成爲德文的聖經
[00:02:27.160 --> 00:02:29.800]  然後後來就慢慢很多的譯本了
[00:02:29.800 --> 00:02:32.760]  英文 後來我們有中文的譯本
[00:02:32.760 --> 00:02:35.480]  因爲他領受了信徒皆祭司
[00:02:35.480 --> 00:02:37.800]  我們所有人都能讀聖經
[00:02:37.800 --> 00:02:38.880]  從前不是這樣
[00:02:38.880 --> 00:02:40.040]  只有神機人員
[00:02:40.040 --> 00:02:42.400]  而且我們不懂拉丁文
[00:02:42.400 --> 00:02:44.280]  其他人都不能讀聖經
[00:02:44.280 --> 00:02:48.480]  然後馬丁路德就把翻譯成爲德語以後
[00:02:48.480 --> 00:02:51.760]  就是當時流行的語言的德國人
[00:02:51.760 --> 00:02:54.240]  就把這個信義傳下去
[00:02:54.240 --> 00:02:59.040]  以後我們所有人都能自己讀自己的聖經
[00:02:59.040 --> 00:03:01.560]  所以今天我們隨時可以買聖經
[00:03:01.560 --> 00:03:03.560]  是很幸福的事情
[00:03:03.560 --> 00:03:05.440]  從前不是這樣的
[00:03:05.440 --> 00:03:09.320]  我先講一下聖經寫作的部分
[00:03:09.320 --> 00:03:13.960]  聖經的整本聖經大概有兩種的文體
[00:03:13.960 --> 00:03:17.960]  我們很熟悉的最第一個是文體
[00:03:17.960 --> 00:03:21.720]  這個是講思想跟理性部分
[00:03:21.720 --> 00:03:25.840]  是表達神想要我們做什麼
[00:03:25.840 --> 00:03:28.320]  我們能從舊約的歷史
[00:03:28.320 --> 00:03:32.880]  跟新約的書信裏面去明白
[00:03:32.880 --> 00:03:37.280]  神大概想基督徒會做什麼
[00:03:37.280 --> 00:03:39.600]  但是聖經有少部分的作品
[00:03:39.600 --> 00:03:40.600]  好像詩篇
[00:03:40.600 --> 00:03:43.120]  剛纔我們讀了詩篇第一篇
[00:03:43.120 --> 00:03:45.200]  詩歌體是什麼用的
[00:03:45.200 --> 00:03:48.520]  詩歌體是講神的感覺
[00:03:48.520 --> 00:03:50.560]  祂的感性的部分
[00:03:50.560 --> 00:03:53.600]  這個是我們常常非常忽略的
[00:03:53.600 --> 00:03:55.840]  神也有感受
[00:03:55.840 --> 00:03:58.920]  神也講祂喜歡什麼
[00:03:58.920 --> 00:04:00.720]  祂不喜歡什麼
[00:04:00.720 --> 00:04:05.680]  也講祂開心與不開心的感覺是什麼
[00:04:05.680 --> 00:04:09.040]  剛纔我們讀詩篇第一篇的背景
[00:04:09.040 --> 00:04:11.280]  整個詩篇是怎麼樣呢
[00:04:11.280 --> 00:04:15.240]  整卷詩篇就講到喜愛神
[00:04:15.240 --> 00:04:17.280]  喜愛那些讀他話語的人
[00:04:17.280 --> 00:04:19.720]  第一篇就是這樣
[00:04:19.720 --> 00:04:21.960]  喜愛誦讀神話語的人
[00:04:21.960 --> 00:04:24.320]  就是詩篇第一篇的意思
[00:04:24.320 --> 00:04:27.680]  詩篇的最後一篇150篇
[00:04:27.680 --> 00:04:30.920]  最後一句是哈利路亞
[00:04:30.920 --> 00:04:33.360]  要讚美耶和華
[00:04:33.360 --> 00:04:35.800]  剛好是前後複印的
[00:04:35.800 --> 00:04:38.320]  詩篇的第一篇第一句
[00:04:38.320 --> 00:04:40.840]  是誦讀神話語
