
[00:00:00.000 --> 00:00:11.000]  我們今天就從詩篇 這些聖經裡頭 我們一同來看到心靈平靜的秘訣
[00:00:11.000 --> 00:00:17.000]  這首詩呢 是大衛在年老的時候寫的
[00:00:17.000 --> 00:00:21.000]  因為我們讀到這一篇裡頭 25節的時候
[00:00:21.000 --> 00:00:25.000]  這個裡面就說了 大衛自己就說了
[00:00:25.000 --> 00:00:29.000]  他說我從前年幼 現在年老
[00:00:29.000 --> 00:00:35.000]  那麼就說明這首詩歌呢 是他在年老的時候寫的
[00:00:35.000 --> 00:00:40.000]  那麼他大衛回憶他一生所走過的路
[00:00:40.000 --> 00:00:44.000]  他看見自己蒙神的保守
[00:00:44.000 --> 00:00:49.000]  雖然是經過一些艱難或者挫折
[00:00:49.000 --> 00:00:55.000]  但是呢 他看到神是愛 神是公義的 神也是信使的
[00:00:55.000 --> 00:00:59.000]  那麼他就得出個結論說
[00:00:59.000 --> 00:01:04.000]  義人呢 必定是蒙福 惡人呢 必定是失敗的
[00:01:04.000 --> 00:01:13.000]  那麼他就借著這篇詩篇 要來勸勉一切在難處中間的信徒
[00:01:13.000 --> 00:01:21.000]  就不可以因做惡人 看到惡人享福 義人呢 在受苦
[00:01:21.000 --> 00:01:25.000]  那麼這樣的話 就失去內心的平安
[00:01:25.000 --> 00:01:33.000]  那麼他就要信徒知道 我們不要只是看到眼前的
[00:01:33.000 --> 00:01:37.000]  我們信主的人還要看到將來
[00:01:37.000 --> 00:01:43.000]  如果我們能夠看到這個惡人他們最終的結局的話
[00:01:43.000 --> 00:01:49.000]  就知道神不是偏待人的 神不會偏待人
[00:01:49.000 --> 00:01:54.000]  因為我們現在所看到的是惡人的暫時的一些現象
[00:01:54.000 --> 00:01:58.000]  所以這篇詩篇呢 就是告訴我們
[00:01:58.000 --> 00:02:04.000]  在我們信徒 在惡人他們心王發達的時候
[00:02:04.000 --> 00:02:09.000]  我們心裡頭怎麼還能夠保守 有一個平靜
[00:02:09.000 --> 00:02:12.000]  所以這篇詩篇實際上是很好的
[00:02:12.000 --> 00:02:15.000]  因為今天我們生活的環境當中
[00:02:15.000 --> 00:02:19.000]  常常會看到很多不公平的事情發生
[00:02:19.000 --> 00:02:22.000]  那我們怎麼辦呢 神就告訴我們
[00:02:22.000 --> 00:02:26.000]  怎樣能夠保守我們心裡頭有平靜
[00:02:26.000 --> 00:02:32.000]  這篇詩篇也是一個字母詩
[00:02:32.000 --> 00:02:41.000]  整個一卷詩篇呢 一共有一百五十篇
[00:02:41.000 --> 00:02:45.000]  其中有九首 有九篇是字母
[00:02:45.000 --> 00:02:48.000]  什麼叫做字母詩呢
[00:02:48.000 --> 00:02:52.000]  字母詩就是說每篇的這篇詩篇呢
[00:02:52.000 --> 00:02:57.000]  第一句話呢就是西伯來文的第一個字母
[00:02:57.000 --> 00:03:06.000]  然後依此類推 也可能第一句話是西伯來字母
[00:03:06.000 --> 00:03:08.000]  像英文比如說A打頭
[00:03:08.000 --> 00:03:15.000]  然後到第二句或者第三節的話就是B打頭
[00:03:15.000 --> 00:03:18.000]  按照字母的順序它這麼寫下來
[00:03:18.000 --> 00:03:22.000]  比如我們知道詩篇裡頭最長的一篇是什麼
