
[00:00:00.000 --> 00:00:04.500]  我在全人堂的大英之煤平安
[00:00:04.500 --> 00:00:08.080]  很開心又見到大家
[00:00:08.080 --> 00:00:11.240]  我過去在疫情過後
[00:00:11.240 --> 00:00:14.680]  我就回到大陸五次了
[00:00:14.680 --> 00:00:18.680]  不計算要搞證件那些
[00:00:18.680 --> 00:00:22.260]  計算那些就可能七次八次
[00:00:22.260 --> 00:00:23.680]  都有很多經歷
[00:00:23.680 --> 00:00:27.160]  多謝大家一直都是和我們祈禱
[00:00:27.160 --> 00:00:28.720]  支持我們
[00:00:28.720 --> 00:00:30.360]  和我們同行
[00:00:30.360 --> 00:00:32.560]  因為在淑靈的路上
[00:00:32.560 --> 00:00:34.400]  如果沒有一些肢體
[00:00:34.400 --> 00:00:36.100]  沒有大英之煤一起走
[00:00:36.100 --> 00:00:38.400]  是很辛苦的一件事
[00:00:38.400 --> 00:00:42.240]  特別是我上個星期天
[00:00:42.240 --> 00:00:45.280]  才剛剛沒有了
[00:00:45.280 --> 00:00:47.120]  有第二次陽
[00:00:47.120 --> 00:00:48.620]  第二次中招
[00:00:48.620 --> 00:00:50.780]  然後上個星期天剛好
[00:00:50.780 --> 00:00:53.160]  上個星期天一大早沒事
[00:00:53.160 --> 00:00:56.620]  我上個星期天就在杏花村廣道
[00:00:56.620 --> 00:00:58.920]  今個星期又過了來這邊
[00:00:58.920 --> 00:01:00.000]  所以很開心
[00:01:00.000 --> 00:01:02.200]  過了這個星期沒什麼事的情況
[00:01:02.200 --> 00:01:07.060]  所以願意我們在一個經常變的日子
[00:01:07.060 --> 00:01:10.140]  亦都在很多不同的情況下
[00:01:10.140 --> 00:01:14.780]  我們怎樣去仍然是開心的
[00:01:14.780 --> 00:01:16.840]  究竟還有沒有好消息呢
[00:01:16.840 --> 00:01:18.620]  這個世界還有沒有好消息呢
[00:01:18.620 --> 00:01:19.740]  末世即將來臨
[00:01:19.740 --> 00:01:22.120]  即末日即將來臨
[00:01:22.120 --> 00:01:24.520]  究竟還有沒有好消息給我們呢
[00:01:24.520 --> 00:01:26.720]  我們一起低頭祈禱
[00:01:26.720 --> 00:01:29.760]  我是天父滿心感謝、讚美你
[00:01:29.760 --> 00:01:31.700]  相信這個好消息
