
[00:00:00.000 --> 00:00:03.280]  不知道大家看完這個短片之後
[00:00:03.280 --> 00:00:06.200]  是有同感呢
[00:00:06.200 --> 00:00:08.320]  還是有傷感呢
[00:00:08.320 --> 00:00:11.400]  我相信大家都明白我的意思
[00:00:11.400 --> 00:00:13.560]  一個很簡單的問題
[00:00:13.560 --> 00:00:15.640]  你生活得開不開心
[00:00:15.640 --> 00:00:18.560]  當你今天早上睜開眼的時候
[00:00:18.560 --> 00:00:19.520]  你是否期待着
[00:00:19.520 --> 00:00:21.160]  咦 今天是星期一 我們見神
[00:00:21.160 --> 00:00:22.360]  很excited
[00:00:22.360 --> 00:00:24.840]  星期一 啊 上班啊
[00:00:24.840 --> 00:00:26.840]  又要上學啊
[00:00:27.800 --> 00:00:32.120]  你會期待着某一天是很開心的泥淋呢
[00:00:32.120 --> 00:00:36.640]  大家可不可以享受你現在的生活
[00:00:36.640 --> 00:00:42.000]  有一個很出名的電影和舞臺劇的監製
[00:00:42.000 --> 00:00:44.000]  叫做Adam Leipzig 他在羅省
[00:00:44.000 --> 00:00:47.440]  他拍過很多電影 做過很多舞臺劇
[00:00:47.440 --> 00:00:49.280]  他跟我們說
[00:00:49.280 --> 00:00:51.280]  他有一次去 剛剛沒多久之前
[00:00:51.280 --> 00:00:55.440]  去參加在 Yale 耶魯大學
[00:00:55.440 --> 00:00:57.080]  畢業了25週年
[00:00:57.080 --> 00:00:59.080]  你知道的 Reunion Party
[00:00:59.080 --> 00:01:01.560]  他回去參加這個
[00:01:01.560 --> 00:01:07.720]  畢業25年之後重聚的派對
[00:01:07.720 --> 00:01:09.720]  大家在那裏喝酒啊 聊天啊
[00:01:09.720 --> 00:01:11.720]  很開心啊 說說你做了什麼 我做了什麼
[00:01:11.720 --> 00:01:14.360]  幾十年沒見了 二十多年沒見了
[00:01:14.360 --> 00:01:16.360]  怎麼樣啊 生活得如何啊
[00:01:16.360 --> 00:01:19.280]  他有一個很驚人的發言
[00:01:19.280 --> 00:01:21.280]  他說在這羣同學當中
[00:01:21.280 --> 00:01:23.280]  當然有不同的階段了
[00:01:23.280 --> 00:01:26.600]  他說當他們跟這些人聊天的時候
[00:01:26.600 --> 00:01:28.600]  其中有八成的人
[00:01:28.600 --> 00:01:30.600]  告訴他們
[00:01:30.600 --> 00:01:32.600]  他們生活得不開心
[00:01:32.600 --> 00:01:34.600]  80%
[00:01:34.600 --> 00:01:36.600]  生活得不開心
[00:01:36.600 --> 00:01:38.600]  但是他們已經走了人生一半了
[00:01:38.600 --> 00:01:40.600]  二十多歲讀大學
[00:01:40.600 --> 00:01:42.600]  過了二十五年
[00:01:42.600 --> 00:01:44.600]  起碼四十多了
[00:01:44.600 --> 00:01:46.600]  過了人生一半了
[00:01:46.600 --> 00:01:48.600]  他們覺得浪費了
