
[00:00:00.000 --> 00:00:02.000]  多謝主祢揀選我們
[00:00:02.000 --> 00:00:05.000]  祢給我們救恩
[00:00:05.000 --> 00:00:07.000]  我們在祢的裏面是很定當
[00:00:07.000 --> 00:00:10.000]  有風暴在我們裏面或在外面
[00:00:10.000 --> 00:00:13.000]  主靠著你都可以渡過
[00:00:13.000 --> 00:00:15.000]  你在船上很平靜
[00:00:15.000 --> 00:00:17.000]  外面風浪
[00:00:17.000 --> 00:00:19.000]  我們都有些擔心有些害怕
[00:00:19.000 --> 00:00:21.000]  但主在你起身
[00:00:21.000 --> 00:00:23.000]  你就將風浪去平靜
[00:00:23.000 --> 00:00:25.000]  讓我們經驗到在你的裏面
[00:00:25.000 --> 00:00:27.000]  原來你是我們
[00:00:27.000 --> 00:00:29.000]  一定要緊緊跟隨的主
[00:00:29.000 --> 00:00:31.000]  在你的裏面原來可以很定當
[00:00:31.000 --> 00:00:33.000]  主都祝福我們
[00:00:33.000 --> 00:00:35.000]  未來的日子
[00:00:35.000 --> 00:00:37.000]  不論是天然的風浪
[00:00:37.000 --> 00:00:39.000]  或者是人生的風浪
[00:00:39.000 --> 00:00:41.000]  或者是心裏面很多的風浪
[00:00:41.000 --> 00:00:43.000]  主都靠著你來渡過
[00:00:43.000 --> 00:00:45.000]  或者在警醒裏面
[00:00:45.000 --> 00:00:47.000]  我們看到
[00:00:47.000 --> 00:00:49.000]  然後我們可以渡過
[00:00:49.000 --> 00:00:51.000]  或者在我們預備當中
[00:00:51.000 --> 00:00:53.000]  進來的時候我們都知道怎樣渡過
[00:00:53.000 --> 00:00:55.000]  Hallelujah
[00:00:55.000 --> 00:00:57.000]  聖靈你跟隨我們
[00:00:57.000 --> 00:00:59.000]  有機會到來
[00:00:59.000 --> 00:01:01.000]  多謝主隨聽我們的禱告
[00:01:01.000 --> 00:01:03.000]  奉耶穌基督得勝命求
[00:01:03.000 --> 00:01:05.000]  Amen
[00:01:05.000 --> 00:01:07.000]  多謝主
[00:01:07.000 --> 00:01:09.000]  祝福你旁邊左右
[00:01:09.000 --> 00:01:11.000]  多許風浪都和你一起渡過
[00:01:11.000 --> 00:01:13.000]  多許風浪
