
[00:00:00.000 --> 00:00:01.400]  丙姐妹,早安!
[00:00:01.400 --> 00:00:07.520]  在9月29日至10月11日這13天裡
[00:00:07.520 --> 00:00:12.120]  我們聽得最多的是「撕裂」兩個字
[00:00:12.120 --> 00:00:21.160]  有教會撕裂、有社會撕裂、有團契撕裂、有家庭撕裂
[00:00:21.160 --> 00:00:23.780]  甚至情侶也會撕裂
[00:00:23.780 --> 00:00:27.200]  為何會出現呢?
[00:00:29.560 --> 00:00:32.960]  有人說是因為社會的議題
[00:00:32.960 --> 00:00:34.960]  因為佔中的事宜
[00:00:34.960 --> 00:00:36.960]  大家取態不一
[00:00:36.960 --> 00:00:40.640]  不過,你想深一層
[00:00:40.640 --> 00:00:42.640]  其實取態不一是很正常的
[00:00:42.640 --> 00:00:44.640]  是一定會出現的
[00:00:44.640 --> 00:00:48.000]  有些時候根本是有需要的
[00:00:48.000 --> 00:00:51.560]  問問大家
[00:00:51.560 --> 00:00:54.560]  你覺得你完全沒有盲點的
[00:00:54.560 --> 00:00:56.560]  你舉一下手
[00:00:59.560 --> 00:01:00.800]  沒有人舉手
[00:01:00.800 --> 00:01:03.960]  即是我們大家都覺得自己有盲點
[00:01:03.960 --> 00:01:05.400]  甚麼是盲點呢?
[00:01:05.400 --> 00:01:08.280]  盲點即是你以前不關心的事
[00:01:08.280 --> 00:01:10.280]  或者你看不到的事
[00:01:10.280 --> 00:01:12.280]  這些都是盲點
[00:01:12.280 --> 00:01:17.680]  我和我太太也有很多盲點
[00:01:17.680 --> 00:01:19.040]  舉個例子
[00:01:19.040 --> 00:01:21.040]  我們去旅行的時候
[00:01:21.040 --> 00:01:23.760]  我喜歡拿著相機拍拍照
[00:01:23.760 --> 00:01:26.880]  去到哪裏,吃到哪裏,玩到哪裏
[00:01:26.880 --> 00:01:30.240]  我太太就喜歡拿著行程表
[00:01:30.240 --> 00:01:33.280]  拿著筆
[00:01:33.280 --> 00:01:37.040]  拍拍看,去到哪裏,沒有去到哪裏
[00:01:37.040 --> 00:01:39.040]  那拍來幹甚麼呢?
[00:01:39.040 --> 00:01:41.840]  如果旅行團沒有帶她去那個地方
[00:01:41.840 --> 00:01:43.440]  就回去投訴
[00:01:43.440 --> 00:01:45.440]  拿回錢
[00:01:45.440 --> 00:01:47.440]  奇怪,可以拿回錢的嗎?
[00:01:47.440 --> 00:01:49.440]  有一次我們去旅行
[00:01:49.440 --> 00:01:51.440]  真的可以拿回錢的
[00:01:51.440 --> 00:01:54.640]  所以有她在旁邊
[00:01:54.640 --> 00:01:56.640]  我很少被人騙
[00:01:56.640 --> 00:01:58.080]  但如果我自己去
[00:01:58.080 --> 00:02:00.080]  去到哪裏我也不太清楚
[00:02:00.080 --> 00:02:04.000]  亦有弟兄姊妹說
