
[00:00:00.000 --> 00:00:01.840]  在這個春天裡
[00:00:01.840 --> 00:00:03.760]  我們真是一個不一樣的春天
[00:00:03.760 --> 00:00:06.320]  但對於我們土瓜人進信會來說
[00:00:06.320 --> 00:00:09.280]  我們經歷了一個如虎奇的靈命進心運動
[00:00:09.280 --> 00:00:11.040]  讓我們透過馬福音
[00:00:11.040 --> 00:00:12.640]  去進心去認識
[00:00:12.640 --> 00:00:15.680]  耶穌是一個什麼樣的人呢?
[00:00:15.680 --> 00:00:18.320]  祂是不是人這麼簡單呢?
[00:00:18.320 --> 00:00:20.800]  耶穌是一個受苦的僕人
[00:00:20.800 --> 00:00:24.000]  更加是那位受苦的尼塞亞基督
[00:00:24.000 --> 00:00:25.680]  我們更加看到
[00:00:25.680 --> 00:00:29.120]  耶穌基督就是神的兒子
[00:00:29.120 --> 00:00:32.160]  在剛才的默想的第一部分
[00:00:32.160 --> 00:00:35.440]  我們看到受苦的耶穌基督
[00:00:35.440 --> 00:00:37.440]  祂為門徒洗腳
[00:00:37.440 --> 00:00:41.040]  原來我們人的渺小好像塵埃一樣
[00:00:41.040 --> 00:00:43.200]  但耶穌的謙卑
[00:00:43.200 --> 00:00:48.160]  祂願意服侍我們這些微塵的小人物
[00:00:48.160 --> 00:00:50.880]  更加教導我們要好好地
[00:00:50.880 --> 00:00:53.600]  去學習耶穌基督受苦的心事
[00:00:53.600 --> 00:00:57.520]  謙遜、卑微、甘心服侍
[00:00:57.520 --> 00:01:00.560]  特別在一些小子的身上
[00:01:00.560 --> 00:01:03.760]  或者在一些我們不喜歡的人身上
[00:01:03.760 --> 00:01:07.600]  耶穌都願意為猶大去洗腳
[00:01:07.600 --> 00:01:09.600]  第二個默想
[00:01:09.600 --> 00:01:16.720]  耶穌在如意節裡面設立了一個主餐
[00:01:16.720 --> 00:01:19.200]  祂讓祂自己的生命去張開
[00:01:19.200 --> 00:01:21.680]  祂成為了一個代罪的羔羊
[00:01:21.680 --> 00:01:24.080]  耶穌基督這個受苦的僕人
[00:01:24.080 --> 00:01:27.360]  更加願意連命都為我們犧牲
[00:01:27.360 --> 00:01:29.360]  成就救恩
[00:01:29.360 --> 00:01:33.760]  沒有人能夠奪走耶穌的生命
[00:01:33.760 --> 00:01:37.760]  只有耶穌基督甘心情願地犧牲出來
[00:01:37.760 --> 00:01:39.760]  也沒有其他人
[00:01:39.760 --> 00:01:42.480]  自願犧牲生命就能夠成就救恩
[00:01:42.480 --> 00:01:46.640]  唯有天上的兒子耶穌基督
[00:01:46.640 --> 00:01:48.640]  道成肉身
[00:01:48.640 --> 00:01:50.640]  一個無罪的基督
[00:01:50.640 --> 00:01:53.600]  祂的犧牲才能夠成就這個偉大的救恩
[00:01:53.600 --> 00:01:56.800]  所以耶穌基督就是唯一的道路
[00:01:56.800 --> 00:01:58.800]  真理生命
[00:01:58.800 --> 00:02:01.360]  在第三部分
[00:02:01.360 --> 00:02:04.800]  很想和大家透過剛才讀經小組所讀的
[00:02:04.800 --> 00:02:07.760]  馬福音第十五章三十三至四十一節
[00:02:07.760 --> 00:02:12.160]  讓我們再去盡心去認識耶穌基督的身份
[00:02:12.160 --> 00:02:15.280]  我們在第三十四節見到
[00:02:15.280 --> 00:02:17.280]  由新初的時候
[00:02:17.280 --> 00:02:20.480]  去到耶穌
[00:02:20.480 --> 00:02:22.480]  應該說是由三十三節
[00:02:22.480 --> 00:02:24.480]  從五正到新初
[00:02:24.480 --> 00:02:26.480]  遍地都黑暗了
[00:02:26.480 --> 00:02:28.480]  五正就是十二時
[00:02:28.480 --> 00:02:30.480]  新初就是下午三時
[00:02:30.480 --> 00:02:32.480]  所以是由
[00:02:32.480 --> 00:02:34.480]  中午十二時到三時
[00:02:34.480 --> 00:02:36.480]  連續三個小時
[00:02:36.480 --> 00:02:38.480]  整個地方都黑暗了
[00:02:38.480 --> 00:02:40.480]  其實耶穌基督
[00:02:40.480 --> 00:02:42.480]  是何時開始釘十字架的呢?
[00:02:42.480 --> 00:02:44.480]  是由早上九時開始
[00:02:44.480 --> 00:02:46.480]  祂就在十字架上被釘
[00:02:46.480 --> 00:02:48.480]  所以
[00:02:48.480 --> 00:02:50.480]  三個小時
[00:02:50.480 --> 00:02:52.480]  黑暗六個小時
[00:02:52.480 --> 00:02:54.480]  耶穌在十字架上
[00:02:54.480 --> 00:02:56.480]  耶穌在十字架上
[00:02:56.480 --> 00:02:58.480]  馬福音記載了
[00:02:58.480 --> 00:03:00.480]  耶穌兩句說話
[00:03:00.480 --> 00:03:02.480]  在十字架上
[00:03:02.480 --> 00:03:04.480]  第一句話
