
[00:00:00.000 --> 00:00:04.200]  上星期三我和Irene在家附近的超級市場賣餸
[00:00:04.200 --> 00:00:08.460]  心機剛剛播放Billy Joel的
[00:00:08.460 --> 00:00:10.400]  We Didn't Start a Fire
[00:00:10.400 --> 00:00:13.040]  那天天色是橙色的
[00:00:13.040 --> 00:00:15.920]  三藩市有些好像搬了去火星一樣
[00:00:15.920 --> 00:00:17.400]  都挺諷刺的
[00:00:17.400 --> 00:00:20.960]  今年你就算不是住在加州
[00:00:20.960 --> 00:00:23.680]  世界到處都好像慶合合一樣
[00:00:23.680 --> 00:00:27.640]  天災人禍好像是一浪接一浪那樣來到
[00:00:27.640 --> 00:00:30.820]  就好像Billy Joel在這首歌裡面說到的
[00:00:30.820 --> 00:00:32.640]  縱火的就不是我們
[00:00:32.640 --> 00:00:34.240]  地球開始轉的那一天
[00:00:34.240 --> 00:00:36.880]  這個世界已經在燃燒
[00:00:36.880 --> 00:00:42.080]  今年發生其實很多各種史無前例的災難
[00:00:42.080 --> 00:00:43.560]  但是這個世界
[00:00:43.560 --> 00:00:46.360]  什麼時候有試過真的天下太平呢?
[00:00:46.360 --> 00:00:48.580]  你研究一下歷史找一年
[00:00:48.580 --> 00:00:50.280]  是沒有天災人禍的
[00:00:50.280 --> 00:00:52.920]  那一年就真的史無前例了
[00:00:52.920 --> 00:00:57.160]  只不過是發生在此時此地
[00:00:57.160 --> 00:00:59.080]  所以你主觀地覺得
[00:00:59.080 --> 00:01:01.080]  它更加史無前例而已
[00:01:01.080 --> 00:01:03.920]  Billy Joel這首歌的意思就是這樣
[00:01:03.920 --> 00:01:08.040]  人經歷到未經歷過的患難會怎樣呢?
[00:01:08.040 --> 00:01:10.120]  很多人就會求神派佛
[00:01:10.120 --> 00:01:11.920]  就算沒有宗教信仰的
[00:01:11.920 --> 00:01:13.560]  人面對危難
[00:01:13.560 --> 00:01:16.200]  都會所謂臨急抱佛腳
[00:01:16.200 --> 00:01:19.280]  無論一個人是屬於什麼宗教
[00:01:19.280 --> 00:01:21.000]  真正的人性
[00:01:21.000 --> 00:01:23.840]  在這個非常時刻的當中
[00:01:23.840 --> 00:01:26.040]  透過喊救命的禱告
[00:01:26.040 --> 00:01:27.680]  就表露無遺了
[00:01:27.680 --> 00:01:30.560]  今天我們看若拿先知的禱告
[00:01:30.560 --> 00:01:32.160]  就是一個好的例子
[00:01:32.160 --> 00:01:36.680]  若拿可能是最加全互曉的一個先知
[00:01:36.680 --> 00:01:41.040]  因為若拿書是一個很戲劇性的傳奇故事
[00:01:41.040 --> 00:01:44.640]  耶和華說神要若拿去警告利尼尼聖
[00:01:44.640 --> 00:01:46.880]  他即將要毀滅利尼尼
[00:01:46.880 --> 00:01:48.680]  但是若拿死都不肯
[00:01:48.680 --> 00:01:50.880]  神叫若拿行東
