
[00:00:00.000 --> 00:00:05.620]  他今天是第一講,我給大家的題目是重建祭壇
[00:00:05.620 --> 00:00:07.380]  為什麼我這樣說呢?
[00:00:07.380 --> 00:00:10.600]  因為我發覺今天在教會裡面
[00:00:10.600 --> 00:00:15.080]  有很多人對上帝失了信心
[00:00:15.080 --> 00:00:16.980]  不知道大家同不同意
[00:00:16.980 --> 00:00:18.520]  不過我做牧師這麼久的時候
[00:00:18.520 --> 00:00:22.140]  有時候會發覺不知道從什麼時候開始
[00:00:22.140 --> 00:00:25.900]  很多時候我們對我們的信仰
[00:00:25.900 --> 00:00:28.140]  對聖經裡面的教導
[00:00:28.140 --> 00:00:35.860]  好像是遮蓋出一層懷疑的薄紗在上面
[00:00:35.860 --> 00:00:38.580]  聖經是這樣說的,神是這樣教導的
[00:00:38.580 --> 00:00:43.240]  但是好像看得很模糊,不太清楚是不是真的這樣
[00:00:43.240 --> 00:00:46.900]  牧師說聖經是神的話是真理
[00:00:46.900 --> 00:00:49.040]  但是是不是真的是真理呢?
[00:00:49.040 --> 00:00:51.980]  聖經裡面給我們很多價值觀
[00:00:51.980 --> 00:00:56.660]  作為我們做事、決策的一些準則
[00:00:56.660 --> 00:01:00.280]  但是我們是不是真的完全都聽了這樣說呢?
[00:01:00.280 --> 00:01:05.780]  神給我們的吩咐,我們是不是要照單全收呢?
[00:01:05.780 --> 00:01:08.800]  我不知道大家有沒有想過一類這樣的問題
[00:01:08.800 --> 00:01:11.700]  因為其實可能,牧師你說得對
[00:01:11.700 --> 00:01:13.220]  有時候我們靜悶悶悶
[00:01:13.220 --> 00:01:16.180]  可能我們在我們心靈的深處
[00:01:16.180 --> 00:01:19.300]  也有類似這樣的看法,也未定
[00:01:19.300 --> 00:01:23.140]  你也知道這個世界,日新月異,變得這麼快
[00:01:23.140 --> 00:01:31.280]  二千年前的事與今天會不會耶穌時代對人、對時的看法
[00:01:31.280 --> 00:01:36.120]  到今天已經不同了呢?
[00:01:36.120 --> 00:01:40.080]  神給我們的指引,怎樣去待人接物
[00:01:40.080 --> 00:01:43.620]  是不是我們每一樣東西都要照做
[00:01:43.620 --> 00:01:46.100]  還是我們需要調整一下
[00:01:46.100 --> 00:01:50.240]  因為時代不同了,人不同了
[00:01:50.240 --> 00:01:52.840]  不知道大家有沒有想過這樣的問題呢?
[00:01:52.840 --> 00:01:57.640]  如果你聽牧師說出這樣的問題的時候
[00:01:57.640 --> 00:01:59.140]  你怎樣看呢?
[00:01:59.140 --> 00:02:01.920]  你會怎樣去回答呢?
[00:02:01.920 --> 00:02:06.520]  這個就是我覺得在開始的時候
[00:02:06.520 --> 00:02:12.560]  我提出這些問題,讓大家去思考一下
[00:02:12.560 --> 00:02:15.960]  今天我跟大家說一個故事
[00:02:15.960 --> 00:02:17.620]  是舊約的故事
[00:02:17.620 --> 00:02:20.020]  我們很少說舊約,是不是呢?
[00:02:20.020 --> 00:02:25.540]  舊約裏面,大家知道是南北國分裂之後
[00:02:25.540 --> 00:02:29.400]  南國的以色列
[00:02:29.400 --> 00:02:32.780]  以色列有一個皇帝叫阿哈王
[00:02:32.780 --> 00:02:37.840]  這個阿哈王後來娶了一個外族的女子
[00:02:37.840 --> 00:02:41.020]  是一個公主,叫耶洗別做老婆
[00:02:41.020 --> 00:02:42.780]  大家記不記得這個故事?
[00:02:42.780 --> 00:02:47.860]  如果你是老基督徒的話,在舊約內可能聽過這個故事
[00:02:47.860 --> 00:02:51.600]  阿哈王娶了耶洗別做老婆之後
[00:02:51.600 --> 00:02:53.300]  做了皇后
[00:02:53.300 --> 00:02:59.140]  跟著她去拜一個外族的神,叫巴力
[00:02:59.140 --> 00:03:02.640]  我們基督徒在聖經裏面說他是偶像
[00:03:02.640 --> 00:03:05.740]  是一個虛無的神,這是聖經的形容詞
[00:03:05.740 --> 00:03:07.240]  是一個虛無的神
[00:03:07.240 --> 00:03:09.740]  但是很可惜,阿哈王娶了這個老婆之後
[00:03:09.740 --> 00:03:11.940]  跟著她去拜巴力
[00:03:11.940 --> 00:03:13.420]  不但如此
[00:03:13.420 --> 00:03:18.680]  而且說巴力在國內周圍建廟宇
[00:03:18.680 --> 00:03:20.880]  還有很多祭壇
[00:03:20.880 --> 00:03:25.580]  讓百姓都可以跟他們一起去拜巴力
[00:03:25.580 --> 00:03:27.120]  因為這個緣故
[00:03:27.120 --> 00:03:31.020]  上帝很生氣,有沒有搞錯?
[00:03:31.020 --> 00:03:37.640]  於是就派了一個先知叫以利亞去找這個皇帝
[00:03:37.640 --> 00:03:39.600]  跟皇帝說,我告訴你
[00:03:39.600 --> 00:03:43.100]  因為你這樣做的緣故,上帝很不開心,很不喜歡
[00:03:43.100 --> 00:03:49.740]  所以以色列國將要面臨一個很大的寒災
[00:03:49.740 --> 00:03:53.080]  以後這幾年一定不會下雨
[00:03:53.080 --> 00:03:56.080]  除非我再次去到上帝面前祈禱
[00:03:56.080 --> 00:03:58.020]  大家看到這個故事嗎?
[00:03:58.020 --> 00:04:00.560]  結果真的沒有下雨
[00:04:00.560 --> 00:04:02.460]  三年都沒有下雨
[00:04:02.460 --> 00:04:05.960]  再沒有下雨的時候,我們的生畜都沒有水喝
[00:04:05.960 --> 00:04:07.760]  都死光了,怎麼辦?
[00:04:07.760 --> 00:04:11.600]  周圍去找這個以利亞
[00:04:11.600 --> 00:04:13.400]  三年之後,聖經說
[00:04:13.400 --> 00:04:16.040]  神就叫以利亞,這個時候你出來了
[00:04:16.040 --> 00:04:19.040]  你再去見這個阿克旺
[00:04:19.040 --> 00:04:23.380]  叫阿克旺的時候就跟他說
[00:04:23.380 --> 00:04:25.280]  你叫所有的以色列人
[00:04:25.280 --> 00:04:27.280]  有多少我不知道,聖經沒有說
[00:04:27.280 --> 00:04:29.620]  叫所有的百姓
[00:04:29.620 --> 00:04:33.460]  還有那些侍奉巴力的先知
