
[00:00:00.000 --> 00:00:03.000]  大家 香港很需要這兩個字
[00:00:03.000 --> 00:00:05.000]  很感謝主
[00:00:05.000 --> 00:00:10.000]  其實能夠來這裏
[00:00:10.000 --> 00:00:13.000]  今日一齊相聚
[00:00:13.000 --> 00:00:15.000]  都不是一定
[00:00:15.000 --> 00:00:23.000]  試過上幾日的事情發生
[00:00:23.000 --> 00:00:33.000]  相信我們一定有很多感想和感嘆
[00:00:33.000 --> 00:00:41.000]  第一當然是原來大自然可以這麼大殺傷
[00:00:41.000 --> 00:00:43.000]  那個力度是這麼厲害
[00:00:43.000 --> 00:00:51.000]  我想很多人都未試過經歷這麼大的風暴
[00:00:51.000 --> 00:00:59.000]  其實我和我太太都經歷了不簡單
[00:00:59.000 --> 00:01:07.000]  我很想和大家分享一個經歷
[00:01:07.000 --> 00:01:12.000]  就是上星期前日發生的
[00:01:12.000 --> 00:01:16.000]  其實和今天的主題是有關的
[00:01:16.000 --> 00:01:20.000]  今天的主題是誰在掌舵
[00:01:20.000 --> 00:01:24.000]  其實我選了一段經文
[00:01:24.000 --> 00:01:29.000]  是耶穌平靜風浪
[00:01:29.000 --> 00:01:35.000]  但是這個主題是我三個星期前
[00:01:35.000 --> 00:01:37.000]  四個星期前選的
[00:01:37.000 --> 00:01:39.000]  不是特意為了這個風格選的
[00:01:39.000 --> 00:01:41.000]  所以很特別
[00:01:41.000 --> 00:01:46.000]  我覺得神是有些東西和我們說
[00:01:46.000 --> 00:01:52.000]  而兩日前星期日發生了什麼事呢
[00:01:52.000 --> 00:01:55.000]  很簡單地說
[00:01:55.000 --> 00:02:02.000]  在星期六我們家裏要預備打風
[00:02:02.000 --> 00:02:07.000]  我太太很擅長去搶購一些膠紙
[00:02:07.000 --> 00:02:19.000]  回到家我開始帶著菲律賓姐姐全屋玻璃全部打了米字
[00:02:19.000 --> 00:02:21.000]  以為很安全
[00:02:21.000 --> 00:02:24.000]  弄了很久
[00:02:24.000 --> 00:02:28.000]  然後晚上很平安地睡覺
[00:02:28.000 --> 00:02:33.000]  翌日起床都覺得沒什麼特別
[00:02:33.000 --> 00:02:35.000]  迎接一個風
[00:02:35.000 --> 00:02:37.000]  全部包好
[00:02:37.000 --> 00:02:39.000]  很安全
[00:02:39.000 --> 00:02:43.000]  誰知在十點鐘
[00:02:43.000 --> 00:02:48.000]  首先我家住在西貢
[00:02:48.000 --> 00:02:52.000]  我們家是向正東北
[00:02:52.000 --> 00:02:56.000]  在十點鐘的時候
[00:02:56.000 --> 00:02:59.000]  我很正常坐在這裏看書
[00:02:59.000 --> 00:03:02.000]  打風當然是等風過
[00:03:02.000 --> 00:03:05.000]  由小到大都是這樣
[00:03:05.000 --> 00:03:08.000]  突然之間
[00:03:08.000 --> 00:03:10.000]  「啪啪啪」這樣
[00:03:10.000 --> 00:03:12.000]  兩了一下
[00:03:12.000 --> 00:03:14.000]  都不是很危險
[00:03:14.000 --> 00:03:16.000]  接著再來兩聲
[00:03:16.000 --> 00:03:17.000]  「啪啪啪」
[00:03:17.000 --> 00:03:18.000]  繼續拍
[00:03:18.000 --> 00:03:21.000]  嘩三聲
[00:03:21.000 --> 00:03:24.000]  很害怕
[00:03:24.000 --> 00:03:25.000]  我走上去
[00:03:25.000 --> 00:03:27.000]  在天台傳
[00:03:27.000 --> 00:03:29.000]  上到天台
[00:03:29.000 --> 00:03:32.000]  三塊玻璃爆了
[00:03:32.000 --> 00:03:35.000]  飛了
[00:03:35.000 --> 00:03:39.000]  開始了那一天七個小時的搏鬥
[00:03:39.000 --> 00:03:45.000]  和山竹搏鬥了七個小時
[00:03:45.000 --> 00:03:49.000]  當中最令我深刻的
[00:03:49.000 --> 00:03:51.000]  就是我們還有一道門
[00:03:51.000 --> 00:03:52.000]  一道玻璃門
[00:03:52.000 --> 00:03:53.000]  很重要的
[00:03:53.000 --> 00:03:56.000]  由天台落回我們家
[00:03:56.000 --> 00:03:59.000]  那道玻璃門竟然亮了
[00:03:59.000 --> 00:04:02.000]  但是那時候風開始強
[00:04:02.000 --> 00:04:04.000]  一路十二點
[00:04:04.000 --> 00:04:06.000]  一點
[00:04:06.000 --> 00:04:10.000]  那些風開始最大最強的時候
[00:04:10.000 --> 00:04:13.000]  打過來的聲音是
[00:04:13.000 --> 00:04:14.000]  「嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩嘩」
[00:04:14.000 --> 00:04:17.000]  然後我看到道門
[00:04:17.000 --> 00:04:21.000]  好像吹波吹氣球那樣
[00:04:21.000 --> 00:04:26.000]  漲入來漲入來
[00:04:26.000 --> 00:04:27.000]  怎樣捱到
[00:04:27.000 --> 00:04:29.000]  然後收到消息說
[00:04:29.000 --> 00:04:32.000]  風還有五六個鐘頭才過
[00:04:32.000 --> 00:04:35.000]  那道門怎樣頂到呢
[00:04:35.000 --> 00:04:37.000]  那時候我太太
[00:04:37.000 --> 00:04:39.000]  她就在那裏坐
[00:04:39.000 --> 00:04:41.000]  坐在那裏很擔心
[00:04:41.000 --> 00:04:44.000]  坐在北壩下一層
[00:04:44.000 --> 00:04:47.000]  我就在那裏裝著那塊玻璃
[00:04:47.000 --> 00:04:49.000]  看著它就爆就爆
[00:04:49.000 --> 00:04:55.000]  我心裏面很焦急地抱怨
[00:04:55.000 --> 00:05:01.000]  我說神呀祢要出神幫
[00:05:01.000 --> 00:05:03.000]  就是那個時候
[00:05:03.000 --> 00:05:08.000]  我腦裏突然間有個意念
[00:05:08.000 --> 00:05:11.000]  因為它這樣滴過來
[00:05:11.000 --> 00:05:14.000]  其實我應該拉開條縫
[00:05:14.000 --> 00:05:16.000]  用來擴建
[00:05:16.000 --> 00:05:20.000]  我外面和裏面好像通了風
[00:05:20.000 --> 00:05:22.000]  在那裏想
[00:05:22.000 --> 00:05:26.000]  我望下我下面有些拉得開的
[00:05:26.000 --> 00:05:29.000]  那些風如果通到流到氣
[00:05:29.000 --> 00:05:32.000]  不是沒有事嗎
[00:05:32.000 --> 00:05:34.000]  那時候想不到那麼多
[00:05:34.000 --> 00:05:35.000]  計不到數
[00:05:35.000 --> 00:05:37.000]  腦裏都不是很清醒
[00:05:37.000 --> 00:05:39.000]  我馬上上去拉
[00:05:39.000 --> 00:05:40.000]  然後拉
[00:05:40.000 --> 00:05:41.000]  我同事幫我講
[00:05:41.000 --> 00:05:43.000]  你搞錯你傻了還開槍
[00:05:43.000 --> 00:05:45.000]  我說不是的
[00:05:45.000 --> 00:05:48.000]  開完那條縫之後
[00:05:48.000 --> 00:05:50.000]  那些縫全部打開
[00:05:50.000 --> 00:05:53.000]  那扇門頂得住
[00:05:53.000 --> 00:05:56.000]  沒有爆開
[00:05:56.000 --> 00:05:58.000]  跟著最大風的時候
[00:05:58.000 --> 00:06:00.000]  醒了兩三年
[00:06:00.000 --> 00:06:03.000]  沒有事
[00:06:03.000 --> 00:06:07.000]  我就很相信
