
[00:00:00.000 --> 00:00:06.540]  馬太福音28章18節到20節
[00:00:06.540 --> 00:00:11.380]  我相信很多弟兄姊妹都很熟悉19和20節
[00:00:11.380 --> 00:00:13.760]  但是奇怪了
[00:00:13.760 --> 00:00:17.000]  為什麼今天會多一節是第18節呢?
[00:00:17.000 --> 00:00:22.200]  原來第18節實在是非常關鍵的
[00:00:22.200 --> 00:00:27.320]  因為第18節是整個大使命的根基
[00:00:27.320 --> 00:00:32.880]  不如我們一起打開時讀讀第18節
[00:00:32.880 --> 00:00:35.840]  讀完第18節就可以看著我
[00:00:35.840 --> 00:00:38.520]  因為我知道你懂得背19和20節
[00:00:38.520 --> 00:00:41.400]  預備,第18節預備起
[00:00:41.400 --> 00:00:45.200]  耶穌進前來對他們說
[00:00:45.200 --> 00:00:50.560]  天上地下所有的權柄都持給我了
[00:00:50.560 --> 00:00:55.920]  所以你們要去使萬民作我的門徒
[00:00:55.920 --> 00:01:00.760]  奉父子聖靈的名給他們施洗
[00:01:00.760 --> 00:01:06.040]  凡我所吩咐你們的,都教訓他們遵守
[00:01:06.040 --> 00:01:11.480]  我就常與你們同坐,直到世界的末了
[00:01:11.480 --> 00:01:15.000]  你們讀新版,我讀了舊版
[00:01:15.000 --> 00:01:16.720]  都是一樣的
[00:01:16.720 --> 00:01:20.520]  主說常與我們同坐,直到什麼?
[00:01:20.520 --> 00:01:23.320]  世界的末了,感謝主
[00:01:23.320 --> 00:01:26.200]  第18節這麼重要的原因
[00:01:26.200 --> 00:01:28.800]  因為第18節是一個根基
[00:01:28.800 --> 00:01:32.520]  是耶穌頒佈大使命的基礎
[00:01:32.520 --> 00:01:35.560]  當耶穌將大使命頒佈之前
[00:01:35.560 --> 00:01:39.720]  原來這個根基是建立在第18節
[00:01:39.720 --> 00:01:41.040]  第18節怎麼說?
[00:01:41.040 --> 00:01:43.120]  耶穌告訴門徒
[00:01:43.120 --> 00:01:49.280]  天上地下所有的權柄都持給我了
[00:01:49.280 --> 00:01:54.520]  頂尖的門,這是石破天驚的一個宣告
[00:01:54.520 --> 00:01:59.360]  世界上自古至今,或者古今中外
[00:01:59.360 --> 00:02:03.720]  曾經歷史上有很多很野心的君王
[00:02:03.720 --> 00:02:07.040]  想統領這個世界
[00:02:07.040 --> 00:02:09.440]  譬如有亞歷山大
[00:02:09.440 --> 00:02:12.120]  譬如有成吉思汗
[00:02:12.120 --> 00:02:15.480]  甚至近代歷史中的希特勒
[00:02:15.480 --> 00:02:21.840]  有不少很野心的君王都很想統一這個世界
