
[00:00:00.000 --> 00:00:02.000]  各位頂尖的好
[00:00:02.000 --> 00:00:04.600]  今天想和大家分享一個訊息
[00:00:04.600 --> 00:00:09.460]  是在《馬可福音》十章一至十二節的一個訊息
[00:00:09.460 --> 00:00:12.760]  在前幾個星期裡面
[00:00:12.760 --> 00:00:20.760]  陳沛偉傳道也帶我們去查看了《馬可福音》第九章的經文
[00:00:20.760 --> 00:00:25.160]  我們今天繼續延續《馬可福音》講道的系列
[00:00:25.160 --> 00:00:27.400]  進到第十章的內容
[00:00:27.400 --> 00:00:31.180]  今天我們要探討的是關於優妻這個律法的問題
[00:00:31.180 --> 00:00:35.400]  法利塞人再次在耶穌的面前挑戰祂
[00:00:35.400 --> 00:00:37.000]  去試探祂
[00:00:37.000 --> 00:00:39.400]  究竟耶穌的回應
[00:00:39.400 --> 00:00:40.600]  耶穌的回答
[00:00:40.600 --> 00:00:43.100]  如何讓我們在這個律法的問題裡面
[00:00:43.100 --> 00:00:44.500]  有更多的體見
[00:00:44.500 --> 00:00:47.500]  我們眼光有一個再次的更新呢?
[00:00:47.500 --> 00:00:51.400]  今天我選取的是華本修訂版的經文
[00:00:51.400 --> 00:00:53.900]  我們一起去讀這段經文吧
[00:00:53.900 --> 00:00:57.100]  《馬可福音》十章一至十二節
[00:00:57.100 --> 00:00:58.400]  準備起
[00:00:58.400 --> 00:01:03.000]  「耶穌從那裡起身到猶太的境內
[00:01:03.000 --> 00:01:05.000]  一旦河的東邊
[00:01:05.000 --> 00:01:07.800]  眾人又聚集到他那裡
[00:01:07.800 --> 00:01:10.600]  他又照常教導他們
[00:01:10.600 --> 00:01:13.500]  有法利塞人來問他說
[00:01:13.500 --> 00:01:16.400]  男人優妻合法不合法
[00:01:16.400 --> 00:01:19.000]  意思是要試探他
[00:01:19.000 --> 00:01:21.400]  耶穌回答說
[00:01:21.400 --> 00:01:24.600]  摩西吩咐你們的是什麼
[00:01:24.600 --> 00:01:28.600]  他們說摩西准許寫了優書
[00:01:28.600 --> 00:01:30.800]  就可以優妻
[00:01:30.800 --> 00:01:32.900]  耶穌對他們說
[00:01:32.900 --> 00:01:35.600]  摩西因為你們的心硬
[00:01:35.600 --> 00:01:38.800]  所以寫者誡命給你們
[00:01:38.800 --> 00:01:42.000]  但從起初創造的時候
[00:01:42.000 --> 00:01:45.200]  神做人是做男做女
[00:01:45.200 --> 00:01:48.700]  因此人要離開他的父母
[00:01:48.700 --> 00:01:50.700]  與妻子結合
[00:01:50.700 --> 00:01:52.900]  二人成為一體
[00:01:52.900 --> 00:01:54.600]  既然如此
[00:01:54.600 --> 00:01:57.000]  夫妻不再是兩個人
[00:01:57.000 --> 00:01:59.300]  而是一體的了
[00:01:59.300 --> 00:02:03.800]  所以神配合的人不可分開
[00:02:03.800 --> 00:02:05.900]  他們到了屋裡
[00:02:05.900 --> 00:02:08.500]  門徒又問他這是
[00:02:08.500 --> 00:02:10.500]  耶穌對他們說
[00:02:10.500 --> 00:02:12.700]  凡優妻另娶的
[00:02:12.700 --> 00:02:14.800]  就是犯奸淫
[00:02:14.800 --> 00:02:17.400]  辜負他的妻子
[00:02:17.400 --> 00:02:20.700]  妻子若離棄丈夫另嫁
[00:02:20.700 --> 00:02:23.700]  也是犯奸淫了
[00:02:23.700 --> 00:02:25.900]  弗利塞人去找耶穌
[00:02:25.900 --> 00:02:29.300]  一如以往在福音書裡提到弗利塞人的角色
[00:02:29.300 --> 00:02:31.200]  似乎不是好角色
[00:02:31.200 --> 00:02:34.700]  每次來都是向耶穌提出挑戰
[00:02:34.700 --> 00:02:36.000]  這次也不例外
[00:02:36.000 --> 00:02:37.800]  弗利塞人表面上
[00:02:37.800 --> 00:02:39.700]  好像問了一個律法的問題
[00:02:39.700 --> 00:02:44.000]  他問男人優妻合不合法
