
[00:00:00.000 --> 00:00:03.320]  今天我們繼續保羅生平的系列
[00:00:03.320 --> 00:00:08.920]  過去有兩篇信息
[00:00:08.920 --> 00:00:15.880]  我們看到保羅歸信之前是怎麼樣的
[00:00:15.880 --> 00:00:24.480]  我們也看到耶穌是怎麼奇妙的與保羅相遇
[00:00:27.960 --> 00:00:30.320]  保羅終於都認識到耶穌了
[00:00:30.320 --> 00:00:33.760]  他就悔改了
[00:00:33.760 --> 00:00:39.040]  他人生的軌跡自此之後就有所不同
[00:00:39.040 --> 00:00:44.120]  很重要的其實的確
[00:00:44.120 --> 00:00:50.320]  就是每一個生命只要他們與耶穌相遇
[00:00:50.320 --> 00:00:54.800]  他們有悔改
[00:00:54.800 --> 00:00:57.400]  其實他們的人品
[00:00:58.080 --> 00:01:00.200]  其實他的品格
[00:01:00.200 --> 00:01:01.440]  可能是人格
[00:01:01.440 --> 00:01:03.480]  或是性格
[00:01:03.480 --> 00:01:04.960]  可能是他們的人性
[00:01:04.960 --> 00:01:06.520]  或是他的人性
[00:01:06.520 --> 00:01:07.880]  都會有所改變的
[00:01:07.880 --> 00:01:09.440]  也有所改變
[00:01:09.440 --> 00:01:10.560]  但是在這一刻
[00:01:10.560 --> 00:01:12.440]  就在這一刻
[00:01:12.440 --> 00:01:17.000]  保羅的改變仍然還是在萌芽的階段
[00:01:17.000 --> 00:01:22.320]  但是保羅的改變也是還在萌芽的階段
[00:01:22.320 --> 00:01:24.800]  基督教有一個教義叫做創造論
[00:01:25.240 --> 00:01:28.080]  基督教有一個教義叫做創造論
[00:01:28.080 --> 00:01:31.520]  就是講解人我們是被神創造的
[00:01:31.520 --> 00:01:35.240]  就是人是被神所創造的
[00:01:35.240 --> 00:01:38.320]  而每一個被神創造的人都是獨特的
[00:01:38.320 --> 00:01:42.960]  而每一個被神所創造的人都是獨特的
[00:01:42.960 --> 00:01:45.640]  這個世界上在座每一位
[00:01:45.640 --> 00:01:47.920]  不會有兩個人是一模一樣
[00:01:47.920 --> 00:01:49.920]  我們在座每一位
[00:01:49.920 --> 00:01:52.000]  世界上沒有一個是一樣的
[00:01:52.000 --> 00:01:53.120]  即使是馬生
[00:01:53.120 --> 00:01:54.760]  即使是蓮生
[00:01:54.760 --> 00:01:56.280]  性格都可以不同
[00:01:56.280 --> 00:01:57.640]  性格也不一樣
[00:01:57.640 --> 00:02:00.440]  即使我們每一個人都是獨特的
