
[00:00:00.000 --> 00:00:01.160]  聽姐妹早上
[00:00:01.160 --> 00:00:02.400]  弟兄姐妹早
[00:00:02.400 --> 00:00:05.720]  我都知道有些新來的朋友
[00:00:05.720 --> 00:00:07.880]  我知道有些新來的朋友
[00:00:07.880 --> 00:00:09.960]  有些在美國來
[00:00:09.960 --> 00:00:11.320]  有些是從美國來的
[00:00:11.320 --> 00:00:12.080]  回來
[00:00:12.080 --> 00:00:15.120]  有些是從貴州來的
[00:00:15.120 --> 00:00:16.360]  廣西來的
[00:00:16.360 --> 00:00:18.400]  有些從貴州和廣西來的
[00:00:18.400 --> 00:00:20.640]  歡迎你們參加我們的崇拜
[00:00:20.640 --> 00:00:22.720]  歡迎你們參加我們的崇拜
[00:00:22.720 --> 00:00:26.720]  今天我們會看舊約的釋師記
[00:00:26.720 --> 00:00:29.040]  今天我們會看舊約的釋師記
[00:00:29.040 --> 00:00:32.840]  釋師記第四章和第五章
[00:00:32.840 --> 00:00:35.960]  同樣是講到一個釋師的故事
[00:00:35.960 --> 00:00:37.960]  釋師記的第四章和第五章
[00:00:37.960 --> 00:00:40.240]  同樣是講到一個釋師的故事
[00:00:40.240 --> 00:00:41.480]  我今天的講道
[00:00:41.480 --> 00:00:44.440]  主要就是使用第五章的
[00:00:44.440 --> 00:00:46.080]  釋歌的內容
[00:00:46.080 --> 00:00:47.080]  我今天的講道
[00:00:47.080 --> 00:00:48.880]  主要是使用第五章的
[00:00:48.880 --> 00:00:50.560]  釋歌的內容
[00:00:50.560 --> 00:00:53.080]  而有些事情的過程
[00:00:53.080 --> 00:00:54.680]  如果不清楚的話
[00:00:54.680 --> 00:00:57.560]  如果有些事情的過程不清楚的話
[00:00:57.560 --> 00:01:01.760]  我會使用第四章的敘事
[00:01:01.760 --> 00:01:04.120]  來加以補充
[00:01:04.120 --> 00:01:08.120]  我就會使用第四章的敘事來加以補充
[00:01:08.120 --> 00:01:11.720]  釋師記是有一個很明顯的特點的
[00:01:11.720 --> 00:01:13.880]  釋師記有一個很明顯的特點
[00:01:13.880 --> 00:01:17.560]  我用一個古人所做的事來加以說明
[00:01:17.560 --> 00:01:20.720]  我用一個古人所做的事來加以說明
[00:01:20.720 --> 00:01:24.520]  大家看一看這個銀幕
[00:01:24.520 --> 00:01:26.440]  大家看一看這個螢幕
[00:01:26.440 --> 00:01:33.920]  話說東晉有一個軍人叫做陶侃
[00:01:33.920 --> 00:01:38.400]  說東晉有一個軍人叫陶侃
[00:01:38.400 --> 00:01:41.400]  他在廣州做官的時候
[00:01:41.400 --> 00:01:43.440]  他在廣州做官的時候
[00:01:43.440 --> 00:01:49.840]  時時一大早就將一百塊的大磚搬到書房的外面
[00:01:49.840 --> 00:01:54.240]  常常一大早就將一百塊的大磚搬到書房的外面
[00:01:54.240 --> 00:01:58.440]  大家看到他手上就捧著那些磚
[00:01:58.440 --> 00:02:00.760]  大家看到他手上就抱著這些磚
