
[00:00:00.000 --> 00:00:02.000]  Hallelujah 讚美主
[00:00:02.000 --> 00:00:07.000]  我們一齊聽道之先有一個祈禱
[00:00:07.000 --> 00:00:11.000]  神話主我們多謝祢
[00:00:11.000 --> 00:00:15.000]  讓我們有生命氣息
[00:00:15.000 --> 00:00:16.000]  多謝祢
[00:00:16.000 --> 00:00:19.000]  讓我們能夠來到祢的殿當中
[00:00:19.000 --> 00:00:21.000]  一齊去聽祢的話語
[00:00:21.000 --> 00:00:24.000]  願親愛的聖靈
[00:00:24.000 --> 00:00:26.000]  帶領著我們以下的時間
[00:00:26.000 --> 00:00:28.000]  幫助我們明白祢的道
[00:00:28.000 --> 00:00:31.000]  幫助我們對祢有更深的認識
[00:00:31.000 --> 00:00:36.000]  讓祢在我們生命當中掌控我們
[00:00:36.000 --> 00:00:39.000]  我們祈禱奉耶穌基督得勝的名
[00:00:39.000 --> 00:00:42.000]  祈求 阿門
[00:00:42.000 --> 00:00:45.000]  弟兄姊妹
[00:00:45.000 --> 00:00:49.000]  過去三個星期我放了年假
[00:00:49.000 --> 00:00:52.000]  放三個星期很長
[00:00:52.000 --> 00:00:55.000]  因為我很久沒有放假
[00:00:55.000 --> 00:00:57.000]  三個星期我去了哪裡呢
[00:00:57.000 --> 00:01:00.000]  我去了德國 瑞士 法國
[00:01:00.000 --> 00:01:07.000]  參觀了四百五百多年前宗教改革的景點
[00:01:07.000 --> 00:01:13.000]  並且我到法國探訪不宣所差遣支持的宣教士
[00:01:13.000 --> 00:01:16.000]  在這些地方
[00:01:16.000 --> 00:01:20.000]  還記得我剛才說了哪幾個國家嗎
[00:01:20.000 --> 00:01:22.000]  真的很留心聽
[00:01:22.000 --> 00:01:24.000]  三個國家裡面
[00:01:24.000 --> 00:01:26.000]  我想問問大家猜不猜得到
[00:01:26.000 --> 00:01:30.000]  哪個國家我遇到最多黑蓋
[00:01:30.000 --> 00:01:34.000]  即是在路邊行黑的人
[00:01:34.000 --> 00:01:36.000]  可能你們都去過法國吧
[00:01:36.000 --> 00:01:41.000]  我去到法國南部一個叫吐魯茲的地方
[00:01:41.000 --> 00:01:43.000]  我很驚訝
[00:01:43.000 --> 00:01:45.000]  不單止很多黑蓋
[00:01:45.000 --> 00:01:49.000]  而且很多是青壯年的黑蓋
[00:01:49.000 --> 00:01:52.000]  為什麼會發生這些事情呢
[00:01:52.000 --> 00:01:54.000]  原來我看回數字
[00:01:54.000 --> 00:01:56.000]  在今年四月
[00:01:56.000 --> 00:01:59.000]  歐洲的失業率
[00:01:59.000 --> 00:02:04.000]  原來法國的失業率高達10%
[00:02:04.000 --> 00:02:07.000]  而德國瑞士只是3-4%
[00:02:07.000 --> 00:02:09.000]  相差很遠
[00:02:09.000 --> 00:02:14.000]  難怪法國這麼多青壯年的人失業
[00:02:14.000 --> 00:02:18.000]  這些青壯年黑蓋在法國這個地方
[00:02:18.000 --> 00:02:24.000]  他們拿著一個類似煉奶罐的小盤子
[00:02:24.000 --> 00:02:26.000]  來到我面前
[00:02:26.000 --> 00:02:28.000]  即是問我要錢
[00:02:28.000 --> 00:02:31.000]  我看到這些情景覺得很惋惜
[00:02:31.000 --> 00:02:34.000]  為什麼一個這麼青壯的年紀
[00:02:34.000 --> 00:02:37.000]  竟然走到這一步呢
[00:02:37.000 --> 00:02:40.000]  誰可以幫助到他們
[00:02:40.000 --> 00:02:45.000]  法國政府好像都不能解決到他們的失業問題
[00:02:45.000 --> 00:02:49.000]  應該可以幫到這些有需要的人
[00:02:49.000 --> 00:02:52.000]  其實黑蓋在歷史裏面
[00:02:52.000 --> 00:02:54.000]  很早已經有
[00:02:54.000 --> 00:02:58.000]  不早一點就很難考究
[00:02:58.000 --> 00:03:01.000]  但如果看我們這本聖經
[00:03:01.000 --> 00:03:04.000]  這本聖經的來源都很早
[00:03:04.000 --> 00:03:06.000]  當我們看聖經的時候
[00:03:06.000 --> 00:03:10.000]  都發現原來新約都已經有黑蓋
[00:03:10.000 --> 00:03:15.000]  這段經文正正就是講這一類的人
[00:03:15.000 --> 00:03:17.000]  我們打開聖經
[00:03:17.000 --> 00:03:25.000]  打開剛才讀的《馬學福音》第十章46-52節
[00:03:25.000 --> 00:03:34.000]  46-52節1525頁
[00:03:34.000 --> 00:03:37.000]  1525頁
[00:03:37.000 --> 00:03:39.000]  我們看這段經文的時候
[00:03:39.000 --> 00:03:41.000]  我們都嘗試去想一下
[00:03:41.000 --> 00:03:43.000]  經文有什麼特別的地方呢
[00:03:43.000 --> 00:03:46.000]  照字面看都好像很明白
[00:03:46.000 --> 00:03:51.000]  我們留意一下下文第十一章的標題
[00:03:51.000 --> 00:03:54.000]  我們先看看標題說什麼
[00:03:54.000 --> 00:04:02.000]  它說是騎驢進入耶路撒冷
[00:04:02.000 --> 00:04:05.000]  誰是騎驢進入耶路撒冷
[00:04:05.000 --> 00:04:06.000]  耶穌
[00:04:06.000 --> 00:04:11.000]  原來下文說到耶穌進入耶路撒冷
[00:04:11.000 --> 00:04:14.000]  是祂在地上的最後一個階段
[00:04:14.000 --> 00:04:18.000]  即是上十字架之前的最後一個歷程
[00:04:18.000 --> 00:04:23.000]  即是說原來我們讀的這段經文
[00:04:23.000 --> 00:04:28.000]  就是耶穌上十字架之前的最後一個神蹟
[00:04:28.000 --> 00:04:32.000]  這樣說你就會覺得原來都很重要
[00:04:32.000 --> 00:04:34.000]  我們一定要認識一下
[00:04:34.000 --> 00:04:37.000]  這個最後一個神蹟有什麼特別的地方
[00:04:37.000 --> 00:04:39.000]  通常做最後一件事
[00:04:39.000 --> 00:04:42.000]  遺言、遺訓等等
[00:04:42.000 --> 00:04:46.000]  最後一件事都是很有意思的
[00:04:46.000 --> 00:04:48.000]  這個很有意思的事蹟
[00:04:48.000 --> 00:04:50.000]  又對我們每一個在座的生命
[00:04:50.000 --> 00:04:52.000]  又有什麼意義呢
[00:04:52.000 --> 00:04:56.000]  我們就看一看46節
[00:04:56.000 --> 00:04:58.000]  再留意一下有什麼特別的地方
[00:04:58.000 --> 00:05:01.000]  46節我們一起讀好不好
[00:05:01.000 --> 00:05:04.000]  他們進了耶路撒冷
[00:05:04.000 --> 00:05:08.000]  耶穌滿途和一大群人
[00:05:08.000 --> 00:05:11.000]  從耶利哥出來的時候
[00:05:11.000 --> 00:05:13.000]  有一個黑眼的人
[00:05:13.000 --> 00:05:17.000]  是底買的而名叫巴底買
[00:05:17.000 --> 00:05:20.000]  坐在路旁討伐
[00:05:20.000 --> 00:05:23.000]  都已經交代了這個人物
[00:05:23.000 --> 00:05:26.000]  這個人物是一個黑眼的黑蓋
[00:05:26.000 --> 00:05:28.000]  他在什麼地方
[00:05:28.000 --> 00:05:34.000]  他就在從耶利哥出來那個位置行乞
[00:05:34.000 --> 00:05:39.000]  原來這個地方是很多人經過的
