
[00:00:00.000 --> 00:00:02.220]  大兄姊妹們 吃過早餐了嗎?
[00:00:02.220 --> 00:00:07.280]  今天寧可收到聖經了嗎?
[00:00:07.280 --> 00:00:09.120]  寧可收到聖經了嗎?
[00:00:09.120 --> 00:00:15.720]  今天我們落響聖言是讀哪本書呢?
[00:00:15.720 --> 00:00:16.420]  記不記得?
[00:00:16.420 --> 00:00:18.300]  《阿彌陀佛》 沒錯
[00:00:18.300 --> 00:00:19.100]  第幾章?
[00:00:19.100 --> 00:00:20.640]  20章
[00:00:20.640 --> 00:00:24.400]  我們一起繼續努力去讀
[00:00:24.400 --> 00:00:27.500]  2018年開始了
[00:00:27.500 --> 00:00:30.140]  我們在路途上
[00:00:30.140 --> 00:00:33.260]  我們是在路途上
[00:00:33.260 --> 00:00:35.480]  On the way 的教會
[00:00:35.480 --> 00:00:37.800]  我們要靈性根深
[00:00:37.800 --> 00:00:39.340]  要有美好的見證
[00:00:39.340 --> 00:00:40.660]  作炎作光
[00:00:40.660 --> 00:00:44.500]  我們求神開我們的眼睛
[00:00:44.500 --> 00:00:48.500]  讓我們看見我們所相信的耶穌是基督
[00:00:48.500 --> 00:00:50.340]  是救贖主
[00:00:50.340 --> 00:00:53.300]  讓我們看見這位救贖主
[00:00:53.300 --> 00:00:55.940]  祂也是一位受苦的基督
[00:00:56.440 --> 00:00:58.760]  祂被釘在十字架上
[00:00:58.760 --> 00:01:01.760]  為我們的生命擺了出來
[00:01:01.760 --> 00:01:04.900]  除此之外我們求神
[00:01:04.900 --> 00:01:06.700]  讓我們看見
[00:01:06.700 --> 00:01:08.400]  開我們的眼睛看見
[00:01:08.400 --> 00:01:11.700]  祂呼喚我們要成為門徒
[00:01:11.700 --> 00:01:14.400]  成為門徒是什麼意思呢?
[00:01:14.400 --> 00:01:18.200]  成為門徒就是要寫忌
[00:01:18.200 --> 00:01:22.000]  要背起十字架來跟隨祂
[00:01:22.000 --> 00:01:24.500]  讓我們同心禱告
[00:01:26.600 --> 00:01:27.600]  親愛的神
[00:01:27.600 --> 00:01:29.500]  我們愛祢
[00:01:29.500 --> 00:01:31.000]  我們要聽祢的話
[00:01:31.000 --> 00:01:33.300]  我們眾弟兄姊妹
[00:01:33.300 --> 00:01:35.100]  我們這群百姓
[00:01:35.100 --> 00:01:36.900]  我們會聚
[00:01:36.900 --> 00:01:38.700]  成為祢的教會
[00:01:38.700 --> 00:01:40.500]  我們要聽祢的話
[00:01:40.500 --> 00:01:43.600]  求祢讓我們能夠明白祢的話
[00:01:43.600 --> 00:01:45.400]  明白之後
[00:01:45.400 --> 00:01:47.200]  我們就歡喜
[00:01:47.200 --> 00:01:49.500]  主啊,我們願望祢
[00:01:49.500 --> 00:01:51.400]  我們這樣的禱告
[00:01:51.400 --> 00:01:54.000]  是奉主耶穌基督的名字
[00:01:54.000 --> 00:01:55.000]  阿們
[00:01:56.500 --> 00:01:58.100]  在今年的開始
[00:01:58.100 --> 00:02:00.600]  我們開展
[00:02:00.600 --> 00:02:04.900]  我們說我們是一個福音的運動
[00:02:04.900 --> 00:02:06.900]  我們on the way
[00:02:06.900 --> 00:02:08.400]  我們在路途上
[00:02:08.400 --> 00:02:12.500]  我們跟著前面走的耶穌基督
[00:02:12.500 --> 00:02:17.100]  我們再不想繞圈而行
[00:02:17.100 --> 00:02:22.300]  我們要忘記過往我們的爭吵
[00:02:22.300 --> 00:02:25.100]  我們熱衷於傳福音
[00:02:26.100 --> 00:02:28.100]  在思想宣教的策略
[00:02:28.100 --> 00:02:30.300]  我們要敬錢愛主
