
[00:00:00.000 --> 00:00:04.200]  有一次有兩個年輕人在談話
[00:00:04.200 --> 00:00:06.200]  有一個說
[00:00:06.200 --> 00:00:09.040]  我很討厭去婚禮
[00:00:09.040 --> 00:00:11.700]  因為去婚禮那些三姑六婆來問我
[00:00:11.700 --> 00:00:14.600]  下個不是到你了嗎?何時到你了?
[00:00:14.600 --> 00:00:18.200]  其中一個年輕人對另一個說
[00:00:18.200 --> 00:00:20.300]  我教你一招絕招
[00:00:20.300 --> 00:00:21.400]  很簡單
[00:00:21.400 --> 00:00:24.300]  奇人不知道,還知奇人不知身
[00:00:24.300 --> 00:00:26.300]  另一個聽了之後說
[00:00:26.300 --> 00:00:30.300]  你的意思是下次婚禮的時候跟他們說
[00:00:30.300 --> 00:00:31.800]  下個到你了?
[00:00:31.800 --> 00:00:34.300]  不是在婚禮,是在葬禮
[00:00:34.300 --> 00:00:39.300]  好像一個笑話
[00:00:39.300 --> 00:00:41.300]  雖然是一個笑話
[00:00:41.300 --> 00:00:44.300]  但這個笑話告訴我們一個人生的事實
[00:00:44.300 --> 00:00:46.300]  人生的事實就是
[00:00:46.300 --> 00:00:49.300]  無論我們喜歡與否
[00:00:49.300 --> 00:00:52.300]  死亡是一個人生的事實
[00:00:52.300 --> 00:00:55.800]  下一個葬禮真的有可能輪到我們
[00:00:55.800 --> 00:00:58.800]  因為這個總是有一個可能性
[00:00:58.800 --> 00:01:02.300]  死亡是無聲無色
[00:01:02.300 --> 00:01:05.800]  毫無先兆地輪到我們每一個人
[00:01:05.800 --> 00:01:07.800]  總是有這樣的可能性
[00:01:07.800 --> 00:01:11.300]  在剛才聖經所讀的故事
[00:01:11.300 --> 00:01:15.800]  耶穌說應該去探望
[00:01:15.800 --> 00:01:20.800]  甚至是醫治病重的拉撒路
[00:01:20.800 --> 00:01:23.800]  但是當耶穌去到的時候
[00:01:23.800 --> 00:01:26.800]  拉撒路已經在墳墓裡
[00:01:26.800 --> 00:01:30.800]  原本是想探望拉撒路
[00:01:30.800 --> 00:01:34.800]  誰知成為出席拉撒路的葬禮
[00:01:34.800 --> 00:01:36.800]  而這兩個姐妹
[00:01:36.800 --> 00:01:38.800]  瑪大和瑪利亞
[00:01:38.800 --> 00:01:41.800]  不約而同地跟主耶穌說
[00:01:41.800 --> 00:01:44.800]  主啊,如果祢早在的時候
[00:01:44.800 --> 00:01:47.800]  我的兄弟必定不死
[00:01:47.800 --> 00:01:49.800]  我們很難斷定這兩個姐妹
[00:01:49.800 --> 00:01:51.800]  他們這樣說的時候
[00:01:51.800 --> 00:01:55.800]  是否在肯定主耶穌能夠醫病的能力
[00:01:55.800 --> 00:01:58.800]  抑或是有一點帶著埋怨、投訴
[00:01:58.800 --> 00:02:00.800]  你早來就沒事了
[00:02:00.800 --> 00:02:07.800]  但是根據作者約翰的描述
[00:02:07.800 --> 00:02:13.800]  似乎主耶穌是有心遲到
[00:02:13.800 --> 00:02:15.800]  有心遲到的
[00:02:15.800 --> 00:02:20.800]  我們看看約翰如何講述這個故事
[00:02:21.800 --> 00:02:26.800]  當主耶穌知道拉撒路病患的消息的時候
[00:02:26.800 --> 00:02:27.800]  大家留意第六節
[00:02:27.800 --> 00:02:29.800]  聖經告訴我們
[00:02:29.800 --> 00:02:34.800]  主耶穌仍然逗留在祂所在的地方
[00:02:34.800 --> 00:02:35.800]  多留幾天?
[00:02:35.800 --> 00:02:37.800]  多留兩天
[00:02:37.800 --> 00:02:38.800]  也沒有給什麼原因
[00:02:38.800 --> 00:02:41.800]  為什麼祂需要在那裡多留兩天
[00:02:41.800 --> 00:02:42.800]  我想大家想想
