
[00:00:00.000 --> 00:00:03.840]  好 各位親愛的弟兄姊妹 主日平安
[00:00:03.840 --> 00:00:10.520]  從這一次開始 我想跟大家分享一卷新約的書卷 雅各書
[00:00:10.520 --> 00:00:16.120]  雅各書是一部深受華人信徒非常喜愛的書卷
[00:00:16.120 --> 00:00:20.320]  因爲它強調基督徒的生活實踐
[00:00:20.320 --> 00:00:27.320]  這與注重修身齊家 待人接物的中國文化非常有相合之處
[00:00:27.320 --> 00:00:29.240]  也正是因爲如此
[00:00:29.240 --> 00:00:31.640]  這卷書它的正典的地位
[00:00:31.640 --> 00:00:37.160]  曾經被關注贖罪稱義的馬丁路德質疑過
[00:00:37.160 --> 00:00:41.240]  並貶爲這卷書是草木和節的書信
[00:00:41.240 --> 00:00:43.040]  以至於後世的聖經學者
[00:00:43.040 --> 00:00:47.120]  很多都是透過保羅去理解雅各
[00:00:47.120 --> 00:00:51.200]  因爲他們的前攝是雅各書
[00:00:51.200 --> 00:00:57.080]  未必是 必定是針對保羅的觀點而寫的
[00:00:57.760 --> 00:01:05.320]  近來由於發現雅各書的大約寫於公元46到51年
[00:01:05.320 --> 00:01:11.080]  雖然不確定是否一定早於保羅的貼薩羅尼加前書
[00:01:11.080 --> 00:01:13.760]  這是50年到51年寫成的
[00:01:13.760 --> 00:01:16.600]  但極有可能的是早於加拉太書
[00:01:16.600 --> 00:01:20.800]  就是公元52年到54年寫成的
[00:01:20.800 --> 00:01:22.280]  那麼如果真是如此的話
[00:01:22.280 --> 00:01:28.120]  這樣雅各書就有可能成爲新約當中比較早期的書卷之一
[00:01:28.120 --> 00:01:33.000]  於是大家讀這個雅各書的視角呢
[00:01:33.000 --> 00:01:36.160]  就發生了一些關鍵性的轉變
[00:01:36.160 --> 00:01:37.640]  就是意識到呢
[00:01:37.640 --> 00:01:41.960]  不應該是透過保羅去看雅各
[00:01:41.960 --> 00:01:47.000]  而是要從雅各書本身自己去了解它的信息
[00:01:47.000 --> 00:01:47.640]  那今天呢
[00:01:47.640 --> 00:01:50.160]  我們第一次來分享雅各書呢
[00:01:50.160 --> 00:01:54.800]  我想分享第一章的第一到第十一節
[00:01:54.800 --> 00:01:57.080]  請各位弟兄姊妹的聽我把它讀出來
[00:01:57.080 --> 00:02:01.800]  作神和主耶穌基督僕人的雅各
[00:02:01.800 --> 00:02:05.080]  請散注十二個支派之人的安
[00:02:05.080 --> 00:02:07.760]  我的弟兄們
[00:02:07.760 --> 00:02:12.600]  你們落在百般的試煉中都要以爲大喜樂
[00:02:12.600 --> 00:02:17.320]  因爲知道你們的信心經過試驗就生忍耐
[00:02:17.320 --> 00:02:19.200]  但忍耐也當成功
[00:02:19.200 --> 00:02:21.680]  使你們成全完備
[00:02:21.680 --> 00:02:22.600]  毫無缺陷
[00:02:22.600 --> 00:02:26.480]  你們中間若有缺少智慧的
[00:02:26.480 --> 00:02:30.760]  應當求那厚賜予人也不斥責人的神
[00:02:30.760 --> 00:02:33.120]  主就必賜給他
[00:02:33.120 --> 00:02:37.040]  只要憑信心求一點不疑惑
[00:02:37.040 --> 00:02:42.240]  因爲那疑惑的人就像海中的波浪被風吹動翻騰
