
[00:00:00.000 --> 00:00:01.520]  荷福堂大英主媒平安
[00:00:01.520 --> 00:00:07.420]  好,大家都平安度過風暴
[00:00:07.420 --> 00:00:09.980]  現在我們可以一齊來敬拜神
[00:00:09.980 --> 00:00:14.080]  無論在實體的或者在家中網上的大英主媒
[00:00:14.080 --> 00:00:18.680]  願願我們今天在神的說話裏面都得到祝福
[00:00:18.680 --> 00:00:19.960]  得到鼓勵
[00:00:19.960 --> 00:00:22.020]  剛才
[00:00:22.020 --> 00:00:24.320]  主席跟我們讀過經文
[00:00:24.320 --> 00:00:26.120]  關愛角度的同路人
[00:00:26.880 --> 00:00:29.960]  好多謝大家在過去的日子不單止是
[00:00:29.960 --> 00:00:33.280]  我在泰國的時候或者回到香港的差會裏面
[00:00:33.280 --> 00:00:37.120]  不斷關愛支持
[00:00:37.120 --> 00:00:38.660]  亦一齊同行
[00:00:38.660 --> 00:00:39.940]  而且今天
[00:00:39.940 --> 00:00:45.560]  我女兒在工場的時候大家都繼續支持她在聖經翻譯的工作
[00:00:45.560 --> 00:00:46.600]  所以很感恩
[00:00:46.600 --> 00:00:50.440]  亦代表寶蘭文化中心向各位民安
[00:00:50.440 --> 00:00:52.220]  寶蘭文化中心亦是
[00:00:52.480 --> 00:00:58.120]  與一班宣教的同路人一齊同行關愛他們為他們禱告
[00:00:58.120 --> 00:01:01.440]  所以今天藉著菲律賓書二章
[00:01:01.440 --> 00:01:05.020]  寶羅、提摩泰和二八佛提
[00:01:05.020 --> 00:01:06.300]  這三位同工
[00:01:06.300 --> 00:01:08.360]  他們的生命是怎樣的呢
[00:01:08.360 --> 00:01:10.140]  怎樣能夠讓
[00:01:10.140 --> 00:01:12.200]  神的光在他們生命裏面
[00:01:12.200 --> 00:01:13.480]  彰顯出來
[00:01:13.480 --> 00:01:15.520]  神的話語
[00:01:15.520 --> 00:01:16.540]  都鼓勵我們
[00:01:16.540 --> 00:01:17.820]  我們一齊同心祈禱
[00:01:17.820 --> 00:01:20.640]  主耶穌基督我們要感恩
[00:01:21.400 --> 00:01:22.680]  因為有你的同在
[00:01:22.680 --> 00:01:24.740]  今天我們可以坐在你的面前
[00:01:24.740 --> 00:01:26.260]  去敬拜你
[00:01:26.260 --> 00:01:28.580]  願神你的話語今天打開我們的心
[00:01:28.580 --> 00:01:30.100]  光照我們
[00:01:30.100 --> 00:01:31.900]  讓我們明白主的心意
[00:01:31.900 --> 00:01:35.740]  並且繼續的與關愛的使者同行
[00:01:35.740 --> 00:01:38.040]  不單止成為他們的祝福
[00:01:38.040 --> 00:01:39.840]  也成為我們自己的祝福
[00:01:39.840 --> 00:01:40.860]  因為神
[00:01:40.860 --> 00:01:42.140]  你要透過我們
[00:01:42.140 --> 00:01:44.960]  將福音傳到地極
[00:01:44.960 --> 00:01:47.000]  使萬民作你的門徒
[00:01:47.000 --> 00:01:48.540]  我們多謝讚美你
[00:01:48.800 --> 00:01:51.620]  祈禱奉耶穌基督的名下
[00:01:51.620 --> 00:01:56.740]  經文就已經讀過一次
[00:01:56.740 --> 00:02:00.580]  相信大家對菲律賓書並不陌生
[00:02:00.580 --> 00:02:02.380]  但是傳道書裏面
[00:02:02.380 --> 00:02:04.420]  曾經說過
[00:02:04.420 --> 00:02:07.740]  在四章裏面說兩個人總比一個人好
[00:02:07.740 --> 00:02:09.280]  因為二人勞碌
[00:02:09.280 --> 00:02:11.320]  可得美好的仇報
[00:02:11.320 --> 00:02:14.920]  若是跌倒一人可以扶起他的同伴
[00:02:14.920 --> 00:02:16.460]  三股合成的
