
[00:00:00.000 --> 00:00:03.520]  平安,我們先一起祈禱
[00:00:03.520 --> 00:00:10.000]  主耶穌基督的恩典讓我們在主日的清晨
[00:00:10.000 --> 00:00:13.000]  一起來聚集敬拜主
[00:00:13.000 --> 00:00:16.400]  我們求聖靈在我們中間幫助我們
[00:00:16.400 --> 00:00:19.000]  讓我們明白我們的信仰
[00:00:19.000 --> 00:00:22.400]  明白我們的主基督耶穌是至尊的
[00:00:22.400 --> 00:00:26.400]  奉耶穌基督的名祈禱,阿們
[00:00:29.400 --> 00:00:34.400]  由今個星期開始,我們開始看一卷新約的書卷
[00:00:34.400 --> 00:00:40.400]  是保羅寫給位於哥羅西的教會
[00:00:40.400 --> 00:00:45.400]  我知道很多信徒都很尊重聖經
[00:00:45.400 --> 00:00:49.400]  相信聖經也是上帝的默示
[00:00:49.400 --> 00:00:51.400]  這件是好事
[00:00:51.400 --> 00:00:53.400]  不過我們也應該知道
[00:00:53.400 --> 00:00:59.400]  聖經的默示不像我們在學校裡默書
[00:00:59.400 --> 00:01:02.400]  把書讀出來
[00:01:02.400 --> 00:01:06.400]  也不像上司和秘書
[00:01:06.400 --> 00:01:14.400]  上司一面讀,秘書一面把上司說的話寫下來
[00:01:14.400 --> 00:01:18.400]  默示其實是由上帝
[00:01:18.400 --> 00:01:23.400]  把上帝的靈,把一些意念
[00:01:23.400 --> 00:01:26.400]  放在人的心靈當中
[00:01:26.400 --> 00:01:32.400]  而執筆的人就可以按著他的寫作技巧
[00:01:32.400 --> 00:01:37.400]  把上帝的信息寫下來
[00:01:37.400 --> 00:01:43.400]  因此聖經裡面有很多不同的文學的題材
[00:01:43.400 --> 00:01:49.400]  包括敘事、詩歌、比喻、戲劇、書信
[00:01:49.400 --> 00:01:52.400]  甚至有一種叫天啟文學
[00:01:52.400 --> 00:01:57.400]  今天的哥羅西書是屬於書信
[00:01:57.400 --> 00:02:01.400]  是保羅寫給哥羅西教會的
[00:02:01.400 --> 00:02:06.400]  既然是書信,就一定有當時的背景
[00:02:06.400 --> 00:02:10.400]  導致保羅要寫這一封信
[00:02:10.400 --> 00:02:14.400]  明白當時的背景
[00:02:14.400 --> 00:02:19.400]  對我們了解這封書信裡面所討論的事
[00:02:19.400 --> 00:02:22.400]  是會有很大的幫助
[00:02:22.400 --> 00:02:27.400]  所以讓我先介紹一下這封信的背景
[00:02:27.400 --> 00:02:32.400]  我想從我們教堂用的這本聖經
[00:02:32.400 --> 00:02:35.400]  現代中文譯本
[00:02:35.400 --> 00:02:39.400]  來讀出兩段這封信的簡介
[00:02:39.400 --> 00:02:44.400]  有些弟兄姊妹已經買了這本聖經
