
[00:00:00.000 --> 00:00:03.160]  弟兄姊妹平安,又來讀聖經,眨眼就到了
[00:00:03.160 --> 00:00:05.320]  生命樹跟大家看聖經人、聖經事
[00:00:05.320 --> 00:00:07.680]  今次來到以色列會有王
[00:00:07.680 --> 00:00:09.880]  任意而行的第七集
[00:00:09.880 --> 00:00:11.560]  哇,最後那五章
[00:00:11.560 --> 00:00:13.440]  說了很多很難聽的事
[00:00:13.440 --> 00:00:17.080]  但是慢慢分開看也不短的,每一次都
[00:00:17.080 --> 00:00:18.400]  來到第七集
[00:00:18.400 --> 00:00:21.880]  變亞敏人終於是戰敗的
[00:00:21.880 --> 00:00:24.320]  而以色列人也要力勝
[00:00:24.320 --> 00:00:27.240]  不是輕勝,是力勝
[00:00:27.240 --> 00:00:29.960]  其實應該也可以說慘勝
[00:00:29.960 --> 00:00:31.960]  不過以色列人是用他們的力
[00:00:31.960 --> 00:00:34.040]  來贏了變亞敏人
[00:00:34.040 --> 00:00:36.520]  變亞敏人最終是戰敗
[00:00:36.520 --> 00:00:39.600]  時詩的二十章十八節三十五戰
[00:00:39.600 --> 00:00:42.160]  就看到變亞敏人戰敗
[00:00:42.160 --> 00:00:44.560]  唉,這口氣也順了點
[00:00:44.560 --> 00:00:47.400]  不過以色列眾人也很出力,不過也很慘
[00:00:47.400 --> 00:00:50.800]  好,時詩的二十章十八節
[00:00:50.800 --> 00:00:53.440]  承傳沉默,以色列人就起來
[00:00:53.440 --> 00:00:55.040]  到伯特利去了
[00:00:55.040 --> 00:00:56.680]  去伯特利做什麼呢?
[00:00:56.680 --> 00:00:59.120]  留意一下,很多次,雖然很多次
[00:00:59.120 --> 00:01:02.880]  我們有件事要處理,又是我們弟兄的事
[00:01:02.880 --> 00:01:06.640]  自己同宗同族怎麼處理呢?
[00:01:06.640 --> 00:01:09.040]  同教會等等各樣,同一班人
[00:01:09.040 --> 00:01:12.240]  怎麼處理呀?是我們當中一群來的
[00:01:12.240 --> 00:01:16.600]  他們做的就是起來,然後去求問上帝
[00:01:16.600 --> 00:01:21.160]  起來到伯特利去,求問上帝
[00:01:21.160 --> 00:01:24.000]  為什麼要去伯特利呢?
[00:01:24.000 --> 00:01:26.920]  其實不知道,沒有說
[00:01:26.920 --> 00:01:29.240]  不過伯特利一直都是
[00:01:29.240 --> 00:01:33.840]  大家記得最出色的事,或者最凸顯的事
[00:01:33.840 --> 00:01:38.040]  就是瓦國當日逃離他家
[00:01:38.040 --> 00:01:42.120]  離開可能會被以素他哥哥殺他
[00:01:42.120 --> 00:01:44.760]  他逃走著草
[00:01:44.760 --> 00:01:47.440]  去到伯特利,浸了一塊石,睡了
[00:01:47.440 --> 00:01:50.600]  有一個夢,哇,有一條梯
[00:01:50.600 --> 00:01:52.760]  上通天地
[00:01:52.760 --> 00:01:55.240]  神的使者上去下來
[00:01:55.240 --> 00:01:57.720]  神在上面,他一醒來就說
[00:01:57.720 --> 00:02:01.800]  哇,這是天之門
[00:02:01.800 --> 00:02:04.280]  在這裡天使上去下來
[00:02:04.280 --> 00:02:06.680]  他在那裡紀念
[00:02:06.680 --> 00:02:08.760]  塗些油在石上
[00:02:08.760 --> 00:02:11.600]  這裡真是天之門
[00:02:11.600 --> 00:02:15.960]  伯特利去一個求問的地方
[00:02:15.960 --> 00:02:21.800]  求問上帝,我們中間誰當首先上去與變眼敏人爭戰呢?
[00:02:21.800 --> 00:02:28.320]  問上帝,去到一個很重要的信仰聖地
[00:02:28.320 --> 00:02:29.720]  伯特利問神
[00:02:29.720 --> 00:02:34.800]  記得有事情要求問上帝
[00:02:34.800 --> 00:02:40.120]  上帝回答他,「猶大當先上去」
[00:02:40.120 --> 00:02:43.600]  為什麼猶大神會回答猶大呢?合理
[00:02:43.600 --> 00:02:50.600]  因為那個受害者是猶大支派住在裡面的利美人
[00:02:50.600 --> 00:02:55.160]  所以我這一家當然要先出手,先保護自己人
[00:02:55.160 --> 00:02:58.880]  「而不容辭,猶大當先上去」
[00:02:58.880 --> 00:03:03.480]  以色列人早晨起來就到了,對著基比亞安營
[00:03:03.480 --> 00:03:06.600]  以色列人出來就與變眼敏人打仗
[00:03:06.600 --> 00:03:09.800]  在基比亞前擺陣
[00:03:09.800 --> 00:03:13.120]  誰知第一仗
[00:03:13.120 --> 00:03:18.280]  第一天,變眼敏人從基比亞這個城出來
[00:03:18.280 --> 00:03:21.840]  當天就殺死了以色列大軍
[00:03:21.840 --> 00:03:24.880]  兩萬二千人
[00:03:24.880 --> 00:03:28.080]  四十萬人圍著,死了兩萬二千人
[00:03:28.080 --> 00:03:32.280]  第一天,嘩!厲害嗎?一天死兩萬二千人
[00:03:32.280 --> 00:03:34.480]  今天的戰爭也死不了這麼多人
[00:03:34.480 --> 00:03:37.880]  一個彈扔過去,也死不了這麼多人
[00:03:37.880 --> 00:03:39.880]  在屍殺裡面
[00:03:39.880 --> 00:03:44.280]  兩萬多的變眼敏軍隊出來
[00:03:44.280 --> 00:03:46.880]  與四十萬人打仗
[00:03:46.880 --> 00:03:50.760]  誰知兩萬多人出來就殺了兩萬多人
[00:03:50.760 --> 00:03:54.080]  嘩!應該說是大敗
[00:03:54.080 --> 00:03:58.880]  誰知以色列人彼此奮勇
[00:03:58.880 --> 00:04:03.280]  仍在頭一天擺陣的地方又擺陣
[00:04:03.280 --> 00:04:05.480]  第一點留意
[00:04:05.480 --> 00:04:08.680]  彼此奮勇,又擺陣
[00:04:08.680 --> 00:04:11.080]  這是否一次性贏?
[00:04:11.080 --> 00:04:15.480]  四十萬人,有時四十萬人很難調動
[00:04:15.480 --> 00:04:17.680]  又沒有WhatsApp,又沒有電話
[00:04:17.680 --> 00:04:22.080]  又沒有衛星電話,沒有通訊
[00:04:22.080 --> 00:04:25.280]  人家小小的一攻你
[00:04:25.280 --> 00:04:27.680]  你就有個弱點讓他攻進來
[00:04:27.680 --> 00:04:29.880]  你真的死幾萬人,不出奇
[00:04:29.880 --> 00:04:31.280]  他一個人出來殺一個人
[00:04:31.280 --> 00:04:32.880]  不就已經二萬多了
[00:04:32.880 --> 00:04:35.880]  他有二萬六千七百
[00:04:35.880 --> 00:04:37.480]  出來一人殺到一個
[00:04:37.480 --> 00:04:39.280]  就已經死了二萬多人
[00:04:39.280 --> 00:04:41.480]  在你的弱點攻進來
[00:04:41.480 --> 00:04:44.280]  其他人支援不住,就死了
[00:04:44.280 --> 00:04:46.880]  很慘,不過,再接了一例
[00:04:46.880 --> 00:04:49.680]  慘了,又擺陣
[00:04:49.680 --> 00:04:52.880]  彼此奮勇,不要緊,再來
[00:04:52.880 --> 00:04:55.680]  未擺陣以色列人上去
[00:04:55.680 --> 00:04:57.880]  在耶和華面前哭號
[00:04:57.880 --> 00:05:01.480]  他們又去在神面前禱告
[00:05:01.480 --> 00:05:06.280]  真的很慘,我們死了二萬二千人
[00:05:06.280 --> 00:05:08.680]  直到晚上,扣什麼?
[00:05:08.680 --> 00:05:10.880]  第二,再扣什麼?
[00:05:10.880 --> 00:05:14.480]  當出戰要打仗,最緊要是求什麼?
[00:05:14.480 --> 00:05:16.680]  我們再去與我們的弟兄
[00:05:16.680 --> 00:05:19.480]  變眼敏人打仗,可不可以?
[00:05:19.480 --> 00:05:23.280]  他們說可以,你們上去攻擊他
[00:05:23.280 --> 00:05:25.680]  都是我的心意,求什麼?
[00:05:25.680 --> 00:05:28.080]  好,第二日以色列人就上去
[00:05:28.080 --> 00:05:30.080]  攻擊變眼敏人
[00:05:30.080 --> 00:05:32.880]  誰知變眼敏人也在這日
[00:05:32.880 --> 00:05:34.280]  從基比亞出來
