
[00:00:00.000 --> 00:00:04.860]  我讀一段聖經在路加福音第四章第一到第十四節
[00:00:04.860 --> 00:00:09.300]  這裡說 耶穌被聖靈充滿 從約旦河回來
[00:00:09.300 --> 00:00:13.700]  聖靈將祂引到曠野 四十天受魔鬼的試探
[00:00:13.700 --> 00:00:17.600]  那些日子沒有吃什麼 日子滿了 祂就餓了
[00:00:17.600 --> 00:00:22.440]  魔鬼對祂說 祢若是神的兒子 可以吩咐這塊石頭變成食物
[00:00:22.440 --> 00:00:24.600]  耶穌回答說 經上記者說
[00:00:24.600 --> 00:00:29.600]  人活著不是單靠食物 乃是靠神口裡所出的一切話
[00:00:29.600 --> 00:00:34.900]  魔鬼又領祂上了高山 剎世間把天下的萬國都指給祂看
[00:00:34.900 --> 00:00:38.200]  對祂說 這一切權柄榮華我都要給祢
[00:00:38.200 --> 00:00:42.400]  因為這源是交付我的 我願意給誰就給誰
[00:00:42.400 --> 00:00:45.500]  祢若在我面前下拜 這都要歸祢
[00:00:45.500 --> 00:00:51.000]  耶穌說 經上記者說 當拜祖 祢的神 單要侍奉祂
[00:00:51.000 --> 00:00:54.700]  魔鬼又領祂到耶路撒冷去 叫祂站在墊頂上
[00:00:54.700 --> 00:00:58.500]  對祂說 祢若是神的兒子 可以從這裡跳下去
[00:00:58.500 --> 00:01:02.700]  因為經上記者說 主要為祢吩咐祂的食者保護祢
[00:01:02.700 --> 00:01:07.300]  祂會用手托住祢 免得祢的腳碰到石頭上
[00:01:07.300 --> 00:01:11.100]  耶穌對祂說 經上說 不可試探祖祢的神
[00:01:11.100 --> 00:01:15.300]  魔鬼用完了各樣的試探 就暫時離開耶穌
[00:01:15.300 --> 00:01:21.800]  耶穌滿有聖靈的能力 回到伽利利 祂的名聲就傳遍了四方
[00:01:21.800 --> 00:01:24.000]  我們就讀到這裡
[00:01:24.000 --> 00:01:30.900]  昨天是全福會七十週年的慶祝 在南加州舉行
[00:01:30.900 --> 00:01:36.900]  我們教會有不少的弟兄前往參加這樣一個特會
[00:01:36.900 --> 00:01:40.900]  全福會是底摩斯弟兄所創辦
[00:01:40.900 --> 00:01:44.300]  當時神給他一個非常清楚的意象
[00:01:44.300 --> 00:01:48.200]  就是向男人傳福音 而且讓他們被聖靈充滿
[00:01:48.200 --> 00:01:54.300]  當初他們開始第一次聚會的時候 其實只有十八個人
[00:01:54.300 --> 00:01:58.200]  當時他們請歐羅·羅伯穆斯來做講員
[00:01:58.200 --> 00:02:07.300]  可是現在他們已經發展到在全世界有一百七十五個國家的分會的一個全球性的組織
[00:02:07.300 --> 00:02:10.300]  我們看見神在過去七十年裡面
[00:02:10.300 --> 00:02:20.200]  怎麼樣在當時一個屬靈乾旱的一個世代 興起了這一支平信徒的弟兄大軍
[00:02:20.200 --> 00:02:25.400]  就帶來一個翻轉的動力 帶來復興的作為
[00:02:25.400 --> 00:02:29.800]  當我們回頭看全福會這七十年神所做的工作
[00:02:29.800 --> 00:02:34.300]  我們真的不能不向神獻上感謝與讚美
[00:02:34.300 --> 00:02:38.900]  特別是今天我們也是面對一個危機的世代不是嗎
[00:02:38.900 --> 00:02:46.400]  不但我們外面有疫情的危機 有戰爭的危機 有經濟的危機
[00:02:46.400 --> 00:02:52.300]  我們看見在裡面 也看見很多信徒我們軟弱無力
[00:02:52.300 --> 00:02:55.500]  很多時候教會也是不冷不熱
[00:02:55.500 --> 00:02:59.700]  我們的心何等渴望在這樣一個世代
[00:02:59.700 --> 00:03:04.800]  神能夠重新恢復他復興的作為在我們中間
[00:03:04.800 --> 00:03:12.700]  我們何等的渴望能夠在這樣一個世代能夠活出一個蠻有聖靈能力的生活來
[00:03:12.700 --> 00:03:17.400]  在四福音當中我們看見耶穌基督的生活跟侍奉
[00:03:17.400 --> 00:03:20.700]  就是蠻有權柄跟能力的
[00:03:20.700 --> 00:03:24.200]  當然你會說 牧師因為他是神的兒子
[00:03:24.200 --> 00:03:25.700]  當然是因為他是神的兒子
[00:03:25.700 --> 00:03:29.500]  但是我們也看見有很多屬靈的原則
[00:03:29.500 --> 00:03:35.200]  我們可以遵行能夠來活出一個蠻有聖靈能力的一種生活
[00:03:35.200 --> 00:03:39.100]  在剛才我們所讀那段聖經其實是很有意思的一段聖經
[00:03:39.100 --> 00:03:41.400]  在那段聖經之前
[00:03:41.400 --> 00:03:47.300]  你看不出耶穌在地上的日子是蠻有聖靈的能力的
[00:03:47.300 --> 00:03:51.600]  可是在聖經之後 在十四節我們剛才讀了
[00:03:51.600 --> 00:03:54.900]  就看見從這段經節之後
[00:03:54.900 --> 00:04:00.300]  耶穌就蠻有聖靈的能力開始服侍 開始生活
[00:04:00.300 --> 00:04:01.700]  換句話說
[00:04:01.700 --> 00:04:09.000]  這一段聖經好像是耶穌在地上生活的一個轉折點一樣
[00:04:09.000 --> 00:04:16.900]  這段聖經好像就是耶穌在地上能夠蠻有聖靈能力生活的一個起始點
[00:04:16.900 --> 00:04:20.800]  所以我們今天要從這段聖經當中一同來學習
[00:04:20.800 --> 00:04:27.300]  怎麼樣也能夠在我們的生活當中能夠活出一個蠻有聖靈能力的生活來
[00:04:27.300 --> 00:04:28.500]  Amen
[00:04:28.500 --> 00:04:29.900]  所以三方面我們來看
[00:04:29.900 --> 00:04:34.400]  第一個 怎麼樣能夠活出一個蠻有聖靈能力的生活呢
[00:04:34.400 --> 00:04:36.600]  我們一定要敏銳聖靈的引導
[00:04:36.600 --> 00:04:40.800]  跟你們說敏銳聖靈的引導
[00:04:40.800 --> 00:04:47.300]  在第一節裡面你看很清楚講到聖靈把耶穌引導到曠野
[00:04:47.300 --> 00:04:49.700]  今天我們如果要經歷聖靈的能力
[00:04:49.700 --> 00:04:53.600]  首先一定要敏銳聖靈的引導
[00:04:53.600 --> 00:04:58.000]  事實上聖經裡面講到聖靈充滿最主要的目的
[00:04:58.000 --> 00:04:59.900]  其實不是很多那些現象而已
[00:04:59.900 --> 00:05:05.600]  聖靈充滿最主要的目的就是讓我們明白主的心意是什麼
[00:05:05.600 --> 00:05:10.000]  以佛手書第五章17節到18節保羅很清楚在這裡講
[00:05:10.000 --> 00:05:13.500]  保羅對我們說不要做糊塗人
[00:05:13.500 --> 00:05:17.100]  換句話說今天很多時候很多基督徒可能是糊裡糊塗不是嗎
[00:05:17.100 --> 00:05:18.400]  搞不清楚
[00:05:18.400 --> 00:05:19.800]  保羅說不要做糊塗人
[00:05:19.800 --> 00:05:20.800]  跟你們說不要做糊塗人
[00:05:20.800 --> 00:05:23.100]  你跟他說
[00:05:23.100 --> 00:05:26.500]  要明白主的旨意是什麼啦
[00:05:26.500 --> 00:05:27.900]  那怎麼明白神的旨意
[00:05:27.900 --> 00:05:29.300]  18節他講得很清楚
[00:05:29.300 --> 00:05:31.700]  不要醉酒 酒使人放蕩
[00:05:31.700 --> 00:05:34.800]  但是要被聖靈充滿
[00:05:34.800 --> 00:05:38.300]  所以聖靈來就是讓我們明白神的心意
[00:05:38.300 --> 00:05:41.900]  所以敏銳聖靈的引導太重要了
[00:05:41.900 --> 00:05:46.300]  那你說聖靈怎麼在我們生命當中來引導我們呢
[00:05:46.300 --> 00:05:50.400]  一般來講聖靈在我們生命當中有四種管道來引導我們
[00:05:50.400 --> 00:05:54.200]  第一個是透過神的僕人來引導我們
