
[00:00:00.000 --> 00:00:02.000]  鄧影姊妹平安
[00:00:02.000 --> 00:00:10.000]  我相信對於很多全職工作的鄧影姊妹來說
[00:00:10.000 --> 00:00:20.000]  其實上班佔了我們一天24小時一個相當重要的比重
[00:00:20.000 --> 00:00:26.000]  所以你說如果在上班當中上得不開心
[00:00:26.000 --> 00:00:28.000]  其實都幾慘
[00:00:28.000 --> 00:00:33.000]  有一個調查是這樣說的
[00:00:33.000 --> 00:00:41.000]  香港在亞太區的不同的國家和地區裏面
[00:00:41.000 --> 00:00:51.000]  僱員對於公司的滿意度和投入度原來只有28%
[00:00:51.000 --> 00:00:58.000]  即是100個人有28個人滿意和投入在他的工作
[00:00:58.000 --> 00:01:08.000]  比起滿意度最高排頭位的兩個國家低了31%
[00:01:08.000 --> 00:01:18.000]  我不知道你想不想得到排頭位雙冠軍的國家究竟是什麼國家
[00:01:18.000 --> 00:01:22.000]  我告訴你你一定想不到
[00:01:22.000 --> 00:01:25.000]  是菲律賓和印度
[00:01:25.000 --> 00:01:27.000]  糟糕嗎
[00:01:27.000 --> 00:01:30.000]  做夢都沒想過
[00:01:30.000 --> 00:01:36.000]  那裏的僱員對於公司的滿意度
[00:01:36.000 --> 00:01:42.000]  在工作當中的投入去到59%
[00:01:42.000 --> 00:01:48.000]  事實上無論我們對於我們在做的那份工作
[00:01:48.000 --> 00:01:53.000]  你多滿意開心也好不開心也好
[00:01:53.000 --> 00:01:59.000]  我猜我們總是會期盼我們的工作
[00:01:59.000 --> 00:02:04.000]  能夠讓我們有機會發揮我們的所長
[00:02:04.000 --> 00:02:07.000]  如魚得水就最好了
[00:02:07.000 --> 00:02:14.000]  對於信徒來說我們可能想的東西還會多一點
[00:02:14.000 --> 00:02:18.000]  因為大家一定聽過一個說法
[00:02:18.000 --> 00:02:26.000]  希望上帝呼召差遣我們去到我們的工作間
[00:02:26.000 --> 00:02:33.000]  讓我們可以在那個地方成為祂美好的見證
[00:02:33.000 --> 00:02:38.000]  既然神的呼召是祂的差遣
[00:02:38.000 --> 00:02:45.000]  其實職場的召命就必定是由上帝做主
[00:02:45.000 --> 00:02:51.000]  而不是由我們個人的意願去作為出發點
[00:02:51.000 --> 00:02:59.000]  很多時候我們的想法我們的焦點會出現一些偏差
[00:02:59.000 --> 00:03:04.000]  變成以我個人的想法作為出發點
[00:03:04.000 --> 00:03:11.000]  焦點就擺放在究竟這份工作有沒有機會讓我發揮我的所長
[00:03:11.000 --> 00:03:17.000]  實現在我心裏的那種理想
[00:03:17.000 --> 00:03:20.000]  反而我們不是經常會想
[00:03:20.000 --> 00:03:26.000]  到底上帝在背後有什麼心意有什麼計劃
[00:03:26.000 --> 00:03:33.000]  要回應這個基本的呼召這個課題
[00:03:33.000 --> 00:03:37.000]  我們真的需要學習放下自己
[00:03:37.000 --> 00:03:41.000]  包括那些我們覺得好的東西
[00:03:41.000 --> 00:03:46.000]  覺得是一些我們正在尋找的東西
[00:03:46.000 --> 00:03:48.000]  在我們的工作間
[00:03:48.000 --> 00:03:53.000]  又或者我覺得我應該扮演一個這樣的角色
[00:03:53.000 --> 00:03:57.000]  不是這些,而是試試去想想
[00:03:57.000 --> 00:04:01.000]  究竟怎樣找得到上帝的心意
[00:04:01.000 --> 00:04:04.000]  今天我會用《有人福音》裏面
[00:04:04.000 --> 00:04:09.000]  尼哥底姆這個人物和大家看看
[00:04:09.000 --> 00:04:14.000]  他怎樣作為猶太人的官
[00:04:14.000 --> 00:04:16.000]  這個固有的身份
[00:04:16.000 --> 00:04:23.000]  究竟他怎樣能夠因為他相信耶穌
[00:04:23.000 --> 00:04:26.000]  生命是得著一個轉化
[00:04:26.000 --> 00:04:33.000]  怎樣在其中去完成上帝給他的照明和託付
[00:04:33.000 --> 00:04:38.000]  尼哥底姆,我想大家應該聽過這個人
[00:04:38.000 --> 00:04:44.000]  在《有人福音》裏面最早出現的就是《有人福音》第三章
[00:04:44.000 --> 00:04:48.000]  剛剛說過他是猶太人的官
[00:04:48.000 --> 00:04:53.000]  即是說他有身份,有地位,德高望重
[00:04:53.000 --> 00:04:57.000]  三章二節上半節的經文
[00:04:57.000 --> 00:05:01.000]  就說這個人夜裡來見耶穌
[00:05:01.000 --> 00:05:04.000]  為何會晚上來
[00:05:04.000 --> 00:05:08.000]  不同的人有不同的猜測
[00:05:08.000 --> 00:05:17.000]  又說他有頭有臉,作為一個猶太人的表表者,代表人物
[00:05:17.000 --> 00:05:22.000]  這麼張揚來見耶穌,似乎不是太好
[00:05:22.000 --> 00:05:27.000]  所以就趁夜晚靜悄悄來
[00:05:27.000 --> 00:05:35.000]  又說他覺得自己心裏面的問題其實都很難解決
[00:05:35.000 --> 00:05:38.000]  不容易有一個簡單的答案
[00:05:38.000 --> 00:05:41.000]  於是夜晚好一點
[00:05:41.000 --> 00:05:46.000]  因為沒有那麼多人排隊和耶穌問話
[00:05:46.000 --> 00:05:49.000]  所以多些空間聊聊天
[00:05:49.000 --> 00:05:52.000]  無論你怎樣猜測都好
[00:05:52.000 --> 00:05:56.000]  其實對尼哥底姆來說
[00:05:56.000 --> 00:06:02.000]  他心裏面的問題的確是一個相當重要的問題
[00:06:02.000 --> 00:06:06.000]  又說三章第二節,下半節就繼續說
[00:06:06.000 --> 00:06:11.000]  說:拉比,我們知道你是由神那裡來作師父的
[00:06:11.000 --> 00:06:17.000]  因為你所行的神蹟若沒有神同在,無人能行
