
[00:00:00.000 --> 00:00:02.240]  天后上帝祈求禰向我們說話
[00:00:02.240 --> 00:00:03.720]  準備好禰的心
[00:00:03.720 --> 00:00:06.100]  無論今天禰吩咐我們做些什麼
[00:00:06.100 --> 00:00:07.940]  或者給我們什麼的啓示
[00:00:07.940 --> 00:00:09.520]  讓我們已經準備好
[00:00:09.520 --> 00:00:11.480]  去完全的順服
[00:00:11.480 --> 00:00:12.640]  去遵從
[00:00:12.640 --> 00:00:14.520]  因爲禰是愛我們的神
[00:00:14.520 --> 00:00:17.340]  我們的好處不在禰以外
[00:00:17.340 --> 00:00:19.640]  祈禱奉耶穌基督的聖名
[00:00:19.640 --> 00:00:21.640]  阿們
[00:00:21.640 --> 00:00:24.980]  今天我們講的是追隨領袖
[00:00:24.980 --> 00:00:28.720]  講到領袖其實是一個很敏感的題目
[00:00:28.720 --> 00:00:30.720]  爲什麼呢
[00:00:30.720 --> 00:00:32.720]  不知道我們作作裏面
[00:00:32.720 --> 00:00:34.720]  有誰覺得你是領袖
[00:00:34.720 --> 00:00:36.720]  你是領袖
[00:00:36.720 --> 00:00:38.720]  可能不敢舉手
[00:00:38.720 --> 00:00:40.720]  好像很威風
[00:00:40.720 --> 00:00:42.720]  有人說我不是領袖
[00:00:42.720 --> 00:00:44.720]  我是追隨者
[00:00:44.720 --> 00:00:48.720]  都沒人舉手
[00:00:48.720 --> 00:00:50.720]  到底你是領袖還是追隨者呢
[00:00:50.720 --> 00:00:52.720]  你自己想一想
[00:00:52.720 --> 00:00:56.720]  我到底是一個領袖還是一個追隨者呢
[00:00:56.720 --> 00:00:58.720]  當然很明顯
[00:00:58.720 --> 00:01:00.720]  我相信我們每個人都知道
[00:01:00.720 --> 00:01:03.720]  不是每個人都可以做總統
[00:01:03.720 --> 00:01:05.720]  或者那些大公司的總裁
[00:01:05.720 --> 00:01:07.720]  那一類的領袖
[00:01:07.720 --> 00:01:11.720]  但是如果我們對領袖的定義
[00:01:11.720 --> 00:01:15.720]  是正如John Maxwell
[00:01:15.720 --> 00:01:17.720]  一個很出名的專家講領袖的
[00:01:17.720 --> 00:01:19.720]  Leadership的專家所講的
[00:01:19.720 --> 00:01:21.720]  什麼是領袖呢
[00:01:21.720 --> 00:01:23.720]  什麼是Leadership呢
[00:01:23.720 --> 00:01:25.720]  Leadership is inference
[00:01:25.720 --> 00:01:29.720]  做一個領袖就是能夠影響別人的人
[00:01:29.720 --> 00:01:31.720]  如果是這樣的話
[00:01:31.720 --> 00:01:35.720]  原來我們每一個人都可以成爲領袖
[00:01:35.720 --> 00:01:37.720]  爲什麼呢
