
[00:00:00.000 --> 00:00:01.800]  好,各位親愛的兄弟姐妹,你們好!
[00:00:01.800 --> 00:00:05.100]  我很開心神給我又有機會再來到大家當中
[00:00:05.100 --> 00:00:07.600]  和大家分享研讀神的話語
[00:00:07.600 --> 00:00:10.800]  也見到有些可能是新來的人
[00:00:10.800 --> 00:00:12.800]  求神祝福你們
[00:00:12.800 --> 00:00:15.900]  教會給我的題目和經文
[00:00:15.900 --> 00:00:18.100]  就是剛才大家所讀的哥倫多前書
[00:00:18.100 --> 00:00:20.600]  十章二十三到三十三節
[00:00:20.600 --> 00:00:23.800]  就是講「為了榮耀神而行」
[00:00:23.800 --> 00:00:25.500]  這是一個非常好的題目
[00:00:25.500 --> 00:00:26.500]  請大家記住
[00:00:26.500 --> 00:00:29.300]  我們信耶穌不是為了翹起雙手
[00:00:29.300 --> 00:00:32.200]  等上天堂,然後去享福
[00:00:32.200 --> 00:00:34.200]  這絕對不是聖經的重點
[00:00:34.200 --> 00:00:36.800]  雖然我們只有一天會上到天國裡面
[00:00:36.800 --> 00:00:39.900]  但是原來我們在地上是有責任的
[00:00:39.900 --> 00:00:41.600]  我們的責任是什麼呢?
[00:00:41.600 --> 00:00:44.800]  就是我們要去見證榮耀我們的神
[00:00:44.800 --> 00:00:47.500]  我們是要承擔這個責任
[00:00:47.500 --> 00:00:49.200]  和要付這個代價的
[00:00:49.200 --> 00:00:51.000]  好,我們一起來看看
[00:00:51.000 --> 00:00:54.900]  哥倫多前書第六章第二十節
[00:00:54.900 --> 00:00:58.100]  我們一起來讀出
[00:00:58.100 --> 00:01:01.200]  「因為你們是從駕來的
[00:01:01.200 --> 00:01:05.200]  所以要在你們的身子上榮耀神」
[00:01:05.200 --> 00:01:08.800]  很強調我們是從駕買回來的
[00:01:08.800 --> 00:01:11.900]  是主耶穌基督用祂的生命
[00:01:11.900 --> 00:01:14.300]  換取我們的得救
[00:01:14.300 --> 00:01:18.000]  然後我們才可以得著這個救贖
[00:01:18.000 --> 00:01:21.100]  所以我們有責任就是要去榮耀我們的神
[00:01:21.100 --> 00:01:23.200]  正如我們做父母的
[00:01:23.200 --> 00:01:27.400]  你自己離開你自己熟悉的地方
