
[00:00:00.000 --> 00:00:03.680]  我們今天進入了約書亞第24章
[00:00:03.680 --> 00:00:07.800]  我們的經文是在24章第19至28節
[00:00:07.800 --> 00:00:11.320]  其實這段說話是約書亞已經年老了
[00:00:11.320 --> 00:00:14.200]  他跟以色列人最後的說話
[00:00:14.200 --> 00:00:16.760]  在約書亞一生的裏面
[00:00:16.760 --> 00:00:19.520]  他經歷過神那份的大能
[00:00:19.520 --> 00:00:21.760]  神怎樣去降下十災
[00:00:21.760 --> 00:00:23.560]  怎樣將紅海分開
[00:00:23.560 --> 00:00:26.040]  帶以色列人去出埃及
[00:00:26.040 --> 00:00:31.040]  我們說約書亞他見證過的是神有多厲害
[00:00:31.040 --> 00:00:33.160]  而約書亞亦都見證過
[00:00:33.160 --> 00:00:36.680]  一個錯誤的選擇會帶來的後果
[00:00:36.680 --> 00:00:38.640]  那幫第一代的以色列人
[00:00:38.640 --> 00:00:40.040]  他們選擇甚麼
[00:00:40.040 --> 00:00:43.280]  他們選擇我選的是最好
[00:00:43.280 --> 00:00:45.080]  無論在曠野的時候
[00:00:45.080 --> 00:00:48.280]  神他真的賜了每一樣每一樣
[00:00:48.280 --> 00:00:49.960]  以色列人的所需
[00:00:49.960 --> 00:00:52.000]  但是以色列人他埋怨是嗎
[00:00:52.000 --> 00:00:53.160]  我們經常去看
[00:00:53.160 --> 00:00:55.120]  出埃及的時候見得最多是甚麼
[00:00:55.120 --> 00:00:57.080]  以色列人在懷疑是嗎
[00:00:57.080 --> 00:00:59.720]  在懷疑是嗎 埋怨
[00:00:59.720 --> 00:01:02.000]  以色列人因為他們選擇
[00:01:02.000 --> 00:01:03.880]  自己選的是最好的緣故
[00:01:03.880 --> 00:01:07.000]  結果他們不能夠進入迦蘭地
[00:01:07.000 --> 00:01:08.080]  不能夠的
[00:01:08.080 --> 00:01:09.160]  一個錯誤的選擇
[00:01:09.160 --> 00:01:13.080]  不能夠的去領受神那份的恩典和祝福
[00:01:13.080 --> 00:01:15.840]  而同時約書亞亦都見證的就是
[00:01:15.840 --> 00:01:18.960]  一個正確的選擇會帶來祝福
[00:01:18.960 --> 00:01:20.480]  我們看聖經的時候
[00:01:20.480 --> 00:01:22.440]  我們見到約書亞和迦勒
[00:01:22.440 --> 00:01:24.440]  因為他們選擇神的緣故
[00:01:24.440 --> 00:01:26.160]  他們進到應許地
[00:01:26.160 --> 00:01:28.840]  選擇神是否問題都沒有了
[00:01:28.840 --> 00:01:29.960]  不是是嗎
[00:01:29.960 --> 00:01:32.120]  我們見到在迦蘭地的裏面
[00:01:32.120 --> 00:01:35.000]  那些亞納族人仍然都是那麼高大
[00:01:35.000 --> 00:01:37.000]  我們見到的耶利高城
[00:01:37.000 --> 00:01:38.960]  仍然都是那麼堅固
[00:01:38.960 --> 00:01:40.680]  如果我們用地上的智慧
[00:01:40.680 --> 00:01:42.360]  去想整件事的時候
[00:01:42.360 --> 00:01:45.360]  以色列人一定會打輸
[00:01:45.360 --> 00:01:48.120]  但是在聖經裏面告訴我們
[00:01:48.120 --> 00:01:50.160]  當我們選擇神的時候
[00:01:50.160 --> 00:01:51.560]  神是會帶來那個
[00:01:51.560 --> 00:01:54.160]  超自然那份的聖利器當中
[00:01:54.160 --> 00:01:55.440]  而當今天
[00:01:55.440 --> 00:01:58.120]  我們去到約書亞記二十四章的時候
[00:01:58.120 --> 00:01:59.960]  其實以色列人
[00:01:59.960 --> 00:02:02.600]  他們已經經歷過七年的戰役
[00:02:02.600 --> 00:02:04.160]  在七年的裏面
[00:02:04.160 --> 00:02:05.760]  一路一路的打仗
