
[00:00:00.000 --> 00:00:02.000]  真想說感謝祢
[00:00:02.000 --> 00:00:05.500]  感謝祢招聚我們去到祢的殿裏一切的敬拜
[00:00:05.500 --> 00:00:09.000]  讓聖靈臨在我們當中
[00:00:09.000 --> 00:00:11.000]  讓我們經歷
[00:00:11.000 --> 00:00:14.000]  聖靈在我們裏面怎樣去更新我們的生命
[00:00:14.000 --> 00:00:16.000]  怎樣來充滿我們
[00:00:16.000 --> 00:00:18.500]  以致我們看到不一樣的世界
[00:00:18.500 --> 00:00:20.500]  讓上主你
[00:00:20.500 --> 00:00:22.500]  這一刻 特別這一刻
[00:00:22.500 --> 00:00:26.000]  讓聽的和講的都同蒙你的月亮
[00:00:26.000 --> 00:00:28.000]  祈禱奉主耶穌基督的名求
[00:00:28.000 --> 00:00:30.000]  阿門
[00:00:30.000 --> 00:00:32.000]  大家有沒有機會
[00:00:32.000 --> 00:00:34.000]  看2018年的
[00:00:34.000 --> 00:00:36.000]  全美一丁
[00:00:36.000 --> 00:00:38.000]  特別是總決賽
[00:00:38.000 --> 00:00:40.000]  我想給大家
[00:00:40.000 --> 00:00:42.000]  看
[00:00:42.000 --> 00:00:44.000]  一點點
[00:00:44.000 --> 00:00:46.000]  沒有嗎?不要緊
[00:00:46.000 --> 00:00:48.000]  因為我
[00:00:48.000 --> 00:00:50.000]  讓大家可以回家
[00:00:50.000 --> 00:00:52.000]  看YouTube
[00:00:52.000 --> 00:00:54.000]  2018年的全美一丁總冠軍
[00:00:54.000 --> 00:00:56.000]  總冠軍
[00:00:56.000 --> 00:00:58.000]  我相信他是亞洲人
[00:00:58.000 --> 00:01:00.000]  樣子很亞洲
[00:01:00.000 --> 00:01:02.000]  他是魔術師
[00:01:02.000 --> 00:01:04.000]  因為當時是魔術師
[00:01:04.000 --> 00:01:06.000]  但是我看的時候
[00:01:06.000 --> 00:01:09.000]  我心裏有點疑惑
[00:01:09.000 --> 00:01:11.000]  因為他將一隻
[00:01:11.000 --> 00:01:13.000]  紅色
[00:01:13.000 --> 00:01:15.000]  紅心綠的啤牌
[00:01:15.000 --> 00:01:17.000]  在鏡頭面前
[00:01:17.000 --> 00:01:19.000]  沒有變過
[00:01:19.000 --> 00:01:21.000]  紅心綠
[00:01:21.000 --> 00:01:23.000]  有個綠字
[00:01:23.000 --> 00:01:25.000]  在鏡頭面前
[00:01:25.000 --> 00:01:27.000]  將它變成
[00:01:27.000 --> 00:01:29.000]  九顆心
[00:01:29.000 --> 00:01:31.000]  和綠字變成九字
[00:01:31.000 --> 00:01:33.000]  嘩 好像
[00:01:33.000 --> 00:01:35.000]  將它
[00:01:35.000 --> 00:01:37.000]  好像電腦程式
[00:01:37.000 --> 00:01:39.000]  Photoshop
[00:01:39.000 --> 00:01:41.000]  怎樣看都不是
