
[00:00:00.000 --> 00:00:03.000]  我們一起讀一段經文,好嗎?
[00:00:03.000 --> 00:00:06.000]  《士徒行傳》第一章第八節
[00:00:06.000 --> 00:00:13.000]  我們一起開聲讀
[00:00:13.000 --> 00:00:19.000]  「但聖靈降臨在你們身上,
[00:00:19.000 --> 00:00:27.000]  並要在耶路撒冷,猶太傳地,和撒瑪利亞,直到地極,作我的見證。」
[00:00:27.000 --> 00:00:32.000]  這個能力是說愛的能力,愛心的能力
[00:00:32.000 --> 00:00:36.000]  不一定是去行二能,講方言那些
[00:00:36.000 --> 00:00:38.000]  是一個愛心的能力
[00:00:38.000 --> 00:00:42.000]  聖靈降臨在我們身上,我們就必得著能力
[00:00:42.000 --> 00:00:46.000]  我們求主幫助我們今天的敬拜
[00:00:46.000 --> 00:00:50.000]  就是怎樣將愛影響我們周圍的社群
[00:00:50.000 --> 00:00:54.000]  過了十幾天,一月過了十幾天
[00:00:54.000 --> 00:00:59.000]  大家在新聞看到很多很可怕的消息
[00:00:59.000 --> 00:01:04.000]  在巴黎,本來巴黎都很浪漫的,現在都不要去了
[00:01:04.000 --> 00:01:06.000]  比利時,比利時在哪裡?
[00:01:06.000 --> 00:01:09.000]  總之歐洲,somewhere
[00:01:09.000 --> 00:01:11.000]  你們可能去過的,有些人
[00:01:11.000 --> 00:01:14.000]  本來是一個很平靜的小的國家
[00:01:14.000 --> 00:01:16.000]  但是很多的暴亂
[00:01:16.000 --> 00:01:21.000]  在中東有極端回教分子
[00:01:21.000 --> 00:01:24.000]  影響全世界
[00:01:24.000 --> 00:01:28.000]  非洲,Nigeria,有個叫Kobo Haram,有沒有聽過?
[00:01:28.000 --> 00:01:30.000]  可能都不知道是誰
[00:01:30.000 --> 00:01:32.000]  總之很厲害,很殺人
[00:01:32.000 --> 00:01:36.000]  抓了一些小女孩,現在還放出來
[00:01:36.000 --> 00:01:38.000]  有千多人失蹤
[00:01:38.000 --> 00:01:43.000]  我們看到全世界都是很多的暴亂
[00:01:43.000 --> 00:01:48.000]  如果大家住在奧林頓都要小心一點
[00:01:48.000 --> 00:01:54.000]  川普不要拿東西出來,怕別人偷東西
[00:01:54.000 --> 00:01:57.000]  那天我去奧林頓有個教會講道
[00:01:57.000 --> 00:02:00.000]  那個牧師說,你快點去
[00:02:00.000 --> 00:02:04.000]  川普拿東西,你快點走
[00:02:04.000 --> 00:02:07.000]  他會打爛你的車,這麼厲害
[00:02:07.000 --> 00:02:10.000]  好像去第三世界的國家
[00:02:10.000 --> 00:02:15.000]  其實這個不平安,這種可怕的事
[00:02:15.000 --> 00:02:18.000]  是影響全世界的
[00:02:18.000 --> 00:02:20.000]  不知道大家有沒有什麼感覺
[00:02:20.000 --> 00:02:23.000]  這個世界越做越厲害
[00:02:23.000 --> 00:02:27.000]  那些恨的力量,那些仇恨很厲害
[00:02:27.000 --> 00:02:29.000]  所以我們今天基督徒
[00:02:29.000 --> 00:02:33.000]  怎樣將愛帶到這個社群
