
[00:00:00.000 --> 00:00:02.800]  歷史的史,叢林的叢
[00:00:02.800 --> 00:00:06.600]  史從是中國近代很出名的畫家
[00:00:06.600 --> 00:00:10.840]  有一次他就跟他教書的藝術學院
[00:00:10.840 --> 00:00:14.240]  申請去長江三峽一遊
[00:00:14.240 --> 00:00:17.760]  希望在長江三峽的風景裏面
[00:00:17.760 --> 00:00:19.080]  拿到一些靈感
[00:00:19.080 --> 00:00:21.080]  創作一些新的作品
[00:00:21.080 --> 00:00:23.800]  因為長江三峽風景
[00:00:23.800 --> 00:00:26.040]  我沒去過,我相信會很美
[00:00:26.040 --> 00:00:31.000]  朝朝八體載雲間,千里江陵一日環
[00:00:31.000 --> 00:00:35.840]  兩岸猿聲啼不處,慶周而過萬重山
[00:00:35.840 --> 00:00:39.600]  一想起這個意境,你已經覺得真的很美
[00:00:39.600 --> 00:00:43.600]  結果學院就批准了他
[00:00:43.600 --> 00:00:49.400]  但學院只給他200元作為旅費的補助
[00:00:49.400 --> 00:00:54.200]  200元剛剛夠史從坐四等艙
[00:00:54.200 --> 00:00:57.200]  吃粥、餐餐、吃稀飯
[00:00:57.200 --> 00:01:01.200]  史從的同事就有些發怨言
[00:01:01.200 --> 00:01:04.200]  為什麼其他那些共幹出差
[00:01:04.200 --> 00:01:08.200]  個個都坐頭等艙,大魚大肉
[00:01:08.200 --> 00:01:10.200]  全部都是花阿爺的錢
[00:01:10.200 --> 00:01:13.200]  而我們知識份子出差呢
[00:01:13.200 --> 00:01:16.200]  就要睡四等艙,吃稀飯
[00:01:16.200 --> 00:01:20.200]  如此待薄的知識份子,哪有得的
[00:01:20.200 --> 00:01:22.200]  哪有個國家這樣待薄知識份子
[00:01:22.200 --> 00:01:24.200]  史從心裏面都有些同感
[00:01:24.200 --> 00:01:26.200]  但他就沒有說出聲
[00:01:26.200 --> 00:01:29.200]  船開到近這個沙漠附近
[00:01:29.200 --> 00:01:34.200]  史從因為覺得四等艙的空氣太過污濁
[00:01:34.200 --> 00:01:36.200]  衛生設備又不好
[00:01:36.200 --> 00:01:42.200]  於是就想去船的甲板吸一下新鮮空氣
[00:01:42.200 --> 00:01:46.200]  誰知因為連日周居勞動,再加上吃不飽
[00:01:46.200 --> 00:01:50.200]  竟然之間一上到甲板就暈倒
[00:01:50.200 --> 00:01:54.200]  幸好旁邊有一對法國夫婦
[00:01:54.200 --> 00:01:57.200]  這對男士是醫生
[00:01:57.200 --> 00:02:00.200]  馬上把他扶起,救醒他
[00:02:00.200 --> 00:02:03.200]  送他回到艙裏休息
[00:02:03.200 --> 00:02:06.200]  當這對法國夫婦去到四等艙時
[00:02:06.200 --> 00:02:07.200]  他就嚇了一跳
[00:02:07.200 --> 00:02:11.200]  為什麼這裏的環境,衛生設備這麼差
[00:02:11.200 --> 00:02:13.200]  不太適宜一個病人在這裏住
[00:02:13.200 --> 00:02:16.200]  不如我們讓了我們的房間是頭等艙
[00:02:16.200 --> 00:02:20.200]  好好養病,等你痊癒後再回來
[00:02:20.200 --> 00:02:21.200]  這樣好不好
[00:02:21.200 --> 00:02:26.200]  史從就婉拒了,不接受他的好意
[00:02:26.200 --> 00:02:28.200]  大家談起上來
[00:02:28.200 --> 00:02:31.200]  原來這對法國夫婦才發覺
[00:02:31.200 --> 00:02:35.200]  對面的景色是大名鼎鼎的史從
[00:02:35.200 --> 00:02:37.200]  知道他的身份之後
[00:02:37.200 --> 00:02:38.200]  大名的畫家
[00:02:38.200 --> 00:02:40.200]  這對夫婦熱愛中國的
[00:02:40.200 --> 00:02:42.200]  中國的文化,中國的藝術
[00:02:42.200 --> 00:02:44.200]  也聽過史從的名字
[00:02:44.200 --> 00:02:46.200]  於是不禁問
[00:02:46.200 --> 00:02:50.200]  他說我有一個問題不太明白
[00:02:50.200 --> 00:02:56.200]  你們的國家,大國,文化之邦
[00:02:56.200 --> 00:03:01.200]  你是貴國的畫家,又是知識份子
[00:03:01.200 --> 00:03:05.200]  為什麼竟然會住在這麼惡劣的四等艙
[00:03:05.200 --> 00:03:08.200]  難道你們國家不會照顧一下
[00:03:08.200 --> 00:03:11.200]  知識份子的福利嗎
[00:03:11.200 --> 00:03:14.200]  史從立即就罵他
[00:03:14.200 --> 00:03:17.200]  藝術家和知識份子
[00:03:17.200 --> 00:03:21.200]  絕對不能將自己困在象牙塔
[00:03:21.200 --> 00:03:24.200]  我們必須體驗民間疾苦
[00:03:24.200 --> 00:03:27.200]  捕捉他們生活的寫照
[00:03:27.200 --> 00:03:29.200]  經歷他們的際遇
[00:03:29.200 --> 00:03:32.200]  知道他們的痛苦
[00:03:32.200 --> 00:03:36.200]  然後才能夠明白和捕捉到人生的真體
[00:03:36.200 --> 00:03:39.200]  這些才是真正的知識份子
[00:03:39.200 --> 00:03:42.200]  當法國夫婦一聽到的時候
[00:03:42.200 --> 00:03:44.200]  非常感動
[00:03:44.200 --> 00:03:48.200]  佩服這個名畫家,真是佩服到五體投地
[00:03:48.200 --> 00:03:51.200]  史從為了感激這對夫婦
[00:03:51.200 --> 00:03:54.200]  於是就送了兩幅畫給他
[00:03:54.200 --> 00:03:57.200]  這對夫婦就非常開心
[00:03:57.200 --> 00:04:01.200]  立即就在錢包裡拿了五百元美金出來
[00:04:01.200 --> 00:04:03.200]  對他說,在法國
[00:04:03.200 --> 00:04:07.200]  如果我們不給報酬,是不惜抬舉的
[00:04:07.200 --> 00:04:10.200]  希望閣下收
[00:04:10.200 --> 00:04:14.200]  史從立即就翻起臉
[00:04:14.200 --> 00:04:16.200]  最嚴肅的態度就跟他說
[00:04:16.200 --> 00:04:20.200]  我們中國是重人情
[00:04:20.200 --> 00:04:23.200]  珍惜友誼
[00:04:23.200 --> 00:04:27.200]  我們珍惜我們中法之間的友情
[00:04:27.200 --> 00:04:32.200]  現在你給我錢,簡直是侮辱了我們的人格
[00:04:32.200 --> 00:04:34.200]  侮辱了我們中法之間的友情
[00:04:34.200 --> 00:04:36.200]  侮辱了我們的國家
[00:04:36.200 --> 00:04:39.200]  如果你真的要給錢給我
[00:04:39.200 --> 00:04:41.200]  就請你給我兩幅畫
[00:04:41.200 --> 00:04:44.200]  這兩位夫婦一聽到之後
[00:04:44.200 --> 00:04:46.200]  真的肅然起敬
[00:04:46.200 --> 00:04:48.200]  對史從擁有高尚的人格
[00:04:48.200 --> 00:04:50.200]  佩服得五體投地
[00:04:50.200 --> 00:04:52.200]  我不知道你聽完這個故事
[00:04:52.200 --> 00:04:54.200]  是真的故事
[00:04:54.200 --> 00:04:56.200]  你聽了之後有什麼感受
[00:04:56.200 --> 00:04:59.200]  我不知道我好笑還是很生氣
[00:04:59.200 --> 00:05:03.200]  史從真的代表了我們中國人的一面
[00:05:03.200 --> 00:05:06.200]  我們所說的骨氣
[00:05:06.200 --> 00:05:09.200]  明明是被國家輕寒
[00:05:09.200 --> 00:05:12.200]  明明內心裡都有埋怨
[00:05:12.200 --> 00:05:14.200]  但我們面對外國人的時候
[00:05:14.200 --> 00:05:17.200]  我們還要硬著頭皮維護國家
[00:05:17.200 --> 00:05:20.200]  說出一對非常感人的理論
[00:05:20.200 --> 00:05:23.200]  說他這就是所謂骨氣
[00:05:23.200 --> 00:05:26.200]  也可以叫做自卑
[00:05:26.200 --> 00:05:29.200]  也可以叫做自大
[00:05:29.200 --> 00:05:31.200]  或者尤其是中國人
[00:05:31.200 --> 00:05:33.200]  我們往往有這種骨氣
[00:05:33.200 --> 00:05:35.200]  這種傲氣
[00:05:35.200 --> 00:05:39.200]  所以我們不能夠容易接受別人的幫助
[00:05:39.200 --> 00:05:40.200]  聖經說
[00:05:40.200 --> 00:05:42.200]  私比壽更為有福
[00:05:42.200 --> 00:05:44.200]  但對我們大多數中國人
[00:05:44.200 --> 00:05:46.200]  尤其是男人來說
[00:05:46.200 --> 00:05:50.200]  壽比私更難
[00:05:50.200 --> 00:05:53.200]  我給你東西可以給得很爽快
[00:05:53.200 --> 00:05:54.200]  收你的東西
[00:05:54.200 --> 00:05:56.200]  我們好像欠了你人情
[00:05:56.200 --> 00:05:58.200]  一千萬個都不願意
