
[00:00:00.000 --> 00:00:07.120]  在1992年,當時諾貝爾經濟學獎的得主
[00:00:07.120 --> 00:00:09.560]  他的名字叫做Gary Becker
[00:00:09.560 --> 00:00:17.880]  他擅長用經濟學的理論去解釋人的行為
[00:00:17.880 --> 00:00:22.440]  他認為我們做很多很多的抉擇
[00:00:22.440 --> 00:00:27.440]  都是建基於得和失的考慮上
[00:00:27.440 --> 00:00:30.880]  這些都是經濟性的考慮
[00:00:30.880 --> 00:00:34.920]  例如我們為甚麼會選擇這份工作
[00:00:34.920 --> 00:00:37.280]  我們為甚麼會結婚
[00:00:37.280 --> 00:00:39.880]  甚至我們為甚麼會離婚
[00:00:39.880 --> 00:00:41.240]  很多很多不同的行為
[00:00:41.240 --> 00:00:46.480]  其實背後都是在權衡得失
[00:00:46.480 --> 00:00:51.720]  然後我們覺得我們做這個決定是對我們有利
[00:00:51.720 --> 00:00:54.760]  於是我們就作出這個決定
[00:00:54.760 --> 00:00:58.000]  有一次他發表了他的演講之後
[00:00:58.000 --> 00:01:00.440]  有人問他
[00:01:00.440 --> 00:01:03.000]  為甚麼在世界上有一些人
[00:01:03.000 --> 00:01:04.800]  特別是一些基督徒
[00:01:04.800 --> 00:01:06.560]  一些傳教士
[00:01:06.560 --> 00:01:11.200]  他們所做的行為是犧牲自己的
[00:01:11.200 --> 00:01:14.520]  是付出了很多很多的
[00:01:14.520 --> 00:01:17.760]  似乎在這些人身上我們見到的
[00:01:17.760 --> 00:01:20.840]  就不是單純的得失
[00:01:20.840 --> 00:01:25.760]  為自己能夠得到一些東西去做一些行為
[00:01:25.760 --> 00:01:28.040]  貝克他聽了這個問題之後
[00:01:28.040 --> 00:01:30.680]  他想了想,然後他說
[00:01:30.680 --> 00:01:34.560]  其實這些基督徒,這些傳教士
[00:01:34.560 --> 00:01:40.480]  他們仍然是受到得失這個規律去影響的
[00:01:40.480 --> 00:01:43.880]  問題是他們期望所得到的
[00:01:43.880 --> 00:01:48.200]  和世界上其他的人不一樣
