
[00:00:00.000 --> 00:00:03.000]  好,弟兄姊妹,平安,我們一起祈禱
[00:00:03.000 --> 00:00:08.700]  親愛的主,我們多謝你,因為你是你,讓我們可以讀你的話語
[00:00:08.700 --> 00:00:12.300]  讓你的話語能夠發出亮光,啟動我們的生命
[00:00:12.300 --> 00:00:18.200]  兼顧我們在世途裏面,能夠活出主給我們的樣式
[00:00:18.200 --> 00:00:20.800]  成為生命的一個好見證
[00:00:20.800 --> 00:00:24.900]  圓主,你就幫助我們積聚經文,對我們的生命再一次提醒
[00:00:24.900 --> 00:00:28.500]  祈禱是奉耶穌的名字而求,阿們
[00:00:31.000 --> 00:00:35.500]  好,今天跟大家思考一個題目,叫「數字與人生」
[00:00:35.500 --> 00:00:40.000]  那麼,數字和你的人生有什麼關係呢?
[00:00:40.000 --> 00:00:45.000]  首先問一問,3月14日和你的人生有沒有關係呢?
[00:00:45.000 --> 00:00:49.000]  有嗎?有什麼關係?
[00:00:49.000 --> 00:00:58.000]  有活著是嗎?3月14日是一個特別的日子,不知道大家有沒有留意?
[00:00:58.500 --> 00:01:03.000]  日本情人節日,日本情人節,這些情人真是很重要
[00:01:03.000 --> 00:01:07.000]  對,什麼日子?Pie Day,對,這些很重要
[00:01:07.000 --> 00:01:15.000]  原來3月14日是一個在國際裏面叫做「圓周旅日」
[00:01:15.000 --> 00:01:20.000]  「圓周旅日」叫Pie Day,Pie就是一個數字
[00:01:20.000 --> 00:01:26.000]  簡單來說就是「22/7」,即是「7分之22」
[00:01:26.500 --> 00:01:34.000]  「22/7」,但是這個Pie其實在網上找,它叫「無理數」
[00:01:34.000 --> 00:01:39.500]  「無理數」即是無理在於它是隨即都沒有停止的
[00:01:39.500 --> 00:01:46.000]  所以你看得到,一路計算出來,Pie中間好像一個蛇一樣圓形
[00:01:46.000 --> 00:01:49.000]  這個Pie其實計算出來的數值是
[00:01:49.500 --> 00:02:19.500]  1,4,1,5,9,2,5,6,5,3,5,8,9,7,8,7,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
[00:02:19.500 --> 00:02:21.500]  我經常都要計算一下
