
[00:00:00.000 --> 00:00:19.000]  音樂
[00:00:19.000 --> 00:00:23.000]  那麼如果你下一個月有在我們當中來崇拜
[00:00:23.000 --> 00:00:25.000]  第一個禮拜我說過
[00:00:25.000 --> 00:00:27.000]  這兩個月
[00:00:27.000 --> 00:00:30.000]  五月六月主要呢
[00:00:30.000 --> 00:00:32.000]  我是講同一個方向的題目
[00:00:32.000 --> 00:00:36.000]  就是講到基督信仰裏面的友情
[00:00:36.000 --> 00:00:37.000]  情誼
[00:00:37.000 --> 00:00:38.000]  那麼上一次呢
[00:00:38.000 --> 00:00:40.000]  我們用舊約的一個兩個人的例子
[00:00:40.000 --> 00:00:42.000]  就是大衛與約拿丹
[00:00:42.000 --> 00:00:45.000]  大家可能有人來聽過了
[00:00:45.000 --> 00:00:47.000]  來談到這個情誼
[00:00:47.000 --> 00:00:51.000]  那麼他們怎麼建立一個很深刻的情誼
[00:00:51.000 --> 00:00:52.000]  然後呢
[00:00:52.000 --> 00:00:53.000]  今天呢
[00:00:53.000 --> 00:00:55.000]  剛纔我們所念的經文就比較複雜
[00:00:55.000 --> 00:00:57.000]  很長很複雜
[00:00:57.000 --> 00:01:00.000]  等一下我跟大家慢慢再談
[00:01:00.000 --> 00:01:03.000]  也不是太難理解的
[00:01:03.000 --> 00:01:04.000]  但是今天呢
[00:01:04.000 --> 00:01:07.000]  我們轉到從舊約轉到新約了
[00:01:07.000 --> 00:01:08.000]  我們講到呢
[00:01:08.000 --> 00:01:09.000]  另外兩個人
[00:01:09.000 --> 00:01:11.000]  兩個好朋友
[00:01:11.000 --> 00:01:13.000]  這個保羅跟彼得
[00:01:13.000 --> 00:01:14.000]  這次呢
[00:01:14.000 --> 00:01:16.000]  不是談到他們的
[00:01:16.000 --> 00:01:18.000]  怎麼建立他們的情誼
[00:01:18.000 --> 00:01:20.000]  這是我們講的比較負面點
[00:01:20.000 --> 00:01:22.000]  看看他們怎麼處理衝突
[00:01:22.000 --> 00:01:23.000]  好吧
[00:01:23.000 --> 00:01:25.000]  最好的朋友也有不同意見
[00:01:25.000 --> 00:01:29.000]  最好的夫婦也有那個意見不同
[00:01:29.000 --> 00:01:32.000]  令對方很受向的地方的時間
[00:01:32.000 --> 00:01:33.000]  對吧
