
[00:00:00.000 --> 00:00:02.000]  好呀 斗地主
[00:00:02.000 --> 00:00:05.620]  我們今天會繼續講出埃及記
[00:00:05.620 --> 00:00:07.440]  不知道大家有沒有看過一套戲
[00:00:07.440 --> 00:00:09.440]  《127個小時》
[00:00:09.440 --> 00:00:11.440]  知不知道有這套戲
[00:00:11.440 --> 00:00:13.440]  十年前是嗎
[00:00:13.440 --> 00:00:15.440]  好像也有十年前
[00:00:15.440 --> 00:00:19.660]  講一個在美國有個攀爬的專家
[00:00:19.660 --> 00:00:22.660]  他叫做Ralston
[00:00:22.660 --> 00:00:28.480]  他在2003年的時候去猶他州攀石
[00:00:28.480 --> 00:00:32.480]  怎料他的手放在了石上
[00:00:32.480 --> 00:00:37.480]  用盡方法想想如何解救自己
[00:00:37.480 --> 00:00:41.480]  怎料搞來搞去都搞不定
[00:00:41.480 --> 00:00:43.480]  差不多五天的時間都搞不定
[00:00:43.480 --> 00:00:46.480]  他最後決定要做一件
[00:00:46.480 --> 00:00:51.480]  看起來很可人驚魂的舉動
[00:00:51.480 --> 00:00:53.480]  就是用自己的萬用刀
[00:00:53.480 --> 00:00:59.480]  把自己右手的前臂鋸出來
[00:00:59.480 --> 00:01:05.480]  然後才脫身脫鉗
[00:01:05.480 --> 00:01:11.480]  因為這件事他聲明更大操
[00:01:11.480 --> 00:01:13.480]  後來他的事蹟就拍成了
[00:01:13.480 --> 00:01:15.480]  我剛才講的那套電影
[00:01:15.480 --> 00:01:17.480]  《127個小時》
[00:01:17.480 --> 00:01:23.480]  我們以前有句話叫做「壯士斷臂」
[00:01:23.480 --> 00:01:27.480]  這真是一個壯士斷臂的故事
[00:01:27.480 --> 00:01:35.480]  如果不是他決心要把自己的手割出來
[00:01:35.480 --> 00:01:39.480]  恐怕他也沒有辦法撿回一條命
[00:01:39.480 --> 00:01:44.480]  我會繼續講這個十災
[00:01:44.480 --> 00:01:46.480]  不知道大家有沒有印象
[00:01:46.480 --> 00:01:49.480]  兩個月前
[00:01:49.480 --> 00:01:52.480]  高明軒博士已經講了十災
[00:01:52.480 --> 00:01:55.480]  所以我也引用了他一張Powerpoint
[00:01:55.480 --> 00:01:58.480]  我要講明是引用的
[00:01:58.480 --> 00:02:01.480]  是引用的
[00:02:01.480 --> 00:02:03.480]  就是他那個十災裡面
[00:02:03.480 --> 00:02:05.480]  其實是什麼來的呢
[00:02:05.480 --> 00:02:07.480]  其實就是要對應著
[00:02:07.480 --> 00:02:11.480]  在埃及裡面的不同的神明
[00:02:11.480 --> 00:02:14.480]  就是要跟他們有個屬靈的爭戰
[00:02:14.480 --> 00:02:16.480]  一個屬靈的對決
[00:02:16.480 --> 00:02:19.480]  也是上帝要給埃及
[00:02:19.480 --> 00:02:23.480]  以及給法老的一個警告
[00:02:23.480 --> 00:02:27.480]  其實除了這個元素之外
[00:02:27.480 --> 00:02:29.480]  我覺得在十災裡面
[00:02:29.480 --> 00:02:31.480]  其實有一個很重要的元素就是
[00:02:31.480 --> 00:02:34.480]  上帝要用這個災禍
[00:02:34.480 --> 00:02:39.480]  去分辨哪些是屬於他的子民
[00:02:39.480 --> 00:02:42.480]  他是要用這種區別
[00:02:42.480 --> 00:02:45.480]  去帶來一個拯救
[00:02:45.480 --> 00:02:47.480]  所以我今天就跟大家
[00:02:47.480 --> 00:02:50.480]  只看這個第十災
[00:02:50.480 --> 00:02:52.480]  第十個就是殺長子之災
[00:02:52.480 --> 00:02:54.480]  我們一起讀一下聖經好不好
[00:02:54.480 --> 00:02:56.480]  我們今天會讀的就是
[00:02:56.480 --> 00:02:58.480]  主要是第十一章
