
[00:00:00.000 --> 00:00:06.760]  今日想和大家一齊來看從以利亞的身上
[00:00:06.760 --> 00:00:12.640]  我們來領受神給我們怎樣去活出召命
[00:00:12.640 --> 00:00:19.920]  以利亞的經文或訊息去到第四講
[00:00:19.920 --> 00:00:23.040]  不知道大家從一月開始
[00:00:23.040 --> 00:00:32.520]  你還有多少印象去記得以利亞一些重要的人生
[00:00:32.520 --> 00:00:38.440]  以利亞其中一個記載是在獵王記上的第十九章
[00:00:38.440 --> 00:00:44.120]  所以我希望弟兄姊妹你有機會可以再看一看這段經文
[00:00:44.120 --> 00:00:48.000]  今日我只是很快和大家來溫習一下前面
[00:00:48.000 --> 00:00:51.320]  如果你需要也可以自己看這段聖經
[00:00:51.320 --> 00:00:58.080]  或者在教會的網頁可以找到之前那三篇的講讀
[00:00:58.080 --> 00:01:06.120]  但我仍然會用第三講的「事神掌管信神預備」作為今日的主題
[00:01:06.120 --> 00:01:10.760]  我想和大家來到很快看看第十九章的第十三節
[00:01:10.760 --> 00:01:14.880]  當中再講到耶和華神和以利亞的一個對話
[00:01:14.880 --> 00:01:18.360]  這個是頗多提到的
[00:01:18.360 --> 00:01:22.760]  以利亞自己覺得為神大發熱心
[00:01:22.760 --> 00:01:25.520]  為神做了很多很多的事
[00:01:25.520 --> 00:01:28.760]  但神最後的回應是告訴他
[00:01:28.760 --> 00:01:30.840]  你可以回去
[00:01:30.840 --> 00:01:34.280]  神已經有最好的預備
[00:01:34.280 --> 00:01:37.240]  所以從這三講,頭三講裏面
[00:01:37.240 --> 00:01:38.840]  我和大家來看
[00:01:38.840 --> 00:01:41.000]  是高舉基督活出召命
[00:01:41.000 --> 00:01:43.880]  從以利亞這個和我們一樣性情的人
[00:01:43.880 --> 00:01:46.280]  我們要學習認識自己
[00:01:46.280 --> 00:01:48.240]  為主而活
[00:01:48.240 --> 00:01:50.920]  我們要經歷到神的旨意是很奇妙
[00:01:50.920 --> 00:01:52.600]  但我們人要怎樣呢?
[00:01:52.600 --> 00:01:55.480]  要忍耐等候
[00:01:55.480 --> 00:01:59.000]  然後我們要從以利亞所經歷的
[00:01:59.000 --> 00:02:02.920]  我們再一次認定是神的掌管
[00:02:02.920 --> 00:02:08.240]  我們要相信神有最奇妙的預備
[00:02:08.240 --> 00:02:13.040]  我稍為提一提第二講
[00:02:13.040 --> 00:02:15.120]  以利亞怎樣去看自己
[00:02:15.120 --> 00:02:19.800]  讓我們去反省一下,我這個人怎樣看自己呢?
[00:02:19.800 --> 00:02:23.400]  我在做一個什麼角色
[00:02:23.400 --> 00:02:24.800]  從以利亞身上我們可以看見
[00:02:24.800 --> 00:02:28.320]  其實我們都是神所差遣的先鋒
[00:02:28.320 --> 00:02:33.280]  我們要明白和完成神給我們的使命
[00:02:33.280 --> 00:02:37.360]  另外我們要認識我們自己是一個配角
