
[00:00:00.000 --> 00:00:05.240]  今日的講題就是「主要容他」三方面
[00:00:05.240 --> 00:00:11.980]  第一,「主要容他」就是強調主的主權
[00:00:11.980 --> 00:00:13.700]  主是有主權的
[00:00:13.700 --> 00:00:18.000]  一位創天造地的主是擁有五萬物的
[00:00:18.000 --> 00:00:19.800]  所以他當然可以講
[00:00:19.800 --> 00:00:22.440]  「我要容他,主要容他」
[00:00:22.440 --> 00:00:25.020]  這個就是主的主權
[00:00:25.020 --> 00:00:27.200]  特別我們要留意的就是
[00:00:27.200 --> 00:00:35.280]  當耶穌來到要一匹小路騎著進耶路撒冷的時候
[00:00:35.280 --> 00:00:40.420]  耶穌不是隨意隨便來拿一匹小路
[00:00:40.420 --> 00:00:44.400]  而且是耶穌告訴門徒說
[00:00:44.400 --> 00:00:48.400]  你們到對面的村子裡去
[00:00:48.400 --> 00:00:52.480]  看到一匹小路在那裡
[00:00:52.480 --> 00:00:56.600]  你們就把一個小路牽來
[00:00:56.600 --> 00:00:58.500]  福音書告訴我們
[00:00:58.500 --> 00:01:04.100]  一匹小路從來是沒有人騎過的
[00:01:04.100 --> 00:01:05.800]  如果有主人問你
[00:01:05.800 --> 00:01:09.300]  「為什麼你解開我的小路牽走?」
[00:01:09.300 --> 00:01:11.100]  你就告訴他們
[00:01:11.100 --> 00:01:13.400]  「主要容他」
[00:01:13.400 --> 00:01:15.100]  憑這句話
[00:01:15.100 --> 00:01:20.100]  那些人一定讓你來牽走
[00:01:20.100 --> 00:01:24.200]  果然那班門徒就照著主的吩咐
[00:01:24.200 --> 00:01:26.800]  就去到對面村子
[00:01:26.800 --> 00:01:28.500]  進入一個村子
[00:01:28.500 --> 00:01:33.200]  然後在街頭裡面就看到一條小路綁在那裡
[00:01:33.200 --> 00:01:35.500]  然後就解開了
[00:01:35.500 --> 00:01:37.000]  那些人馬上就問
[00:01:37.000 --> 00:01:39.900]  「喂!搞什麼?你們做什麼?」
[00:01:39.900 --> 00:01:41.300]  「拿我的路做什麼?」
[00:01:41.300 --> 00:01:43.300]  「解開我的路紙做什麼?」
[00:01:43.300 --> 00:01:45.800]  那班門徒都不知道怎麼回答
[00:01:45.800 --> 00:01:47.200]  不過記得一句
[00:01:47.200 --> 00:01:49.700]  「主要容他」
[00:01:49.700 --> 00:01:51.900]  「耶穌要容他」
[00:01:51.900 --> 00:01:56.300]  那班人一聽到「主要容他」
[00:01:56.300 --> 00:01:58.200]  這當然是聖靈的工作
[00:01:58.200 --> 00:01:59.500]  神達林的工作
[00:01:59.500 --> 00:02:00.800]  馬上就說
[00:02:00.800 --> 00:02:04.300]  「拿去吧!拿去吧!拿去吧!」
[00:02:04.300 --> 00:02:07.200]  整班人異口同聲說
[00:02:07.200 --> 00:02:09.800]  「拿去吧!」
[00:02:09.800 --> 00:02:15.000]  主是一匹小路的主人
[00:02:15.000 --> 00:02:17.900]  所以主就騎著一匹小路
[00:02:17.900 --> 00:02:20.200]  往耶路撒冷
[00:02:20.200 --> 00:02:27.000]  然後進入這個聖殿去了
[00:02:27.000 --> 00:02:31.300]  門徒他背後說了一句話
[00:02:31.300 --> 00:02:33.400]  門徒說了一句話的背後
[00:02:33.400 --> 00:02:36.000]  主要容他
[00:02:36.000 --> 00:02:37.400]  讓我們看到
[00:02:37.400 --> 00:02:40.400]  在我們當中有一個偉大的主
[00:02:40.400 --> 00:02:42.600]  是要用一匹小路
[00:02:42.600 --> 00:02:46.000]  當我們知道要用一匹小路
[00:02:46.000 --> 00:02:48.700]  那個是主的時候
[00:02:48.700 --> 00:02:52.500]  我們就固然讓他拿走了
[00:02:52.500 --> 00:02:54.000]  求主幫助我們
[00:02:54.000 --> 00:02:57.700]  很多時候我們真的不知道
[00:02:57.700 --> 00:02:59.300]  主要容我
[00:02:59.300 --> 00:03:00.700]  主要容他
[00:03:00.700 --> 00:03:03.600]  主耶穌要使用
[00:03:03.600 --> 00:03:05.600]  所以我們就去拒絕
[00:03:05.600 --> 00:03:08.900]  我們就不願意去給
[00:03:08.900 --> 00:03:11.600]  這句話的背後
[00:03:11.600 --> 00:03:13.600]  是主所說的
[00:03:13.600 --> 00:03:15.900]  主要容他
[00:03:15.900 --> 00:03:18.800]  從此這個路的主人
[00:03:18.800 --> 00:03:22.400]  就是耶穌基督
[00:03:22.400 --> 00:03:24.600]  我們每一個人都蒙恩得救
[00:03:24.600 --> 00:03:27.400]  相信耶穌基督做救主
[00:03:27.400 --> 00:03:31.000]  相信耶穌基督做救主是白白得來的
[00:03:31.000 --> 00:03:33.200]  只要你口裡承認
[00:03:33.200 --> 00:03:34.700]  心裡相信
[00:03:34.700 --> 00:03:36.500]  主呀救我
[00:03:36.500 --> 00:03:37.800]  赦我的罪
[00:03:37.800 --> 00:03:40.700]  主就成為我的救主
[00:03:40.700 --> 00:03:44.700]  主就成為我一個的主人
[00:03:44.700 --> 00:03:47.900]  主就把他豐盛的生命
[00:03:47.900 --> 00:03:51.000]  豐盛的恩典來賜給我們
[00:03:51.000 --> 00:03:52.200]  把他的平安
[00:03:52.200 --> 00:03:53.400]  把他的滿足
[00:03:53.400 --> 00:03:54.500]  把他的救恩
[00:03:54.500 --> 00:03:56.000]  把他的恩典
[00:03:56.000 --> 00:03:57.400]  把他的大能
[00:03:57.400 --> 00:04:00.700]  把他的一切的恩惠給過我們
[00:04:00.700 --> 00:04:01.800]  從此我們說
[00:04:01.800 --> 00:04:05.900]  有主就萬事足
[00:04:05.900 --> 00:04:11.900]  但這個主不是單單要我們拿了這個恩典就夠了
[00:04:11.900 --> 00:04:15.100]  他更加要我們來做
[00:04:15.100 --> 00:04:19.800]  讓基督成為我們生命的主
[00:04:19.800 --> 00:04:23.800]  我們的生命是要被主使用
[00:04:23.800 --> 00:04:27.900]  我們的生命要被耶穌基督來統治
[00:04:27.900 --> 00:04:31.500]  所以這一個戰係是重要的
[00:04:31.500 --> 00:04:34.100]  所以主耶穌告訴我們
[00:04:34.100 --> 00:04:36.400]  主要容他的時候
[00:04:36.400 --> 00:04:37.900]  主真的要容我們
[00:04:37.900 --> 00:04:40.300]  讓我們有一個淑女眼睛
[00:04:40.300 --> 00:04:45.600]  看到一個萬鈞耶和華要容我們
[00:04:45.600 --> 00:04:47.600]  今日我們作為神的工人
[00:04:47.600 --> 00:04:49.000]  神的子民
[00:04:49.000 --> 00:04:51.800]  如果主說要用我們的時候
[00:04:51.800 --> 00:04:54.400]  我們卻是退避三蛇
[00:04:54.400 --> 00:04:58.600]  或者我們就在這裡拖拖拉拉
[00:04:58.600 --> 00:05:03.600]  我們就干犯了主的主權
[00:05:03.600 --> 00:05:05.200]  你試一下回家
[00:05:05.200 --> 00:05:07.100]  你家如果有一個工人
[00:05:07.100 --> 00:05:08.700]  你叫他煮飯
[00:05:08.700 --> 00:05:10.700]  叫他打掃
[00:05:10.700 --> 00:05:12.400]  他又拖拖拉拉
[00:05:12.400 --> 00:05:13.300]  明天先吧
[00:05:13.300 --> 00:05:14.100]  後天先吧
[00:05:14.100 --> 00:05:15.300]  你會怎樣?
[00:05:15.300 --> 00:05:16.800]  你就說
[00:05:16.800 --> 00:05:19.000]  你都不用再回來了
[00:05:19.000 --> 00:05:20.800]  你可以走了
[00:05:20.800 --> 00:05:24.000]  如果你明天上班的時候
[00:05:24.000 --> 00:05:26.000]  你的老闆跟你說
[00:05:26.000 --> 00:05:27.900]  幫我搞定這份工作去
[00:05:27.900 --> 00:05:29.800]  嘩!又多一份工作?
[00:05:29.800 --> 00:05:31.700]  又拖拖拉拉
[00:05:31.700 --> 00:05:35.200]  總之心想我不做有人做吧
[00:05:35.200 --> 00:05:36.300]  你試一下
[00:05:36.300 --> 00:05:40.700]  當你這樣侵犯一個主人的主權的時候
[00:05:40.700 --> 00:05:44.700]  很可能你又是一樣
[00:05:44.700 --> 00:05:48.700]  在公司裡面無影無蹤的了
[00:05:48.700 --> 00:05:52.000]  有一次我就去台灣旅行
[00:05:52.000 --> 00:05:53.600]  參加夜遊
[00:05:53.600 --> 00:05:55.600]  我都沒有參加過夜遊的
[00:05:55.600 --> 00:05:57.400]  參加完夜遊
[00:05:57.400 --> 00:05:58.200]  我心想
[00:05:58.200 --> 00:06:01.700]  哎呀!我小時候每天都夜遊的了
