
[00:00:00.000 --> 00:00:04.020]  以色列人聽了十個探子的回報
[00:00:04.020 --> 00:00:06.900]  就覺得神帶領我們進入加拿大
[00:00:06.900 --> 00:00:07.920]  是一件很艱難的事情
[00:00:07.920 --> 00:00:08.880]  我們還是不去了
[00:00:08.880 --> 00:00:12.680]  然後他們知道神責怪他們
[00:00:12.680 --> 00:00:16.060]  然後神說我已經不跟你同在了
[00:00:16.060 --> 00:00:18.220]  但是他們就自己拿起兵器
[00:00:18.220 --> 00:00:20.800]  一鼓作氣就衝上加拿大這個地方
[00:00:20.800 --> 00:00:21.940]  結果被打敗
[00:00:21.940 --> 00:00:28.860]  於是以色列人在既悲傷又痛苦的心情底下
[00:00:30.960 --> 00:00:34.300]  經歷了四十年抗疫的飄浪
[00:00:34.300 --> 00:00:42.080]  《大約生命記》摩西向這一羣在抗疫當中成長的第二代
[00:00:42.080 --> 00:00:44.000]  發出一個提醒
[00:00:44.000 --> 00:00:48.320]  他說你們要記得四十年來你們的流離失所
[00:00:48.320 --> 00:00:50.040]  不是因爲神沒能力
[00:00:50.040 --> 00:00:52.720]  不是你的神不行
[00:00:52.720 --> 00:00:56.920]  是因爲你們父母輩的叛逆
[00:00:59.240 --> 00:01:01.360]  由摩西向這一代的以色列人說
[00:01:01.360 --> 00:01:03.760]  你們要重新確認
[00:01:03.760 --> 00:01:08.720]  就是神在荷列山與你們的父母立了一個約
[00:01:08.720 --> 00:01:10.460]  在後面神說這個約不是與你們父母立的
[00:01:10.460 --> 00:01:11.600]  是與你們立的
[00:01:11.600 --> 00:01:15.020]  不要想着是與我父母無關的
[00:01:15.020 --> 00:01:15.960]  是傳遞下來的
[00:01:15.960 --> 00:01:16.460]  不是
[00:01:16.460 --> 00:01:21.640]  他就期望這一代的新的以色列人
[00:01:21.640 --> 00:01:23.700]  不要忘記他們的初心
[00:01:23.700 --> 00:01:27.500]  在將來的日子能夠堅定不移地
[00:01:28.320 --> 00:01:29.740]  向迦南地進發
[00:01:29.740 --> 00:01:35.160]  去拿神已經預備給他們的迦南的美地
[00:01:35.160 --> 00:01:38.920]  然後摩西在他第一篇講章
[00:01:38.920 --> 00:01:40.480]  就是《生命記》第一章第六節
[00:01:40.480 --> 00:01:41.960]  到第四章第四十節
[00:01:41.960 --> 00:01:46.560]  他與這羣第二代的以色列人講述一點點的歷史
[00:01:46.560 --> 00:01:50.280]  他說是神將我們以色列人從埃及
[00:01:50.280 --> 00:01:51.880]  我們在裏面做奴隸的
[00:01:51.880 --> 00:01:54.680]  神就是在這樣的情況下將我們帶出來
[00:01:55.000 --> 00:01:58.360]  你看回歷史裏面從來沒有一個民族
[00:01:58.360 --> 00:02:01.600]  沒有一個國家是經歷這麼大的神蹟
[00:02:01.600 --> 00:02:03.840]  而且出來之後
[00:02:03.840 --> 00:02:05.360]  由荷列山到摩亞平原
[00:02:05.360 --> 00:02:06.800]  神一路照顧我們
[00:02:06.800 --> 00:02:07.760]  一路祝福我們
[00:02:07.760 --> 00:02:08.480]  給我們食物
[00:02:08.480 --> 00:02:09.400]  給我們水喝
[00:02:09.400 --> 00:02:10.800]  甚至幫我們
[00:02:10.800 --> 00:02:14.120]  以色列人面對着當時兩個阿摩利王
[00:02:14.120 --> 00:02:15.320]  西弘和沃
[00:02:15.320 --> 00:02:16.240]  打仗的時候
[00:02:16.240 --> 00:02:17.880]  神已經幫我們戰勝
[00:02:17.880 --> 00:02:20.280]  但很可惜後來以色列人不相信神會帶領他們
[00:02:20.280 --> 00:02:21.040]  所以進不去
[00:02:22.800 --> 00:02:25.560]  第三個是神向我們啓示祂的心意
[00:02:25.560 --> 00:02:27.640]  就是要我們聽從祂的說話
[00:02:27.640 --> 00:02:30.200]  不要加添也不要刪減
[00:02:30.200 --> 00:02:32.040]  神期望的
[00:02:32.040 --> 00:02:34.720]  就是我們好好地遵守祂的命令
[00:02:34.720 --> 00:02:40.680]  第四個是神跟我們以色列人是一個盟約
[00:02:40.680 --> 00:02:42.560]  這個盟約
[00:02:42.560 --> 00:02:45.480]  就是隻有耶和華
[00:02:45.480 --> 00:02:48.880]  是我們以色列人獨一的神
[00:02:48.880 --> 00:02:50.560]  沒有其他偶像
[00:02:50.560 --> 00:02:52.360]  沒有任何其他的東西
[00:02:52.560 --> 00:02:56.120]  是可以進入我們和這位耶和華神的中間
[00:02:56.120 --> 00:02:57.480]  或者代替我們的神
[00:02:57.480 --> 00:03:02.440]  由《新命紀》4章44節到28章69節
[00:03:02.440 --> 00:03:04.680]  是摩西第二篇的講章
[00:03:04.680 --> 00:03:06.560]  或者叫第二篇的演講詞
[00:03:06.560 --> 00:03:10.520]  這麼大篇的講章可以分爲兩大部分
[00:03:10.520 --> 00:03:13.080]  5章1節到11章32節
[00:03:13.080 --> 00:03:16.960]  摩西呼籲所有第二代的以色列百姓
[00:03:16.960 --> 00:03:22.600]  讓我們信賴神和我們所立的聖約
[00:03:22.600 --> 00:03:25.920]  這個約是從阿伯拉罕開始
[00:03:25.920 --> 00:03:28.000]  一直到這個地方
[00:03:28.000 --> 00:03:31.040]  如果我們看以色列的書
[00:03:31.040 --> 00:03:32.760]  我們會發覺
[00:03:32.760 --> 00:03:35.040]  以色列帶我們去明白
[00:03:35.040 --> 00:03:39.720]  這個聖約是聖者、土地和聖民的關係
[00:03:39.720 --> 00:03:42.040]  就是我們能夠進入迦南地
[00:03:42.040 --> 00:03:43.800]  是因爲我們跟這位神有關係
[00:03:43.800 --> 00:03:44.800]  我們跟這位神有關係
[00:03:44.800 --> 00:03:46.320]  我們才能夠進入迦南地當中
[00:03:46.320 --> 00:03:48.560]  如果我們跟這位神的關係破裂了
[00:03:48.560 --> 00:03:50.440]  我們就會失去土地
[00:03:50.440 --> 00:03:52.000]  三者不能分割
[00:03:52.000 --> 00:03:55.480]  摩西在這段宣講的開始
[00:03:55.480 --> 00:03:56.400]  特別提醒以色列人
[00:03:56.400 --> 00:03:58.400]  他說神跟我們先祖所立的約
[00:03:58.400 --> 00:03:59.480]  不是一箇舊的約
[00:03:59.480 --> 00:04:02.760]  他說這個約不是隻跟你們父母立的
