
[00:00:00.000 --> 00:00:02.440]  Hello 弟兄姊妹 你好
[00:00:02.440 --> 00:00:05.000]  想不到香港的第五波疫情
[00:00:05.000 --> 00:00:07.760]  是蔓延到這麼嚴重的地步
[00:00:07.760 --> 00:00:10.240]  教會仍然要關閉
[00:00:10.240 --> 00:00:12.600]  除了職工之外
[00:00:12.600 --> 00:00:14.280]  其他人都不可以進入
[00:00:14.280 --> 00:00:16.800]  但我們感恩上帝讓我們可以在網上
[00:00:16.800 --> 00:00:18.800]  真的有一起聽道
[00:00:18.800 --> 00:00:20.880]  一起去敬拜的時間
[00:00:20.880 --> 00:00:22.280]  我慢慢在小組裏
[00:00:22.280 --> 00:00:24.000]  都看到弟兄姊妹很踴躍地
[00:00:24.000 --> 00:00:25.840]  返回Zoom小組
[00:00:25.840 --> 00:00:28.200]  因為大家都覺得在這個困境裏
[00:00:28.200 --> 00:00:31.200]  真是難得有班弟兄姊妹是相知相識
[00:00:31.200 --> 00:00:32.520]  我們彼此相愛
[00:00:32.520 --> 00:00:35.120]  可以有多少憂慮不開心的事
[00:00:35.120 --> 00:00:38.800]  都可以向小組的組員分享
[00:00:38.800 --> 00:00:40.960]  並且我們一起去禱告
[00:00:40.960 --> 00:00:42.880]  其實今天的主題是
[00:00:42.880 --> 00:00:45.520]  「問世間情是何物」
[00:00:45.520 --> 00:00:46.960]  為甚麼我會這樣定呢
[00:00:46.960 --> 00:00:48.160]  其實當初不知道
[00:00:48.160 --> 00:00:51.040]  原來我們是在一個這麼困苦的日子裏面
[00:00:51.040 --> 00:00:52.600]  只不過去定這個題目
[00:00:52.600 --> 00:00:54.600]  是因為日子的問題
[00:00:54.600 --> 00:00:56.200]  大家都知道
[00:00:56.200 --> 00:00:59.000]  下星期一就是我們的情人節
[00:00:59.000 --> 00:01:01.120]  所以可能你的情人在你旁邊
[00:01:01.120 --> 00:01:03.120]  無論他是大還是小的那個
[00:01:03.120 --> 00:01:06.320]  希望你跟他說一聲情人節快樂
[00:01:06.320 --> 00:01:09.400]  在這個日子裏面去說愛、改情
[00:01:09.400 --> 00:01:12.120]  我都覺得都是有點意思的
[00:01:12.120 --> 00:01:14.600]  「問世間情是何物」
[00:01:14.600 --> 00:01:16.800]  直交死生相許
[00:01:16.800 --> 00:01:18.600]  或者生死相許
[00:01:18.600 --> 00:01:19.800]  這個是很出名的
[00:01:19.800 --> 00:01:22.000]  出自金庸小說裏面的故事
[00:01:22.000 --> 00:01:24.400]  每一個人一說到愛情
[00:01:24.400 --> 00:01:27.000]  無論在甚麼年紀都會很雀躍
[00:01:27.000 --> 00:01:30.800]  大家都會在心裏面有一絲絲的嫩意
[00:01:30.800 --> 00:01:33.800]  又或者有一絲絲的躁意
[00:01:33.800 --> 00:01:36.800]  又或者有一點點酸的味道
[00:01:36.800 --> 00:01:38.400]  不知道你怎樣去看愛情
[00:01:38.400 --> 00:01:41.400]  但是在聖經裏面怎樣去看愛情呢
[00:01:41.400 --> 00:01:42.800]  原來我們這本書
[00:01:42.800 --> 00:01:45.200]  這本聖經也被稱為
[00:01:45.200 --> 00:01:48.600]  上帝寫給世人的一個情書
[00:01:48.600 --> 00:01:52.200]  在聖經雅歌第八章的第七節裏這樣說
[00:01:52.200 --> 00:01:55.000]  愛情縱水不能熄滅
[00:01:55.000 --> 00:01:57.000]  大水也不能淹沒
[00:01:57.000 --> 00:02:00.800]  若有人拿家莊所有的財寶要換愛情
[00:02:00.800 --> 00:02:03.200]  就全被藐視
[00:02:03.200 --> 00:02:04.800]  經文講得很清楚
[00:02:04.800 --> 00:02:08.600]  其實他對於愛情都有一個很高很高的評價
[00:02:08.600 --> 00:02:13.600]  對於那些想用其他東西去交換愛情
[00:02:13.600 --> 00:02:15.800]  是會被人藐視的
[00:02:15.800 --> 00:02:17.600]  其實我們說愛情
[00:02:17.600 --> 00:02:21.000]  好像只是在說男女之間的男歡女愛
[00:02:21.000 --> 00:02:23.400]  但是其實說愛在聖經裏面
[00:02:23.400 --> 00:02:28.400]  也不單止是男女之間的那種歡愛
[00:02:28.400 --> 00:02:31.200]  某程度來說世間說情說愛
[00:02:31.200 --> 00:02:34.400]  是引伸了很多很多不同的關係
[00:02:34.400 --> 00:02:36.400]  當然情人節帶來給我們想的
[00:02:36.400 --> 00:02:37.800]  一定是愛情
[00:02:37.800 --> 00:02:39.400]  但是大家不要忘記
[00:02:39.400 --> 00:02:41.200]  還有一個很重要的就是什麼
[00:02:41.200 --> 00:02:42.400]  親子情
[00:02:42.400 --> 00:02:44.400]  可能現在我們這些姐妹
[00:02:44.400 --> 00:02:46.400]  抱著的那個未必是你老公
