
[00:00:00.000 --> 00:00:02.920]  在教會慶祝二十週年的時刻,
[00:00:02.920 --> 00:00:06.300]  一方面我們真的要為神過去二十年
[00:00:06.300 --> 00:00:09.920]  在我們教會所成就的工作線上感謝。
[00:00:09.920 --> 00:00:13.900]  在人數上,我們教會從當初的七十人,
[00:00:13.900 --> 00:00:17.160]  一直增長到現在三千人的會中。
[00:00:17.160 --> 00:00:20.240]  從當初只有六個小組,
[00:00:20.240 --> 00:00:23.500]  一直增長到現在有一百五十多個小組。
[00:00:23.500 --> 00:00:26.700]  從一堂的崇拜,我們也增長到現在,
[00:00:26.700 --> 00:00:29.040]  在中文我們有四堂崇拜,
[00:00:29.040 --> 00:00:31.200]  在英文Adult一堂崇拜,
[00:00:31.200 --> 00:00:34.040]  高中一堂崇拜,初中一堂崇拜,
[00:00:34.040 --> 00:00:36.380]  還有Ignite一堂崇拜。
[00:00:36.380 --> 00:00:39.660]  加起來,主日我們有八堂的崇拜。
[00:00:39.660 --> 00:00:43.260]  在宣教施工上,我們從一間堂會
[00:00:43.260 --> 00:00:46.900]  一直成長到現在一百四十間分堂。
[00:00:46.900 --> 00:00:51.440]  從一個國家,我們現在發展到二十個國家。
[00:00:51.440 --> 00:00:55.200]  我們最近有分堂的國家就是緬甸,
[00:00:55.200 --> 00:00:57.240]  我們剛剛才從緬甸回來這裡
[00:00:57.240 --> 00:00:59.420]  設立一個新的分堂在那裡。
[00:00:59.420 --> 00:01:02.240]  我們的施工也從一個揚州,
[00:01:02.240 --> 00:01:08.940]  從北美一直擴展到非洲、亞洲、歐洲、大揚州,
[00:01:08.940 --> 00:01:11.920]  一共遍佈五大揚州。
[00:01:11.920 --> 00:01:15.540]  在轉化的施工上,我們也成立了基金會、
[00:01:15.540 --> 00:01:18.840]  生命和教育學院以及優勢頻道。
[00:01:18.840 --> 00:01:21.140]  當我們回頭來看的時候,
[00:01:21.140 --> 00:01:23.540]  我們不能夠不稀奇,
[00:01:23.540 --> 00:01:27.540]  第二點,我們真的有一個偉大奇妙的真神,
[00:01:27.540 --> 00:01:33.580]  而且祂竟然樂意檢選我們來與祂同工。
[00:01:33.580 --> 00:01:36.220]  在去年年度金號會議的時候,
[00:01:36.220 --> 00:01:39.620]  我們就為今年定下了一個主題,
[00:01:39.620 --> 00:01:43.720]  叫傳承恩高,共創新局。
[00:01:43.720 --> 00:01:47.020]  我們相信神的心意不是要我們停留在這裡,
[00:01:47.020 --> 00:01:49.020]  只是感恩而已。
[00:01:49.020 --> 00:01:53.620]  我們相信神要繼續帶領這個教會繼續向前,Amen!
