
[00:00:00.000 --> 00:00:05.000]  請我們低頭我們一齊同心祈禱
[00:00:05.000 --> 00:00:07.000]  親愛的天父
[00:00:07.000 --> 00:00:10.000]  你是那位看顧我們
[00:00:10.000 --> 00:00:12.000]  引導我們
[00:00:12.000 --> 00:00:14.000]  常與我們同在的神
[00:00:14.000 --> 00:00:17.000]  在我們每天生活的裏面
[00:00:17.000 --> 00:00:19.000]  你都帶領我們
[00:00:19.000 --> 00:00:24.000]  雖然最近社會上有很多的變動
[00:00:24.000 --> 00:00:27.000]  但我們知道你仍然坐著為王
[00:00:27.000 --> 00:00:30.000]  我們可以仰望你
[00:00:30.000 --> 00:00:32.000]  仰望你自己的大名
[00:00:32.000 --> 00:00:36.000]  更加叫我們將我們前面的道路
[00:00:36.000 --> 00:00:40.000]  我們都能夠全然的投靠你
[00:00:40.000 --> 00:00:42.000]  多謝你讓我們今天
[00:00:42.000 --> 00:00:45.000]  能夠回到你的殿中
[00:00:45.000 --> 00:00:48.000]  我們同心的來敬拜你
[00:00:48.000 --> 00:00:53.000]  求你叫我們都能夠將我們的心歸給你
[00:00:53.000 --> 00:00:57.000]  我們好需要你的話
[00:00:57.000 --> 00:00:59.000]  成為我們生活的力量
[00:00:59.000 --> 00:01:02.000]  成為我們腳前的燈
[00:01:02.000 --> 00:01:05.000]  求你就將你的話
[00:01:05.000 --> 00:01:07.000]  你都賜給我們
[00:01:07.000 --> 00:01:09.000]  幫助我們
[00:01:09.000 --> 00:01:11.000]  聽我們的祈禱
[00:01:11.000 --> 00:01:14.000]  奉耶穌基督的名求
[00:01:14.000 --> 00:01:17.000]  阿們
[00:01:17.000 --> 00:01:20.000]  我想起過去一個禮拜
[00:01:20.000 --> 00:01:23.000]  無論香港或者世界
[00:01:23.000 --> 00:01:26.000]  是發生了很多事
[00:01:26.000 --> 00:01:30.000]  我不知道你的感受是怎樣
[00:01:30.000 --> 00:01:32.000]  可能我們都會覺得
[00:01:32.000 --> 00:01:34.000]  有很多東西
[00:01:34.000 --> 00:01:40.000]  根本不在我們控制的範圍裏面
[00:01:40.000 --> 00:01:44.000]  其實不單止政治環境
[00:01:44.000 --> 00:01:47.000]  不受我們的控制
[00:01:47.000 --> 00:01:50.000]  其實我們的生命裏面
[00:01:50.000 --> 00:01:57.000]  有很多東西都不是我們自己可以控制的
[00:01:57.000 --> 00:02:00.000]  有一位媽媽
[00:02:00.000 --> 00:02:03.000]  她已經有兩個女兒
[00:02:03.000 --> 00:02:07.000]  但是後來她卻是很意外地
[00:02:07.000 --> 00:02:11.000]  發覺自己懷孕了
[00:02:11.000 --> 00:02:18.000]  但是她和先生都仍然期待寶寶的出生
[00:02:18.000 --> 00:02:21.000]  於是她就開始找了一位醫生
[00:02:21.000 --> 00:02:24.000]  做產前的檢查
[00:02:24.000 --> 00:02:28.000]  一直見醫生都沒有什麼問題
[00:02:28.000 --> 00:02:31.000]  但是當寶寶去到十幾個禮拜
[00:02:31.000 --> 00:02:33.000]  接近二十個禮拜的時候
[00:02:33.000 --> 00:02:36.000]  突然之間這個醫生
[00:02:36.000 --> 00:02:39.000]  好像很凝重地跟她說
[00:02:39.000 --> 00:02:43.000]  我發覺你的胎兒可能有些問題
[00:02:43.000 --> 00:02:49.000]  我要安排幫你做一次更深入的檢查
[00:02:49.000 --> 00:02:53.000]  誰不知那次深入的檢查
[00:02:53.000 --> 00:02:58.000]  就發覺她的胎兒非常獨特
[00:02:58.000 --> 00:03:03.000]  原來是沒有了頭蓋骨的
[00:03:03.000 --> 00:03:06.000]  醫生就說沒有了頭蓋骨
[00:03:06.000 --> 00:03:10.000]  出生之後很可能會缺氧
[00:03:10.000 --> 00:03:16.000]  我們不知道這個寶寶可以活得多久
[00:03:16.000 --> 00:03:19.000]  請你回去跟你的先生商量
[00:03:19.000 --> 00:03:24.000]  你們是否還要這個寶寶
[00:03:24.000 --> 00:03:30.000]  他們夫婦二人都是很敬虔的基督徒
[00:03:30.000 --> 00:03:33.000]  他們心裡雖然很難受
[00:03:33.000 --> 00:03:36.000]  但是卻來到神的面前
[00:03:36.000 --> 00:03:39.000]  很懇切地祈禱
[00:03:39.000 --> 00:03:43.000]  求神賜智慧給他們
[00:03:43.000 --> 00:03:46.000]  讓他們知道怎樣
[00:03:46.000 --> 00:03:54.000]  結果他們決定要迎接這個寶寶出生
[00:03:54.000 --> 00:03:57.000]  醫生說最理想的情況
[00:03:57.000 --> 00:04:00.000]  就是不要穿了羊水
[00:04:00.000 --> 00:04:04.000]  讓胎膜可以包著頭
[00:04:04.000 --> 00:04:08.000]  讓寶寶可以滑出來
[00:04:08.000 --> 00:04:10.000]  結果真的是這樣
