
[00:00:00.000 --> 00:00:03.080]  年青的時候我上主一學
[00:00:03.080 --> 00:00:07.560]  當時我記得有位弟兄問導師一個問題
[00:00:07.560 --> 00:00:09.200]  這個問題也很有意思的
[00:00:09.200 --> 00:00:11.320]  不知道你有沒有問過呢
[00:00:11.320 --> 00:00:12.680]  他問導師
[00:00:12.680 --> 00:00:18.480]  為什麼我們今天不需要去遵守舊約的律法呢?
[00:00:18.480 --> 00:00:22.720]  為什麼我們今天不需要守十戒呢?
[00:00:22.720 --> 00:00:28.760]  為什麼有些教會會守安息日呢?
[00:00:28.760 --> 00:00:31.520]  你有沒有想過這個問題的答案呢?
[00:00:31.520 --> 00:00:32.560]  如果有人問你
[00:00:32.560 --> 00:00:35.160]  你又會怎樣回答呢?
[00:00:35.160 --> 00:00:39.720]  我記得當時導師引用羅馬書六章十四節作回答
[00:00:39.720 --> 00:00:41.440]  他告訴那位弟兄
[00:00:41.440 --> 00:00:44.120]  因為我們不是活在律法之下
[00:00:44.120 --> 00:00:46.440]  而是活在因典之下
[00:00:46.440 --> 00:00:47.160]  換句話說
[00:00:47.160 --> 00:00:48.960]  我們不是活在舊約裡面
[00:00:48.960 --> 00:00:50.800]  我們活在新約裡面
[00:00:50.800 --> 00:00:54.960]  所以我們就不需要遵守舊約了
[00:00:54.960 --> 00:00:57.440]  不知道你滿不滿意這個答案
[00:00:57.440 --> 00:00:59.360]  又同不同意這個答案呢?
[00:00:59.360 --> 00:01:01.280]  又或者正確答案是什麼呢?
[00:01:01.280 --> 00:01:04.440]  看看今天講道裡面你能不能找到
[00:01:04.440 --> 00:01:05.840]  在上一個月
[00:01:05.840 --> 00:01:08.640]  主耶穌基督的延訓系列的第一講裡面
[00:01:08.640 --> 00:01:12.360]  我跟大家講過登山補訓裡面的八福
[00:01:12.360 --> 00:01:14.200]  今天我想跟大家講一下
[00:01:14.200 --> 00:01:15.680]  就是耶穌接著講的
[00:01:15.680 --> 00:01:20.440]  是向每個門徒頒佈的天國裡面的憲法
[00:01:20.440 --> 00:01:22.760]  在這個天國的憲法裡面
[00:01:22.760 --> 00:01:24.600]  耶穌基督一方面指出了
[00:01:24.600 --> 00:01:27.120]  距離不是要廢掉舊約的律法
[00:01:27.120 --> 00:01:29.600]  而是要成全所有的律法
[00:01:29.600 --> 00:01:31.520]  但是在成全的同時
[00:01:31.520 --> 00:01:35.160]  祂要我們每一個人能夠超越舊約的律法
[00:01:35.160 --> 00:01:36.840]  所以告訴我們
[00:01:36.840 --> 00:01:38.320]  我們的義
[00:01:38.320 --> 00:01:41.440]  如果不勝過民事和法利賽人的義
[00:01:41.440 --> 00:01:44.320]  就斷不能進天國
[00:01:44.320 --> 00:01:45.680]  因為這樣的緣故
[00:01:45.680 --> 00:01:47.440]  耶穌基督要求門徒
[00:01:47.440 --> 00:01:50.680]  不像當時的民事和法利賽人一樣
[00:01:50.680 --> 00:01:52.920]  當時的民事和法利賽人
[00:01:52.920 --> 00:01:55.160]  他們生活是相當敬虔的
[00:01:55.160 --> 00:01:58.440]  但是他們是嚴格地遵守著律法的
[00:01:58.440 --> 00:02:00.080]  耶穌告訴我們
[00:02:00.080 --> 00:02:02.000]  我們要超越他們
[00:02:02.000 --> 00:02:05.120]  讓他們過一個更加超越的生活
[00:02:05.120 --> 00:02:08.400]  讓他們守律法更加地超越
[00:02:08.400 --> 00:02:09.840]  換言之
[00:02:09.840 --> 00:02:11.080]  十幾年前
[00:02:11.080 --> 00:02:13.240]  那位同學所問的問題
