
[00:00:00.000 --> 00:00:03.960]  傳福音是我們每個基督徒的使命,也是我們的責任。
[00:00:03.960 --> 00:00:07.060]  但是,傳福音至少有兩方面的挑戰。
[00:00:07.060 --> 00:00:13.540]  第一個挑戰,是要幫助人明白有一位愛他們的神和耶穌基督。
[00:00:13.540 --> 00:00:18.640]  第二個挑戰,是幫助他們明白他們是有罪的人。
[00:00:18.640 --> 00:00:21.180]  因為有許多人,他們不認為自己有罪,
[00:00:21.180 --> 00:00:23.560]  他說我們沒有殺人放火,怎麼會有罪呢?
[00:00:23.560 --> 00:00:26.300]  但在《羅馬書》第三章二十三節,告訴我們說,
[00:00:26.300 --> 00:00:29.600]  四人都犯了罪,虧欠了神的榮耀。
[00:00:29.600 --> 00:00:34.260]  那是說,我們四人無法達到神所定的聖潔公義的標準,
[00:00:34.260 --> 00:00:37.520]  因此我們每個人都是罪人。
[00:00:37.520 --> 00:00:43.400]  有一天,老張死了,到天堂去。
[00:00:43.400 --> 00:00:47.180]  聖彼得就帶他到一個很長的走廊。
[00:00:47.180 --> 00:00:50.400]  走廊兩邊就有許多的時鐘。
[00:00:50.400 --> 00:00:56.860]  每個時鐘都按著不同的速度,它的時針在走動。
[00:00:57.200 --> 00:01:00.700]  聖彼得就解釋說,每個人都有一個時鐘,
[00:01:00.700 --> 00:01:05.320]  當這個人犯罪的時候,他的時鐘的時針就會走動一下。
[00:01:05.320 --> 00:01:09.300]  他犯罪越多,時鐘的時針就走動得越快。
[00:01:09.300 --> 00:01:13.900]  老張就看到旁邊一個時鐘的時針幾乎沒動。
[00:01:13.900 --> 00:01:19.300]  聖彼得就說,那是佈道家、克北里、比利·格雷亨的時鐘。
[00:01:19.300 --> 00:01:24.620]  另外一個時鐘,看起來這時鐘的時針走得非常緩慢。
[00:01:24.820 --> 00:01:29.900]  聖彼得說,那是德蘭修女瑪德·特麗莎的時鐘。
[00:01:29.900 --> 00:01:34.180]  這時候,老張就很好奇,忍不住就問說,
[00:01:34.180 --> 00:01:36.380]  我可不可以看看我的時鐘呢?
[00:01:36.380 --> 00:01:39.180]  聖彼得說,當然可以啊!
[00:01:39.180 --> 00:01:43.780]  我們把你的時鐘放在辦公室內,當作風扇來使用。
[00:01:43.780 --> 00:01:49.060]  高手旁邊有人說,四個人都犯了罪,
[00:01:49.060 --> 00:01:54.080]  我們都需要救助耶穌基督。阿們!
[00:01:54.860 --> 00:01:57.780]  這是為什麼在7月份14號到27號,
[00:01:57.780 --> 00:02:01.220]  我們舉辦了14天的醫治佈道大會。
[00:02:01.220 --> 00:02:03.820]  多少人來參加過呢?
[00:02:03.820 --> 00:02:06.260]  哇!很多人來參加過啊!感謝善美主。
[00:02:06.260 --> 00:02:09.100]  如果你忘記了,我們看看這兩張相片,複習一下。
