
[00:00:00.000 --> 00:00:01.400]  我們讀一節聖經
[00:00:01.400 --> 00:00:05.240]  在希伯來書第十二章第一節
[00:00:05.240 --> 00:00:07.640]  這次我們既有這許多的見證人
[00:00:07.640 --> 00:00:09.940]  如同雲彩圍著我們
[00:00:09.940 --> 00:00:11.900]  就當放下各樣的重擔
[00:00:11.900 --> 00:00:14.300]  脫去容易殘累我們的罪
[00:00:14.300 --> 00:00:15.760]  存心忍耐
[00:00:15.760 --> 00:00:20.960]  奔那擺在我們前頭的路程
[00:00:20.960 --> 00:00:23.360]  從去年三月份開始
[00:00:23.360 --> 00:00:26.600]  加州頒布了居家隔離的法令
[00:00:26.600 --> 00:00:30.140]  直到如今已經將近一年了
[00:00:30.140 --> 00:00:34.360]  一開始我們以為這個疫情很快就要過去
[00:00:34.360 --> 00:00:39.500]  沒想到直到如今還是沒完沒了
[00:00:39.500 --> 00:00:41.500]  我相信這段時間
[00:00:41.500 --> 00:00:44.260]  無論你是多麼個性開朗的人
[00:00:44.260 --> 00:00:48.000]  我們每一個人都有一種被悶瘋了的感覺
[00:00:48.000 --> 00:00:49.440]  不是嗎
[00:00:49.440 --> 00:00:51.360]  我還記得上個禮拜二
[00:00:51.360 --> 00:00:54.500]  Santa Clara County縣政府的一個官員
[00:00:54.500 --> 00:00:59.040]  在他們縣政府的電子報上訪問我
[00:00:59.040 --> 00:01:04.340]  特別關於教會怎麼面對現今的疫情這件事情
[00:01:04.340 --> 00:01:11.960]  他特別提到縣政府有關於教會室內聚會的一個規定
[00:01:11.960 --> 00:01:16.200]  本來是可以開始室內聚會
[00:01:16.200 --> 00:01:22.040]  可是現在這個室內聚會的這樣一個規定又被禁止了
[00:01:22.040 --> 00:01:26.360]  他就問我說教會怎麼來反應
[00:01:26.360 --> 00:01:32.100]  我說一方面我們非常理解政府在各方面的考量
[00:01:32.100 --> 00:01:37.400]  但另一方面我們要必須表達我們非常的失望
[00:01:37.400 --> 00:01:41.500]  因為我們已經準備好要開始來聚會了
[00:01:41.500 --> 00:01:46.000]  他聽完了他就點點頭說他也能夠理解
[00:01:46.000 --> 00:01:53.440]  雖然我們大家都理解不過還是大家都無可奈何
[00:01:53.440 --> 00:01:58.340]  我相信這是我們在疫情當中一個共同的經驗
[00:01:58.340 --> 00:02:04.300]  在疫情當中有太多我們想要做的事情沒辦法做
[00:02:04.300 --> 00:02:08.140]  有太多想要見的人沒辦法見
[00:02:08.140 --> 00:02:12.060]  很多想去的地方沒辦法去
[00:02:12.060 --> 00:02:18.840]  甚至很多我們很想發書的情感也無處可以發書
[00:02:18.840 --> 00:02:24.400]  很多時候雖然日常生活還是不斷的在進行
[00:02:24.400 --> 00:02:30.140]  可是好像在我們生命當中有一種陰霾的籠罩
