
[00:00:00.000 --> 00:00:02.180]  明天是母親節
[00:00:02.180 --> 00:00:07.140]  我在這裡先預祝各位準母親
[00:00:07.140 --> 00:00:09.820]  在母親節平安喜樂
[00:00:09.820 --> 00:00:14.540]  我們在今天的講題是母親的抉擇
[00:00:14.540 --> 00:00:16.760]  我選擇完之後才發覺
[00:00:16.760 --> 00:00:19.680]  好像跟一個機構的名字一樣
[00:00:19.680 --> 00:00:22.600]  這個完全沒有關係的
[00:00:22.600 --> 00:00:24.080]  我純粹是想表達
[00:00:24.080 --> 00:00:26.520]  今天幾位母親的決定
[00:00:26.520 --> 00:00:29.680]  都可能幫到我們一些做抉擇的原則
[00:00:30.160 --> 00:00:31.800]  好,我們先同心禱告
[00:00:31.800 --> 00:00:37.760]  周凱天父,我們求祢祝福去使用講的
[00:00:37.760 --> 00:00:40.000]  讓我成為祢的器皿
[00:00:40.000 --> 00:00:41.840]  是講出祢的說話
[00:00:41.840 --> 00:00:45.440]  求祢祝福去幫助引導聽的
[00:00:45.440 --> 00:00:49.640]  我們的心能夠被祢的話去更新改變
[00:00:49.640 --> 00:00:50.920]  被祢建立
[00:00:50.920 --> 00:00:52.920]  我們同心仰望祢
[00:00:52.920 --> 00:00:54.920]  奉耶穌基督的聖名
[00:00:54.920 --> 00:00:56.240]  阿門
[00:00:56.240 --> 00:01:01.280]  在體操界有一個名將
[00:01:01.280 --> 00:01:04.000]  他的名字叫卓索維天娜
[00:01:04.000 --> 00:01:06.000]  這是他的譯音
[00:01:06.000 --> 00:01:08.760]  是一個很傳奇的體操運動員
[00:01:08.760 --> 00:01:12.080]  在1992年在巴塞奧運
[00:01:12.080 --> 00:01:15.360]  他代表蘇聯拿到一個體操的金牌
[00:01:15.360 --> 00:01:19.480]  96年亞特蘭大奧運他繼續去參加
[00:01:19.480 --> 00:01:22.720]  到了97年他就結婚了
[00:01:22.720 --> 00:01:27.400]  結婚之後兩年後就生了兒子
[00:01:27.400 --> 00:01:28.800]  他的兒子叫亞歷什
[00:01:28.800 --> 00:01:30.600]  就是他的譯音
[00:01:30.600 --> 00:01:32.280]  但是好景不常
[00:01:32.280 --> 00:01:38.040]  在2002年亞歷什被驗出患了血癌
[00:01:38.040 --> 00:01:42.360]  由於他去醫血癌的費用是昂貴的
[00:01:42.360 --> 00:01:46.440]  卓索維天娜和她的丈夫不是很富裕
[00:01:46.440 --> 00:01:53.520]  他們賣房子賣車去應付很高昂的醫藥費
[00:01:53.520 --> 00:01:55.640]  其實到了那個年紀
[00:01:55.640 --> 00:01:59.000]  卓索維天娜本來打算退役
[00:01:59.000 --> 00:02:04.040]  但是這位媽媽有一個很堅強的抉擇
[00:02:04.040 --> 00:02:05.840]  一個很勇敢的抉擇
[00:02:05.840 --> 00:02:08.400]  就是繼續參賽
[00:02:08.400 --> 00:02:13.480]  她要通過參賽拿到獎金來醫治兒子
[00:02:13.480 --> 00:02:16.760]  在2002年因為當時蘇聯解體了
[00:02:16.760 --> 00:02:20.280]  她代表她的祖國烏茲別克
[00:02:20.280 --> 00:02:23.000]  參加釜山亞運
[00:02:23.000 --> 00:02:30.240]  她當時以27歲的高齡去參加亞運的體操
[00:02:30.240 --> 00:02:34.160]  但是拿到跳馬和自由體操的金牌
[00:02:34.160 --> 00:02:37.760]  那一屆真的震驚世界
[00:02:37.760 --> 00:02:42.520]  但是由於在烏茲別克的醫療沒有那麼先進
[00:02:42.520 --> 00:02:47.360]  在德國的科農醫血癌當時是比較先進的
[00:02:47.360 --> 00:02:52.480]  在2002年他們舉家搬到德國
[00:02:52.480 --> 00:02:56.320]  卓索維天娜日以繼夜去訓練
[00:02:56.320 --> 00:02:58.240]  她的回憶是這樣說的
[00:02:58.240 --> 00:03:01.720]  如果我不參加比賽就沒有獎金
[00:03:01.720 --> 00:03:04.680]  阿里什就不能夠生存
[00:03:04.680 --> 00:03:06.760]  事情就是這麼簡單
[00:03:06.760 --> 00:03:09.240]  我根本沒得選的
[00:03:09.240 --> 00:03:14.080]  她是要透過去參賽拿到獎金
[00:03:14.080 --> 00:03:17.520]  然後去醫治她的兒子
[00:03:17.520 --> 00:03:21.040]  所以當時很多比較年輕的選手
[00:03:21.040 --> 00:03:24.280]  去參加體操就是參加單項
[00:03:24.280 --> 00:03:27.920]  她通常一報就報完四個體操項目
[00:03:27.920 --> 00:03:31.440]  因為想多一點的獎金
[00:03:31.440 --> 00:03:34.680]  她當時經常有這個想法就是
[00:03:34.680 --> 00:03:40.200]  不可以病、不可以傷、不可以退
[00:03:40.200 --> 00:03:42.320]  她一退下來或者傷病
[00:03:42.320 --> 00:03:47.360]  她就沒辦法去籌到錢去醫治她的兒子
[00:03:47.360 --> 00:03:49.880]  卓索維天娜後來入籍了德國
[00:03:49.880 --> 00:03:52.680]  在2008年的北京奧運
[00:03:52.680 --> 00:03:55.640]  她為德國拿到一個銀牌
[00:03:55.640 --> 00:03:58.160]  她沒有停止參加奧運的
[00:03:58.160 --> 00:04:01.320]  在對上一屆大家記得里約奧運
[00:04:01.320 --> 00:04:09.280]  她以41歲的高齡再一次代表烏茲別克參加奧運
[00:04:09.280 --> 00:04:10.600]  其實想都沒想過的
[00:04:10.600 --> 00:04:15.040]  一個41歲的人參加奧運
[00:04:15.040 --> 00:04:18.280]  其實她是有史以來第一位
[00:04:18.280 --> 00:04:22.080]  參加過七屆奧運的選手
[00:04:22.080 --> 00:04:24.160]  其實如果據報導
