
[00:00:00.000 --> 00:00:02.000]  大家早晨,大家早上好
[00:00:02.000 --> 00:00:03.000]  願你們平安
[00:00:03.000 --> 00:00:04.000]  願大家平安
[00:00:04.000 --> 00:00:07.000]  今天這個講題,面對人生
[00:00:07.000 --> 00:00:11.000]  今天的主題是,講題是面對人生
[00:00:11.000 --> 00:00:14.000]  說起人生這兩個字呢
[00:00:14.000 --> 00:00:16.000]  說起人生這兩個字
[00:00:16.000 --> 00:00:18.000]  想起很多年前曾經有一個長輩
[00:00:18.000 --> 00:00:21.000]  我就想起很多年前曾經有一個長輩
[00:00:21.000 --> 00:00:23.000]  他在幾家人聚會上說過一句話
[00:00:23.000 --> 00:00:26.000]  他在幾家人的聚會當中說過一句話
[00:00:26.000 --> 00:00:28.000]  他說呀,生活呀
[00:00:28.000 --> 00:00:31.000]  他說生很容易
[00:00:31.000 --> 00:00:32.000]  生很容易
[00:00:32.000 --> 00:00:33.000]  活著不容易
[00:00:33.000 --> 00:00:35.000]  但是活著卻不容易
[00:00:35.000 --> 00:00:40.000]  所以如果基督徒憑著信心面對人生的話
[00:00:40.000 --> 00:00:43.000]  所以如果基督徒憑著信心面對人生的話
[00:00:43.000 --> 00:00:45.000]  那到底是容易還是不容易
[00:00:45.000 --> 00:00:47.000]  那究竟是容易還是不容易呢
[00:00:47.000 --> 00:00:51.000]  這真是很值得我們去思考和在生活中去反省的
[00:00:51.000 --> 00:00:54.000]  這真是很值得我們思考和在生活中去反應
[00:00:54.000 --> 00:00:59.000]  如今其實是一個物質主義盛行的時代
[00:00:59.000 --> 00:01:03.000]  如今確實是一個物質主義盛行的時代
[00:01:03.000 --> 00:01:06.000]  物質主義其實說白了什麼意思
[00:01:06.000 --> 00:01:09.000]  這個物質主義講白了是什麼意思呢
[00:01:09.000 --> 00:01:13.000]  就是說我物質越豐富,東西越多
[00:01:13.000 --> 00:01:17.000]  就是說物質越豐富,你所擁有的東西越多
[00:01:17.000 --> 00:01:19.000]  然後越多錢
[00:01:19.000 --> 00:01:22.000]  然後越有名聲
[00:01:22.000 --> 00:01:25.000]  我就一定很幸福
[00:01:25.000 --> 00:01:26.000]  我就一定很幸福
[00:01:26.000 --> 00:01:30.000]  我以追求這些東西為追求人生幸福
[00:01:30.000 --> 00:01:34.000]  我以追求這些東西作為追求人生的幸福
[00:01:34.000 --> 00:01:48.000]  如今人世間的各種各樣的經濟上的各種方式和表達
[00:01:48.000 --> 00:01:51.000]  經常日新月異
[00:01:51.000 --> 00:01:56.000]  如今又有一個新的經濟形態
[00:01:56.000 --> 00:01:58.000]  如今一種新的經濟形態
[00:01:58.000 --> 00:02:02.000]  叫網紅經濟
[00:02:02.000 --> 00:02:05.000]  就是在網絡世界裡如果你有名了
[00:02:05.000 --> 00:02:09.000]  就是說在網絡世界裡如果你很有名的話
[00:02:09.000 --> 00:02:11.000]  然後很多人點贊
[00:02:11.000 --> 00:02:13.000]  有很多人在你那裡點贊
[00:02:13.000 --> 00:02:14.000]  很多人當你的粉絲
[00:02:14.000 --> 00:02:16.000]  很多人做你的粉絲
[00:02:16.000 --> 00:02:18.000]  很多人轉發你的東西
[00:02:18.000 --> 00:02:20.000]  很多人轉發你的東西
[00:02:20.000 --> 00:02:22.000]  然後你就很紅
[00:02:22.000 --> 00:02:25.000]  然後你就會有名
[00:02:25.000 --> 00:02:30.000]  然後就會帶來很多物質上的回報
[00:02:30.000 --> 00:02:37.000]  其中網紅經濟最極端的一種表現
[00:02:37.000 --> 00:02:39.000]  就是主播
[00:02:39.000 --> 00:02:48.000]  我不知道你們有沒有人看過網上的一些直播間
[00:02:48.000 --> 00:02:52.000]  那個主播不都是小女孩
[00:02:52.000 --> 00:02:55.000]  那些主播不只是那些年輕的女孩
[00:02:55.000 --> 00:02:59.000]  也有不是很年輕的也有男的
[00:02:59.000 --> 00:03:02.000]  也有一些不是那麼年輕的也有男的
[00:03:02.000 --> 00:03:05.000]  但是他們在直播的時候
[00:03:05.000 --> 00:03:09.000]  他們有非常多的人同時在觀看
[00:03:09.000 --> 00:03:14.000]  他們在直播的時候有很多的人同時在線觀看
[00:03:14.000 --> 00:03:19.000]  而且他們的規矩是你可以打賞給這個主播
[00:03:19.000 --> 00:03:22.000]  而且他們的規矩是你還可以打賞給這個主播
[00:03:22.000 --> 00:03:24.000]  你看這個東西可以滿足一個人的虛榮心
[00:03:24.000 --> 00:03:28.000]  所以看到這個東西可以滿足到一個人的虛榮心
[00:03:28.000 --> 00:03:34.000]  中國49年以後很多從前的東西都沒有了
[00:03:34.000 --> 00:03:39.000]  中國在1949年之後很多從前的東西都沒有了
[00:03:39.000 --> 00:03:44.000]  那個認為那個就是屬於不太好的東西
[00:03:44.000 --> 00:03:46.000]  都認為以前那些是不是那麼好的東西
